State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Idaho ,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.4
Illinois,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.8,0.9,0.9,0.8,0.9,1.2,1.3,1.3,1.3
Indiana,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1.1,1,1,1,1
Iowa,0.9,1.1,1.1,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.5,1.5,1.6,1.6,1.6,1.7,1.5,1.5,1.7,1.6,1.8,1.3
Kansas ,0.5,0.5,0.7,0.7,0.8,0.7,0.8,0.7,0.8,0.8,0.7,0.9,0.9,1,1,0.9,1,0.9,0.9,1,0.9,1
Kentucky ,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5,0.7,0.8,0.7,0.9,0.7,0.7,0.7,0.8,0.8
Louisiana ,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.4,0.6,0.6,0.6,0.7,0.7,0.6
Maine ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.1,NA,0.1,0.1,0.1,0.2,0.1
Maryland,1.1,1.1,1.3,1.3,1.5,1.3,1.4,1.7,1.9,2.2,2.1,2.3,2.6,2.5,2.6,2.7,2.4,2.4,2.5,2.7,3.4,3.2
Massachusetts,3,3.2,3.4,3.6,4,3.4,3.6,3.9,4.8,5.1,5.9,6.1,6.6,6.8,7,7.6,8.2,9,10.2,9.8,11.1,10.7
Michigan,0.5,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.1,1.1,1,1,1.1,1,0.9,1.4,1.6,1.5
Minnesota,0.6,0.7,0.8,1,1,1,1.1,1.2,1.3,1.3,1.4,1.6,1.6,1.4,1.5,1.6,1.6,1.5,1.5,1.8,1.5,1.4
Mississippi ,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.4
Missouri,0.7,0.8,0.9,1,1,1,1.2,1.2,1.2,1.2,1.4,1.3,1.2,1.3,1,0.9,0.9,1.1,1.1,1.2,1.2,1.1
Montana ,0.3,0.3,0.2,0.3,0.3,0.5,0.5,0.7,1,0.9,0.8,1,1.2,1,1,1.5,1.3,0.9,0.9,0.8,0.8,0.6
Nebraska ,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.6,0.8,0.8,0.9,0.7,0.9,1,1,1,1,1,1.1,1.2,1.4,1.3
Nevada ,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2
New Hampshire ,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.7,0.8,0.8,1.1,1.2,1.7,1.7,1.6,1.5,1.5,1.5,1.6,1.7
New Jersey,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.9,0.9
New Mexico ,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.5,0.5,0.4,0.2,0.3,0.5,0.5,0.4,0.4,0.7,0.7,1.9,0.9,0.8
New York,0.8,0.9,0.9,1,1,1,1,1.1,1.2,1.3,1.4,1.5,1.3,1.4,1.5,1.6,1.6,1.7,1.7,1.6,2,1.9
North Carolina,0.8,0.9,1,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.4,1.5,1.5,1.6,1.6,1.5,1.5,1.6,1.7,1.8
North Dakota ,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.7,0.8,0.8,1,1.1,0.7,0.5,0.6,0.7,0.7,0.8,0.5
Ohio,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.8,0.8,0.8,0.8,0.7,0.9,0.9,0.9,0.9,1
Oklahoma ,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.5,0.5,0.4
Oregon,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.9,1.1,1.1
Pennsylvania,0.7,0.8,0.9,1,1.1,1.1,1.2,1.4,1.4,1.5,1.7,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8,2,2,1.9
Rhode Island ,0.7,0.7,1,0.9,0.9,1,1,1,1.2,1.6,1,1,0.9,1,1,1.9,1.8,1.7,1.9,2.1,2.5,2.6
South Carolina ,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.6
South Dakota ,0.1,0,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.3,0.5,0.6,0.6
Tennessee,0.5,0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1,0.9,0.8,0.9,1,1.3,1.3
Texas,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,1,0.9,0.9,1.1,1.1,1
Utah,0.9,0.8,0.8,0.7,0.8,0.9,1,1.2,1.2,1.2,1,0.9,0.9,0.9,0.9,1,0.9,0.8,0.9,0.9,1.2,1
Vermont ,0.8,0.8,0.9,0.9,1,0.9,0.8,0.6,0.9,0.9,1.3,1.3,1.4,1.5,1.5,1.7,1.2,1.2,1.3,1.1,1.2,1
Virginia,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.1
Washington,0.9,0.9,1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.4,1.3,1.4,1.3,1.4,1.4,1.4,1.3,1.1,1.3,1.5,1.5
West Virginia ,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5
Wisconsin,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.9,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.2,1.1,1.3,1.4,2.1,1.4
Wyoming ,0.3,0.3,0.5,0.7,0.6,0.8,0.7,1.3,1,1,1.2,0.7,0.5,0.7,1,1,0.8,0.8,1,0.9,0.8,0.7
