State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Indiana,0.464,0.424,0.471,0.481,0.492,0.49,0.547,0.554,0.546,0.523,0.491,0.521,0.555,0.564,0.563,0.528,0.515,0.501,0.496,0.495,0.488,0.501,0.508,0.508,0.514,0.529,0.486,0.476,0.493,0.5,0.497
Iowa,0.461,0.438,0.466,0.471,0.488,0.47,0.46,0.549,0.541,0.518,0.513,0.55,0.572,0.57,0.567,0.508,0.525,0.523,0.527,0.551,0.559,0.523,0.532,0.55,0.537,0.519,0.5,0.512,0.514,0.549,0.526
Kansas,0.447,0.422,0.439,0.462,0.479,0.46,0.452,0.483,0.475,0.463,0.464,0.497,0.521,0.523,0.532,0.505,0.493,0.477,0.486,0.51,0.494,0.512,0.503,0.502,0.502,0.511,0.494,0.481,0.476,0.511,0.501
Kentucky,0.434,0.42,0.433,0.457,0.487,0.461,0.456,0.528,0.534,0.516,0.461,0.53,0.541,0.526,0.515,0.504,0.49,0.485,0.494,0.49,0.49,0.489,0.503,0.519,0.513,0.518,0.484,0.493,0.491,0.511,0.5
Louisiana,0.446,0.496,0.466,0.461,0.462,0.422,0.42,0.464,0.43,0.449,0.448,0.498,0.535,0.534,0.549,0.523,0.499,0.501,0.488,0.485,0.478,0.485,0.499,0.531,0.488,0.507,0.497,0.493,0.506,0.529,0.51
Maine,0.457,0.443,0.489,0.513,0.489,0.506,0.532,0.564,0.529,0.488,0.452,0.462,0.505,0.505,0.531,0.503,0.502,0.515,0.51,0.515,0.514,0.504,0.527,0.523,0.536,0.535,0.465,0.482,0.469,0.485,0.488
Maryland,0.464,0.472,0.494,0.502,0.535,0.518,0.516,0.599,0.543,0.503,0.48,0.491,0.513,0.505,0.521,0.501,0.497,0.49,0.496,0.496,0.489,0.505,0.516,0.531,0.526,0.526,0.494,0.474,0.478,0.473,0.486
Massachusetts,0.501,0.497,0.532,0.536,0.566,0.539,0.539,0.555,0.537,0.478,0.439,0.466,0.496,0.524,0.547,0.537,0.535,0.536,0.532,0.53,0.51,0.505,0.533,0.513,0.502,0.507,0.442,0.475,0.493,0.498,0.506
Michigan,0.47,0.454,0.486,0.504,0.533,0.505,0.522,0.547,0.549,0.521,0.5,0.525,0.55,0.562,0.57,0.529,0.535,0.531,0.522,0.513,0.494,0.501,0.497,0.493,0.493,0.497,0.475,0.453,0.455,0.472,0.482
Minnesota,0.479,0.473,0.49,0.498,0.516,0.49,0.49,0.517,0.53,0.507,0.5,0.538,0.58,0.559,0.565,0.546,0.545,0.539,0.538,0.549,0.539,0.526,0.527,0.543,0.528,0.526,0.487,0.484,0.471,0.495,0.502
Mississippi,0.443,0.421,0.435,0.446,0.471,0.449,0.454,0.497,0.49,0.452,0.441,0.494,0.496,0.511,0.511,0.471,0.468,0.477,0.474,0.474,0.448,0.472,0.474,0.505,0.506,0.486,0.472,0.481,0.478,0.502,0.488
Missouri,0.432,0.422,0.454,0.459,0.483,0.473,0.481,0.524,0.543,0.484,0.465,0.495,0.516,0.511,0.518,0.485,0.475,0.476,0.47,0.477,0.477,0.475,0.483,0.511,0.506,0.484,0.444,0.425,0.437,0.467,0.463
Montana,0.396,0.453,0.442,0.461,0.453,0.419,0.441,0.437,0.452,0.476,0.464,0.508,0.531,0.533,0.529,0.51,0.495,0.481,0.488,0.487,0.49,0.517,0.524,0.553,0.513,0.531,0.502,0.493,0.475,0.47,0.439
Nebraska,0.459,0.465,0.455,0.481,0.492,0.484,0.479,0.58,0.569,0.515,0.501,0.529,0.562,0.548,0.553,0.527,0.536,0.512,0.508,0.542,0.548,0.547,0.542,0.571,0.545,0.546,0.517,0.517,0.515,0.535,0.527
Nevada,0.404,0.436,0.436,0.42,0.447,0.43,0.435,0.432,0.46,0.466,0.447,0.485,0.483,0.484,0.467,0.456,0.445,0.447,0.45,0.449,0.452,0.448,0.439,0.45,0.461,0.467,0.453,0.423,0.407,0.407,0.404
New Hampshire,0.456,0.439,0.496,0.506,0.513,0.523,0.521,0.543,0.498,0.422,0.401,0.42,0.461,0.5,0.523,0.512,0.509,0.528,0.529,0.512,0.504,0.502,0.514,0.528,0.503,0.507,0.479,0.455,0.457,0.475,0.476
New Jersey,0.479,0.485,0.501,0.513,0.538,0.51,0.521,0.535,0.528,0.481,0.453,0.484,0.497,0.508,0.52,0.505,0.502,0.493,0.491,0.492,0.488,0.499,0.502,0.491,0.49,0.486,0.463,0.449,0.445,0.449,0.459
New Mexico,0.396,0.471,0.437,0.454,0.467,0.421,0.433,0.462,0.464,0.458,0.441,0.474,0.526,0.519,0.525,0.477,0.466,0.465,0.449,0.456,0.472,0.468,0.455,0.488,0.505,0.5,0.491,0.477,0.474,0.484,0.47
New York,0.461,0.476,0.486,0.494,0.519,0.496,0.493,0.52,0.508,0.481,0.455,0.478,0.483,0.488,0.493,0.474,0.471,0.477,0.487,0.486,0.492,0.493,0.488,0.481,0.487,0.493,0.468,0.454,0.468,0.481,0.485
North Carolina,0.45,0.417,0.465,0.47,0.512,0.483,0.541,0.563,0.52,0.487,0.468,0.495,0.525,0.53,0.538,0.518,0.502,0.506,0.497,0.498,0.46,0.476,0.49,0.513,0.495,0.517,0.505,0.477,0.479,0.483,0.468
North Dakota,0.441,0.437,0.465,0.504,0.494,0.469,0.466,0.5,0.522,0.503,0.502,0.515,0.539,0.551,0.566,0.552,0.519,0.509,0.477,0.551,0.581,0.562,0.594,0.608,0.548,0.556,0.504,0.485,0.544,0.565,0.552
Ohio,0.481,0.459,0.482,0.493,0.527,0.505,0.515,0.554,0.557,0.526,0.502,0.529,0.565,0.55,0.55,0.524,0.526,0.521,0.516,0.513,0.509,0.517,0.513,0.522,0.519,0.522,0.486,0.476,0.489,0.499,0.506
Oklahoma,0.4,0.463,0.43,0.432,0.423,0.37,0.383,0.435,0.417,0.437,0.443,0.482,0.509,0.508,0.51,0.475,0.467,0.458,0.455,0.461,0.461,0.48,0.489,0.49,0.496,0.495,0.485,0.476,0.505,0.515,0.497
Oregon,0.405,0.366,0.387,0.419,0.451,0.448,0.439,0.415,0.472,0.457,0.453,0.508,0.519,0.536,0.519,0.49,0.487,0.469,0.478,0.474,0.475,0.479,0.491,0.518,0.521,0.524,0.497,0.478,0.463,0.471,0.455
Pennsylvania,0.493,0.487,0.504,0.521,0.553,0.525,0.533,0.584,0.576,0.54,0.517,0.532,0.552,0.551,0.549,0.537,0.532,0.535,0.536,0.525,0.522,0.529,0.535,0.546,0.529,0.547,0.514,0.502,0.517,0.527,0.522
Rhode Island,0.477,0.472,0.506,0.501,0.525,0.514,0.516,0.544,0.519,0.476,0.436,0.456,0.487,0.484,0.497,0.507,0.511,0.489,0.507,0.483,0.499,0.502,0.525,0.542,0.536,0.515,0.494,0.452,0.457,0.456,0.477
South Carolina,0.434,0.411,0.455,0.47,0.499,0.49,0.531,0.548,0.516,0.493,0.461,0.489,0.527,0.52,0.532,0.498,0.482,0.496,0.482,0.474,0.472,0.469,0.48,0.519,0.506,0.51,0.501,0.482,0.483,0.466,0.466
South Dakota,0.435,0.437,0.436,0.457,0.5,0.486,0.476,0.546,0.537,0.491,0.491,0.556,0.567,0.546,0.552,0.522,0.507,0.496,0.507,0.523,0.546,0.523,0.534,0.571,0.528,0.522,0.514,0.497,0.476,0.499,0.526
Tennessee,0.424,0.41,0.424,0.439,0.469,0.457,0.466,0.536,0.488,0.477,0.454,0.491,0.514,0.509,0.53,0.493,0.485,0.473,0.46,0.458,0.453,0.454,0.464,0.49,0.485,0.492,0.492,0.472,0.473,0.483,0.478
Texas,0.419,0.475,0.446,0.474,0.483,0.413,0.427,0.44,0.413,0.415,0.425,0.477,0.5,0.499,0.493,0.467,0.462,0.46,0.458,0.461,0.461,0.458,0.471,0.488,0.475,0.489,0.477,0.476,0.486,0.502,0.496
Utah,0.385,0.438,0.435,0.419,0.476,0.43,0.433,0.414,0.443,0.442,0.439,0.489,0.535,0.522,0.549,0.491,0.478,0.462,0.462,0.454,0.454,0.447,0.43,0.463,0.469,0.484,0.474,0.454,0.439,0.44,0.405
Vermont,0.477,0.454,0.478,0.478,0.52,0.504,0.521,0.557,0.515,0.514,0.462,0.479,0.499,0.521,0.55,0.529,0.522,0.539,0.532,0.532,0.522,0.534,0.549,0.565,0.572,0.551,0.513,0.484,0.493,0.488,0.518
Virginia,0.451,0.443,0.448,0.486,0.522,0.502,0.491,0.599,0.533,0.503,0.464,0.49,0.512,0.514,0.534,0.508,0.5,0.498,0.496,0.501,0.487,0.486,0.508,0.511,0.511,0.517,0.508,0.473,0.48,0.482,0.485
Washington,0.422,0.403,0.425,0.458,0.484,0.466,0.458,0.397,0.5,0.477,0.464,0.507,0.541,0.504,0.504,0.462,0.466,0.45,0.457,0.451,0.469,0.454,0.467,0.492,0.492,0.506,0.467,0.466,0.463,0.45,0.445
West Virginia,0.426,0.407,0.413,0.442,0.474,0.451,0.462,0.602,0.513,0.493,0.467,0.503,0.537,0.532,0.547,0.53,0.527,0.502,0.479,0.482,0.482,0.472,0.482,0.512,0.521,0.499,0.51,0.502,0.512,0.509,0.502
Wisconsin,0.487,0.483,0.51,0.508,0.498,0.501,0.501,0.547,0.549,0.607,0.534,0.555,0.574,0.561,0.584,0.546,0.543,0.539,0.54,0.551,0.543,0.541,0.549,0.558,0.546,0.529,0.51,0.493,0.491,0.517,0.51
Wyoming,0.415,0.466,0.425,0.41,0.431,0.399,0.399,0.423,0.452,0.489,0.46,0.521,0.561,0.543,0.551,0.489,0.461,0.486,0.49,0.48,0.483,0.493,0.503,0.546,0.512,0.507,0.492,0.466,0.489,0.479,0.485
