Country: USA,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
c) 2,23.2,6.1,3.9,5.6,11.2,8.7,,0.0,
d) 3,25.5,7.5,2.6,4.4,10.0,0.0,0.0,0.0,
e) 4,21.9,5.3,4.0,6.5,7.7,0.0,0.0,0.0,
f) 5,23.8,5.4,3.9,5.0,2.4,6.9,0.0,0.0,0.0
g) 6 to 10,19.1,3.5,3.2,3.5,2.0,1.4,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.9,5.2,2.6,3.2,2.0,1.6,2.7,5.4,0.0
m) ALL,18.6,5.0,3.3,4.0,3.2,2.4,1.7,2.9,0.0
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,32.8,6.0,6.5,2.5,5.4,5.1,0.0,0.0,0.0
c) 2,26.8,5.9,5.9,4.0,3.0,18.2,15.4,0.0,
d) 3,21.1,5.0,6.5,3.3,0.0,6.7,,0.0,
e) 4,22.9,4.4,2.6,2.0,3.4,8.0,0.0,0.0,
f) 5,16.1,6.0,2.1,3.3,0.0,7.1,0.0,0.0,
g) 6 to 10,18.6,4.8,4.3,2.7,1.8,0.0,0.0,0.0,0.0
h) 11 to 15,14.2,2.9,4.1,1.8,0.0,0.0,0.0,,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.3,3.4,1.4,2.1,1.3,1.4,2.5,0.0,0.0
m) ALL,18.6,4.4,3.4,2.5,1.7,2.5,2.9,0.0,0.0
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
b) 1,25.0,5.2,4.8,3.4,5.0,0.0,0.0,0.0,
c) 2,26.3,5.5,7.3,6.1,1.8,4.9,0.0,0.0,0.0
d) 3,23.6,6.9,3.4,3.8,0.0,0.0,0.0,0.0,
e) 4,22.1,7.7,7.3,6.1,5.4,0.0,0.0,0.0,
f) 5,23.0,5.6,3.1,2.5,0.0,0.0,0.0,0.0,
g) 6 to 10,16.1,3.9,3.6,2.7,0.0,3.1,0.0,0.0,0.0
h) 11 to 15,14.3,2.4,0.7,4.3,3.5,0.0,40.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,13.1,3.2,2.7,1.9,0.3,0.9,0.0,0.0,0.0
m) ALL,17.3,4.3,3.6,3.0,1.0,1.3,1.3,0.0,0.0
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,21.1,5.1,3.1,1.6,0.0,0.0,0.0,0.0,0.0
c) 2,21.8,4.7,3.2,2.2,4.1,7.1,0.0,0.0,
d) 3,24.1,4.2,3.6,3.6,3.4,0.0,0.0,0.0,0.0
e) 4,22.5,5.5,4.2,4.3,4.7,5.4,0.0,0.0,
f) 5,18.3,4.4,3.9,6.0,2.7,0.0,0.0,0.0,
g) 6 to 10,14.8,3.5,3.0,2.8,2.3,2.9,0.0,0.0,0.0
h) 11 to 15,14.9,3.5,2.4,2.4,1.3,2.8,0.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,12.2,2.2,1.8,0.9,0.6,1.4,4.5,0.0,0.0
m) ALL,15.6,3.6,2.7,2.2,1.5,1.9,2.4,0.0,0.0
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,23.4,4.3,3.6,3.9,2.2,4.8,0.0,0.0,
c) 2,18.9,5.6,6.7,2.5,6.3,0.0,0.0,0.0,0.0
d) 3,22.3,6.6,3.5,3.4,0.0,0.0,0.0,0.0,
e) 4,23.1,4.8,5.5,5.2,0.0,0.0,0.0,0.0,0.0
f) 5,19.4,7.6,2.5,1.5,4.9,10.5,28.6,0.0,0.0
g) 6 to 10,17.9,3.5,2.3,1.5,2.8,0.0,0.0,0.0,0.0
h) 11 to 15,15.0,3.3,2.3,1.9,2.0,2.2,0.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,11.5,2.5,1.0,1.8,0.6,0.0,4.5,0.0,0.0
m) ALL,16.1,4.0,2.6,2.2,1.8,0.9,3.3,0.0,0.0
,           1992,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,30.4,5.6,4.3,6.3,4.8,5.1,0.0,0.0,
c) 2,24.2,7.6,3.9,2.6,3.9,4.4,0.0,0.0,
