Country: USA,,,,,,,,,,,,
Variable: Job_Destruction_Rate,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,,,D,,,,
b) 1,50.8,30.5,29.0,22.0,D,D,D,D,,,,
c) 2,40.4,28.5,23.8,19.0,30.0,D,D,,D,,,
d) 3,38.0,21.3,20.2,16.2,20.1,5.7,D,7.4,D,D,,
e) 4,36.0,27.6,24.5,13.8,2.8,10.2,5.6,D,D,,,
f) 5,33.1,23.8,16.7,11.0,48.0,16.1,6.9,D,D,,,
g) 6 to 10,33.9,24.5,18.7,18.1,18.8,12.6,24.2,167.9,51.1,D,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,25.8,18.3,14.2,13.9,15.5,11.0,12.7,19.7,5.8,8.6,D,D
m) ALL,31.1,21.7,17.3,14.8,17.6,12.5,12.2,17.6,13.0,9.3,12.6,11.5
,           1985,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,,D,,,,,
b) 1,43.1,28.6,21.8,16.5,4.1,5.9,D,D,D,D,D,
c) 2,45.9,23.5,21.0,21.5,D,14.6,6.4,D,,,,
d) 3,39.6,29.7,15.7,17.5,18.6,28.2,D,D,D,,,
e) 4,37.6,22.2,18.6,14.2,9.5,8.6,D,D,D,D,,
f) 5,35.2,25.6,16.5,23.2,39.6,11.7,D,D,D,,,
g) 6 to 10,34.2,18.9,18.8,21.7,21.2,8.2,28.5,D,1.2,13.3,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,27.2,18.1,15.5,13.9,13.0,9.1,7.8,8.6,12.2,12.9,D,D
m) ALL,30.8,20.4,16.7,15.9,14.5,9.7,9.1,8.6,11.1,12.9,21.6,10.1
,           1986,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,D,,,,,,
b) 1,45.0,27.9,19.5,19.1,D,2.3,,D,D,D,,D
c) 2,37.3,27.9,22.8,30.2,24.6,4.2,D,D,D,D,,
d) 3,41.1,24.2,23.0,9.9,21.3,89.0,D,D,,,,
e) 4,33.1,19.6,18.1,16.1,22.5,6.1,D,D,D,,,
f) 5,35.9,25.1,18.4,11.0,21.9,7.8,D,D,D,,,
g) 6 to 10,29.4,18.2,14.7,13.7,12.9,12.4,58.8,D,4.2,D,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,25.6,17.3,13.4,9.9,9.2,D,8.9,13.4,8.1,5.8,D,8.7
m) ALL,29.2,19.7,15.5,12.4,13.4,15.2,18.5,13.4,7.1,6.0,15.5,8.6
,           1987,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,,,,
b) 1,46.9,24.9,30.6,28.4,13.5,1.8,D,,,D,,D
c) 2,40.7,22.2,22.5,28.0,40.2,10.4,D,,,D,D,
d) 3,43.4,27.3,18.6,23.1,23.7,3.9,D,D,D,D,,D
e) 4,37.2,19.1,16.5,28.5,24.4,0.0,D,D,,,,
f) 5,35.5,23.8,23.3,14.6,17.0,20.4,7.3,D,D,,,D
g) 6 to 10,29.4,18.4,17.7,22.4,14.0,14.7,25.1,10.3,52.8,1.6,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,23.5,19.3,13.3,14.3,12.3,12.0,11.9,23.7,6.5,19.3,20.6,12.5
