Country: USA,,,,,,,,,
Variable: Job_Creation_Rate_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
h) 11 to 15,1.5,1.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0
i) 16 to 20,3.2,D,0.0,0.9,0.0,0.0,0.0,,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,1.1,D,0.6,0.1,0.4,0.0,0.0,0.0,0.0
m) ALL,12.1,8.4,6.2,5.0,3.1,3.3,4.3,4.1,0.0
,           1994,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.1,198.1,199.9,199.9,199.9,199.9,199.9,200.0,D
b) 1,D,D,0.5,1.4,3.5,0.0,0.0,0.0,
c) 2,D,1.6,1.5,2.3,0.0,0.0,0.0,0.0,
d) 3,3.8,1.2,1.5,0.5,0.0,0.0,0.0,0.0,D
e) 4,2.7,2.0,0.4,1.6,2.1,0.0,0.0,0.0,
f) 5,2.7,D,1.0,1.0,0.0,0.0,0.0,,
g) 6 to 10,2.4,0.9,0.8,0.6,0.8,0.0,0.0,0.0,0.0
h) 11 to 15,1.1,0.4,0.4,0.4,0.7,0.0,0.0,0.0,0.0
i) 16 to 20,D,D,0.0,0.0,0.0,0.0,0.0,0.0,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,0.7,D,0.4,0.1,0.6,0.0,2.2,0.0,0.0
m) ALL,12.0,7.8,6.2,5.1,3.9,2.2,7.0,5.7,12.4
,           1995,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,197.8,197.7,200.0,200.0,199.9,200.0,200.0,,
b) 1,D,0.0,0.0,0.0,3.1,0.0,0.0,0.0,D
c) 2,1.2,D,0.3,2.2,0.0,0.0,0.0,0.0,
d) 3,2.1,0.7,1.1,0.0,0.0,0.0,,0.0,
e) 4,D,1.5,1.9,0.8,0.0,0.0,0.0,0.0,D
f) 5,1.4,D,0.8,0.0,0.0,0.0,0.0,0.0,
g) 6 to 10,2.3,0.9,1.2,0.4,0.6,2.6,0.0,0.0,0.0
h) 11 to 15,1.6,1.0,0.5,0.0,0.7,0.0,0.0,0.0,D
