Country: USA,,,,,,,,,
Variable: Job_Creation_Continuers,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,"1,349","1,271",519,619,125,241,311,0,D
c) 2,633,458,682,197,384,383,237,,
d) 3,646,790,571,573,207,117,48,94,D
e) 4,383,D,310,285,164,95,181,62,
f) 5,584,D,365,180,71,135,12,84,
g) 6 to 10,"1,316","1,238","1,265","1,876","1,215",692,388,466,321
h) 11 to 15,690,655,728,"1,165",597,470,88,1,0
i) 16 to 20,553,D,687,"1,252",321,517,222,8,76
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,681,597,910,"1,714","1,375","1,426",78,688,429
m) ALL,"6,835","5,974","6,037","7,861","4,459","4,076","1,565","1,403","1,582"
,           1998,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,0,0,0,0,0,0,0,
b) 1,"1,228",D,625,714,238,22,0,0,
c) 2,762,560,441,535,232,69,29,272,D
d) 3,390,325,625,773,157,139,55,29,
e) 4,296,291,240,270,249,164,62,44,D
f) 5,343,293,340,269,104,92,19,183,
g) 6 to 10,"1,370","1,191",996,"1,206",941,479,184,266,D
h) 11 to 15,576,616,718,858,863,513,297,118,8
i) 16 to 20,416,D,441,834,495,405,106,116,D
j) 21 to 25,D,107,75,210,97,115,0,,D
k) 26+,,,,,,,,,
l) Left Censored,418,D,745,"1,260",917,"1,051",507,376,767
m) ALL,"5,888","5,031","5,246","6,929","4,293","3,049","1,259","1,404",936
,           1999,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,0,D
b) 1,"1,533",961,536,"1,228",182,359,431,0,
c) 2,595,719,400,274,127,191,35,17,
d) 3,468,375,279,466,164,219,71,48,D
e) 4,451,D,525,418,217,115,11,6,
f) 5,328,D,262,180,151,74,43,0,0
g) 6 to 10,"1,101","1,338","1,127","1,156",695,809,133,154,
h) 11 to 15,628,D,920,871,950,351,73,236,59
i) 16 to 20,577,463,463,721,247,699,94,41,D
j) 21 to 25,166,D,142,118,168,158,77,0,D
k) 26+,,,,,,,,,
l) Left Censored,474,D,554,"1,310","1,262",868,127,179,311
m) ALL,"6,321","5,724","5,208","6,742","4,163","3,843","1,095",681,481
,           2000,Initial Size,,,,,,,
