Country: USA,,,,,,,,,,,,
Variable: Job_Destruction_Rate_Deaths,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
b) 1,29.5,8.8,9.8,6.6,0.0,0.0,D,D,,,,D
c) 2,21.5,10.3,16.1,D,D,D,0.0,D,D,,,
d) 3,25.6,14.0,9.7,7.3,0.0,D,0.0,D,D,D,,
e) 4,24.8,9.5,10.3,8.5,D,D,0.0,D,,D,,
f) 5,21.8,17.2,8.0,D,0.0,D,D,,0.0,,,D
g) 6 to 10,20.3,7.1,5.1,4.8,4.1,D,0.0,D,D,D,D,D
h) 11 to 15,17.2,6.3,4.3,7.1,5.2,4.5,D,D,D,D,D,0.0
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,11.7,3.7,2.2,3.1,3.6,0.9,D,1.7,1.2,3.2,D,1.8
m) ALL,17.9,7.6,5.8,4.9,3.9,3.4,6.3,1.7,0.8,2.8,3.0,1.8
,           1992,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,D,,,,
b) 1,38.7,14.7,D,D,D,D,0.0,0.0,D,,,
c) 2,31.8,14.7,10.8,4.5,D,D,D,D,,,D,
d) 3,35.7,7.0,13.0,10.8,D,D,D,D,D,,,
e) 4,30.9,6.6,5.9,5.8,0.0,D,D,D,D,D,,D
f) 5,25.7,9.9,D,D,10.6,0.0,D,0.0,D,,,
g) 6 to 10,22.6,6.6,6.0,2.8,9.5,D,D,D,D,D,,D
h) 11 to 15,14.9,8.1,3.9,3.7,5.0,2.1,D,D,0.5,0.0,D,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,14.3,5.0,5.0,1.8,2.4,2.5,2.4,2.0,1.0,2.7,D,D
m) ALL,22.2,7.8,5.8,3.8,5.4,4.0,3.5,1.2,0.8,2.7,2.6,2.9
,           1993,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,,,,
b) 1,42.5,14.0,14.4,10.6,D,0.0,D,,D,,,D
c) 2,37.0,11.6,8.0,D,0.0,0.0,0.0,D,D,,,
d) 3,32.0,11.1,10.9,8.0,22.8,0.0,D,0.0,,,D,
e) 4,24.4,9.9,4.5,11.6,0.0,D,D,,D,D,,
f) 5,29.3,12.8,D,D,D,D,D,D,D,D,,
g) 6 to 10,19.3,6.2,3.8,2.2,4.5,D,D,0.0,D,D,D,D
h) 11 to 15,14.3,3.8,2.6,3.1,D,D,D,6.9,D,D,D,D
i) 16 to 20,15.2,8.0,D,6.1,1.2,D,D,D,D,,D,D
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,12.7,6.9,1.4,3.1,2.4,2.0,1.7,6.9,2.7,1.9,D,D
m) ALL,21.3,7.8,4.1,3.9,3.5,3.2,1.5,5.0,1.9,2.0,4.5,6.6
,           1994,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,D,D,,,
b) 1,38.1,16.7,15.9,D,D,D,D,D,,,,
c) 2,30.8,15.6,11.3,6.3,D,0.0,D,D,D,D,,D
d) 3,29.1,17.3,7.4,8.2,D,D,D,D,D,,,
e) 4,25.1,12.2,6.2,17.7,D,D,D,D,,D,D,
f) 5,21.3,8.5,11.2,D,D,0.0,D,,D,,,
g) 6 to 10,19.4,9.1,5.5,2.9,11.3,8.0,D,0.0,D,D,,D
h) 11 to 15,15.0,4.2,3.9,3.7,3.8,0.5,D,D,0.4,D,D,D
i) 16 to 20,18.0,4.1,1.8,10.5,D,4.2,0.0,D,D,D,D,D
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,12.7,6.2,5.1,2.7,5.1,1.1,1.7,D,0.8,3.6,D,D
m) ALL,19.8,8.9,6.0,5.0,6.7,4.0,3.6,2.4,0.5,3.5,0.4,7.1
,           1995,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,,,,,,,
b) 1,37.1,14.2,D,D,0.0,0.0,D,D,D,D,,D
c) 2,31.4,15.4,13.2,0.0,0.0,0.0,D,D,D,,,
d) 3,27.9,10.9,6.6,0.0,0.0,D,0.0,0.0,D,D,,D
e) 4,24.6,12.9,13.8,D,0.0,0.0,D,D,D,D,,D
f) 5,23.7,12.4,3.2,0.8,D,0.0,D,D,,,,
g) 6 to 10,21.3,8.8,4.6,4.2,1.2,1.7,D,0.0,D,D,D,D
h) 11 to 15,14.1,7.7,3.7,4.5,D,D,6.7,D,D,D,D,D
i) 16 to 20,11.4,4.9,2.8,4.4,6.8,D,2.1,D,D,0.0,0.0,D
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,11.8,4.4,D,3.2,1.2,4.7,1.6,0.5,1.8,1.8,D,6.5
m) ALL,19.4,8.6,5.1,3.6,1.4,3.0,2.4,0.5,1.4,1.6,1.7,6.3
,           1996,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
b) 1,35.8,12.8,19.9,14.9,0.0,D,,D,,,,
c) 2,33.3,12.1,6.0,D,0.0,D,D,D,D,D,D,
d) 3,28.6,12.4,5.0,D,D,0.0,D,D,,,,
e) 4,24.3,13.5,6.4,16.3,0.0,0.0,D,D,D,D,,D
f) 5,21.4,6.5,10.9,8.8,0.0,D,D,D,D,D,D,
g) 6 to 10,22.1,7.3,8.3,4.2,5.6,1.5,D,D,D,0.0,D,0.0
h) 11 to 15,14.7,6.6,3.5,3.8,D,D,0.0,2.7,D,D,D,D
i) 16 to 20,11.4,3.5,3.0,3.9,14.5,D,D,D,D,D,0.0,D
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,14.6,5.8,3.3,4.1,3.1,1.9,2.0,1.9,1.8,3.8,D,D
m) ALL,19.7,7.6,6.0,5.0,5.0,1.3,2.3,1.8,1.0,3.4,3.3,5.6
,           1997,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,D,D,,,,,,
b) 1,34.0,11.7,D,17.1,D,D,0.0,,,,,
c) 2,29.4,15.5,D,D,0.0,D,D,D,D,D,,
d) 3,26.4,10.2,5.0,8.6,D,D,D,D,D,D,D,
e) 4,27.6,11.5,8.2,0.0,0.0,0.0,D,D,,,,D
f) 5,28.2,9.8,7.3,D,D,0.0,D,D,D,,,D
