Country: USA,,,,,,,,,
Variable: Job_Creation,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
c) 2,516,752,648,750,539,D,,D,
d) 3,302,513,382,577,281,D,766,D,
e) 4,342,435,467,641,138,357,D,D,
f) 5,258,428,506,566,437,422,D,D,D
g) 6 to 10,"1,005","1,417","1,863","2,380","1,942","1,724",76,164,424
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,723,"1,244","1,658","3,725","4,158","3,836","1,427","1,808","1,352"
m) ALL,"10,936","9,757","10,398","14,131","10,718","10,174","4,509","3,963","1,776"
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,409","4,152","4,258","4,095","1,154",D,D,,
b) 1,752,"1,060","1,278","1,269",829,D,86,"2,265",D
c) 2,458,712,759,673,383,250,68,71,
d) 3,360,532,663,767,560,D,,D,
e) 4,247,400,323,322,403,123,D,D,
f) 5,219,280,362,371,256,394,D,D,
g) 6 to 10,754,"1,304","1,492","1,845","1,729","1,104",699,155,727
h) 11 to 15,120,205,322,300,209,306,D,,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,576,"1,090","1,560","2,674","2,754","3,459","3,683",877,"1,482"
m) ALL,"9,895","9,735","11,017","12,316","8,277","8,954","5,136","3,463","2,511"
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,816","3,937","3,825","4,771","2,576","2,020",D,,D
b) 1,607,"1,168","1,364","1,527",712,515,D,D,
c) 2,506,661,749,975,607,74,98,87,125
d) 3,348,568,654,844,177,725,40,120,
e) 4,286,397,518,649,386,699,D,D,
f) 5,240,347,471,390,270,192,D,D,
g) 6 to 10,838,"1,250","1,539","1,680","1,586","1,058","1,142",110,344
h) 11 to 15,194,422,616,566,681,569,110,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,485,"1,071","1,530","2,779","2,210","3,849","1,149",929,"1,112"
m) ALL,"9,320","9,821","11,266","14,181","9,205","9,701","3,356","1,515","4,316"
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,548","3,975","3,417","4,332","2,685","3,105",,,
b) 1,764,931,"1,052","1,855","1,260",857,230,D,D
c) 2,584,776,927,"1,241",644,190,D,D,
d) 3,360,552,596,"1,022",736,213,88,323,48
e) 4,288,434,532,729,230,608,287,417,
f) 5,305,361,449,490,316,110,D,D,
g) 6 to 10,771,"1,416","1,542","1,776","1,422","1,513",313,788,63
h) 11 to 15,350,493,665,933,619,436,98,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,487,868,"1,614","3,013","2,940","2,159","1,085",585,715
m) ALL,"10,457","9,806","10,794","15,391","10,852","9,191","2,137","3,558","1,893"
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,675","5,011","4,273","5,227","2,306","2,877","3,192",,
b) 1,797,"1,056","1,296","1,397",956,901,D,D,
c) 2,454,610,616,"1,086",434,359,"1,060",D,D
d) 3,403,464,584,730,454,294,D,D,
e) 4,282,481,529,731,286,232,16,66,141
f) 5,192,356,479,458,214,371,93,D,D
g) 6 to 10,730,"1,248","1,621","1,814",773,"1,193",602,1,16
h) 11 to 15,387,640,776,852,555,748,382,54,393
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,454,895,"1,422","2,401","1,790","2,614",890,584,"1,071"
m) ALL,"11,374","10,761","11,596","14,696","7,768","9,589","6,976",903,"1,646"
,           1992,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,452","4,043","3,633","3,246","2,878","1,092","2,297",,
b) 1,685,"1,163",939,"1,188",301,637,221,"1,581",
c) 2,498,612,870,913,762,337,"1,440","1,607",
d) 3,349,502,658,662,609,451,164,D,D
e) 4,293,450,619,673,287,320,D,D,
f) 5,253,477,383,482,277,130,D,930,D
g) 6 to 10,773,"1,218","1,574","2,038","1,239","1,078",311,371,650
h) 11 to 15,453,705,955,"1,319",839,"1,287",240,458,364
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,384,727,"1,309","2,589","2,123","2,023","1,409","1,201",794
m) ALL,"10,140","9,897","10,940","13,110","9,315","7,355","6,298","7,711","1,945"
,           1993,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,866","3,275","3,040","2,537","1,386",D,D,,
b) 1,598,969,936,"1,037",517,D,D,0,
c) 2,460,775,734,"1,034",497,383,44,D,D
d) 3,383,517,485,880,325,311,14,D,D
e) 4,275,446,432,678,406,435,18,D,D
f) 5,266,373,301,605,596,98,D,D,
g) 6 to 10,794,"1,301","1,515","1,524",983,690,74,208,59
h) 11 to 15,448,767,688,925,428,539,304,479,0
i) 16 to 20,85,128,182,247,160,221,D,,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,410,631,997,"2,097","1,294","1,221",845,"1,490",493
m) ALL,"9,585","9,182","9,310","11,564","6,592","6,332","3,141","2,456",912
,           1994,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,622","3,388","2,972","2,611","1,144","2,288",D,D,D
b) 1,653,778,729,940,506,115,D,D,
