Country: USA,,,,,,,,,
Variable: Job_Destruction_Rate_Deaths,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,31.3,13.6,6.2,D,D,D,,D,
c) 2,28.0,13.8,6.5,D,D,0.0,D,D,
d) 3,28.9,11.8,9.7,D,D,0.0,D,D,
e) 4,23.8,6.3,5.9,D,0.0,D,0.0,D,D
f) 5,25.3,10.4,8.0,D,D,D,D,D,D
g) 6 to 10,18.5,6.4,5.6,D,D,0.0,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,17.0,7.4,4.2,2.6,D,D,0.0,0.0,0.0
m) ALL,19.9,8.3,5.3,3.6,3.5,1.9,3.7,0.0,0.0
,           1987,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,D,D
b) 1,33.9,13.8,13.4,D,D,D,0.0,0.0,
c) 2,28.1,10.6,7.6,11.0,D,D,,D,
d) 3,34.8,14.0,4.3,8.1,15.0,D,0.0,D,
e) 4,26.9,10.0,8.3,D,D,0.0,D,D,
f) 5,30.9,10.6,7.4,8.5,D,D,D,D,D
g) 6 to 10,23.1,6.5,6.3,6.7,D,D,0.0,0.0,0.0
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,17.6,9.5,5.2,6.3,3.9,3.5,D,D,0.0
m) ALL,21.8,9.1,6.3,7.4,6.4,5.1,3.5,6.4,0.0
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,35.6,12.3,13.0,5.3,D,D,0.0,0.0,D
c) 2,30.5,10.5,12.2,8.0,D,D,D,0.0,
d) 3,26.5,8.5,12.4,D,0.0,D,,D,
e) 4,28.4,9.1,5.2,D,D,D,D,D,
f) 5,19.4,11.4,3.8,D,0.0,D,D,D,
g) 6 to 10,23.3,9.2,8.5,5.1,3.4,0.0,0.0,0.0,0.0
h) 11 to 15,15.7,5.6,D,D,0.0,0.0,D,,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,16.3,6.3,D,4.0,2.6,2.4,D,0.0,0.0
m) ALL,21.0,8.2,6.6,4.8,3.3,4.4,4.9,0.0,0.0
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,D,,D
b) 1,28.6,10.3,9.8,D,D,0.0,D,D,
c) 2,31.3,10.4,13.9,11.5,D,D,0.0,0.0,0.0
d) 3,28.6,12.6,6.4,5.8,0.0,0.0,0.0,0.0,
e) 4,27.1,12.8,D,12.1,D,0.0,D,D,
f) 5,31.8,9.6,D,D,0.0,0.0,D,D,
g) 6 to 10,19.1,6.9,6.6,D,0.0,D,0.0,0.0,0.0
h) 11 to 15,16.4,4.4,D,8.8,D,0.0,D,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,15.7,5.9,5.2,3.9,D,D,0.0,0.0,0.0
m) ALL,20.2,7.7,6.8,5.9,1.8,2.6,2.5,0.0,0.0
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,,,
b) 1,23.4,9.6,5.6,2.6,0.0,0.0,0.0,D,D
c) 2,26.3,9.0,5.6,3.6,D,D,D,D,
d) 3,29.6,7.9,6.8,D,D,0.0,0.0,0.0,0.0
e) 4,25.5,9.8,9.2,8.7,D,D,0.0,0.0,
f) 5,20.5,8.4,7.4,D,D,0.0,D,D,
g) 6 to 10,17.7,7.0,5.9,5.4,D,D,0.0,0.0,0.0
h) 11 to 15,17.7,7.3,4.7,5.7,D,D,0.0,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,15.8,3.9,3.5,1.8,D,2.1,D,0.0,0.0
m) ALL,18.1,6.7,5.2,4.3,2.8,3.1,4.6,0.0,0.0
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,27.0,7.4,7.4,D,D,D,D,D,
c) 2,20.9,9.7,12.6,5.0,11.2,0.0,0.0,D,D
d) 3,27.9,12.1,6.8,6.1,0.0,0.0,D,D,
e) 4,26.7,9.9,9.5,9.2,0.0,0.0,0.0,0.0,0.0
f) 5,22.9,14.2,5.5,D,D,D,D,D,D
g) 6 to 10,22.0,6.4,4.7,2.4,6.0,0.0,0.0,0.0,0.0
h) 11 to 15,17.5,6.4,4.4,3.5,D,D,0.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,12.3,4.8,2.1,3.6,D,0.0,D,0.0,0.0
m) ALL,18.2,7.2,5.0,3.9,3.4,1.9,5.9,0.0,0.0
,           1992,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
b) 1,35.9,11.1,7.7,11.1,D,D,0.0,0.0,
c) 2,30.4,13.5,7.7,4.8,D,D,0.0,0.0,
d) 3,35.4,8.2,11.6,10.1,9.7,0.0,0.0,D,D
e) 4,33.5,10.9,7.7,6.3,D,D,D,D,
f) 5,28.5,9.2,3.7,D,D,0.0,D,0.0,D
g) 6 to 10,22.8,8.7,5.5,D,9.4,D,0.0,0.0,0.0
h) 11 to 15,16.0,7.5,3.4,2.6,0.0,0.0,0.0,0.0,0.0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,14.9,4.3,5.5,2.3,2.9,0.0,0.0,0.0,0.0
m) ALL,22.3,8.1,5.7,3.9,5.0,1.6,0.0,0.0,0.0
,           1993,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0.0,0.0,0.0,0.0,0.0,D,D,,
b) 1,39.6,13.6,14.8,10.9,0.0,D,D,0.0,
