Country: USA,,,,,,,,,
Variable: Job_Creation_Continuers,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
d) 3,208,393,D,455,D,273,71,D,D
e) 4,D,304,366,D,382,289,D,D,
f) 5,159,D,250,D,194,74,D,D,0
g) 6 to 10,497,944,D,D,898,D,413,154,
h) 11 to 15,267,629,D,D,623,748,267,236,59
i) 16 to 20,210,D,D,D,632,707,94,D,D
j) 21 to 25,D,113,D,116,175,182,77,D,D
k) 26+,,,,,,,,,
l) Left Censored,220,D,D,"1,241","1,105","1,364",186,179,311
m) ALL,"2,567","4,493","5,744","7,289","5,027","6,059","1,585","1,013",481
,           2000,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,D,640,D,788,691,311,587,D,D
c) 2,D,420,D,685,332,242,D,D,
d) 3,229,D,D,781,142,241,D,D,
e) 4,D,276,D,558,358,527,30,D,D
f) 5,140,D,D,347,336,D,D,D,
g) 6 to 10,545,992,D,D,774,"1,319",411,252,477
h) 11 to 15,349,655,D,D,"1,096",D,390,48,69
i) 16 to 20,177,408,D,D,696,561,143,D,D
j) 21 to 25,72,171,271,447,287,318,156,D,D
k) 26+,,,,,,,,,
l) Left Censored,188,D,D,D,"1,099","1,442","1,405",135,"1,043"
m) ALL,"2,681","4,712","6,139","8,315","5,811","5,664","3,401",987,"1,704"
,           2001,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,D,
b) 1,D,688,820,D,499,308,624,19,
c) 2,D,D,430,449,313,510,64,D,D
d) 3,184,D,341,D,300,87,D,D,
e) 4,D,402,D,323,278,264,D,D,
f) 5,D,273,294,D,279,565,57,D,D
g) 6 to 10,454,"1,017","1,224",D,D,D,404,D,D
h) 11 to 15,319,D,D,"1,113",743,"1,319",801,747,49
i) 16 to 20,214,D,655,D,688,409,21,D,D
j) 21 to 25,109,265,342,393,398,437,102,D,D
k) 26+,,,,,,,,,
l) Left Censored,160,D,554,D,D,"1,393",675,310,978
m) ALL,"2,487","4,775","5,943","7,538","5,406","5,875","3,104","1,486","1,878"
,           2002,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,0,0,D,0,D,,D,
b) 1,585,738,518,704,459,607,256,D,D
c) 2,284,450,D,D,494,441,138,7,
d) 3,188,D,303,D,263,229,171,D,D
e) 4,177,257,D,D,217,54,D,D,
f) 5,D,D,376,319,227,131,D,D,
g) 6 to 10,488,936,D,D,"1,242",D,547,51,D
h) 11 to 15,391,D,D,"1,081",891,"1,372",877,D,D
i) 16 to 20,237,423,586,"1,022",545,397,54,0,81
j) 21 to 25,207,316,445,607,613,492,205,D,D
k) 26+,,,,,,,,,
l) Left Censored,165,D,D,"1,300","1,088","2,332",719,78,710
m) ALL,"2,851","4,915","5,727","7,863","6,039","6,915","3,218","1,167","1,120"
,           2003,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,D,0,D,D,,
b) 1,552,790,992,959,737,D,11,,D
c) 2,326,D,D,695,487,459,427,D,D
d) 3,251,D,D,D,335,367,547,118,
e) 4,D,D,361,519,556,364,D,247,D
f) 5,152,D,D,378,182,51,D,,D
g) 6 to 10,522,970,"1,335","1,660","1,266","1,514","1,150",D,D
h) 11 to 15,380,723,"1,070","1,351","1,205",944,309,195,
i) 16 to 20,D,D,683,"1,028",961,696,592,39,183
j) 21 to 25,166,D,D,603,649,408,336,D,D
k) 26+,26,66,86,137,178,226,D,,D
l) Left Censored,187,D,502,D,"1,134","1,732",732,451,925
m) ALL,"2,997","5,249","6,941","9,509","7,690","7,431","4,420","1,615","1,615"
,           2004,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,,,
b) 1,664,778,810,913,475,364,908,586,
c) 2,335,596,D,D,479,481,D,,D
d) 3,231,D,D,D,371,605,8,D,D
e) 4,D,D,368,383,415,130,269,102,
f) 5,D,D,369,396,449,285,D,39,D
g) 6 to 10,550,D,D,"1,339",943,754,"1,067","1,207",493
h) 11 to 15,274,604,D,D,561,817,425,554,
i) 16 to 20,191,D,D,883,413,785,126,34,101
j) 21 to 25,D,D,365,853,457,566,824,D,D
k) 26+,D,94,151,285,104,123,157,D,D
l) Left Censored,154,304,521,819,875,"1,113",455,151,"1,137"
m) ALL,"2,948","5,058","6,456","8,001","5,542","6,023","4,760","3,347","1,731"
,           2005,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,D,0,D,D,
b) 1,705,658,974,"1,141",540,250,D,D,
c) 2,360,D,582,D,388,456,283,8,
d) 3,249,D,D,531,D,541,D,,D
e) 4,161,D,391,D,372,412,0,D,D
f) 5,150,D,343,D,336,152,141,122,
g) 6 to 10,453,969,D,D,"1,067","1,011",541,300,211
h) 11 to 15,331,D,967,D,"1,015",405,240,D,D
i) 16 to 20,247,D,D,941,655,670,359,144,325
j) 21 to 25,154,D,D,D,598,445,579,D,D
