Country: USA,,,,,,,,,,,,
Variable: Estabs_Exit_Rate,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
l) Left Censored,13.1,3.6,3.2,3.8,5.3,8.9,7.3,10.6,5.9,4.3,8.0,6.9
m) ALL,18.4,4.9,4.3,3.1,6.0,7.4,6.8,11.0,5.9,4.3,13.1,6.8
,           1989,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,
b) 1,28.3,6.4,5.3,5.3,0.0,7.1,0.0,0.0,0.0,,0.0,
c) 2,29.0,7.1,8.1,4.1,10.4,12.5,0.0,0.0,,0.0,,
d) 3,25.2,7.0,4.4,3.8,14.8,0.0,0.0,,0.0,,,0.0
e) 4,24.6,8.5,6.3,1.6,8.1,10.5,,,0.0,,,
f) 5,23.6,6.4,3.9,2.6,0.0,0.0,21.1,0.0,8.8,0.0,0.0,
g) 6 to 10,16.6,4.0,3.2,2.9,2.7,9.0,11.4,5.7,0.0,9.1,14.8,0.0
h) 11 to 15,16.4,2.9,2.1,3.1,13.8,4.5,2.2,7.4,0.0,,0.0,8.7
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,13.5,4.0,1.7,2.3,3.5,6.9,2.5,4.3,3.9,4.2,10.1,4.4
m) ALL,18.4,5.0,3.4,2.8,5.4,6.9,3.0,4.5,3.7,4.3,7.7,4.4
,           1990,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
b) 1,22.0,6.0,3.5,3.8,0.0,3.6,0.0,0.0,0.0,,,
c) 2,22.2,5.8,3.1,0.8,8.7,8.2,0.0,0.0,0.0,3.6,,
d) 3,25.6,5.3,3.7,3.4,9.3,0.0,0.0,0.0,,0.0,,
e) 4,23.3,7.2,4.0,2.3,12.5,9.3,0.0,0.0,0.0,,,0.0
f) 5,17.7,3.2,10.2,2.9,0.0,6.3,0.0,0.0,0.0,0.0,,
g) 6 to 10,14.5,3.3,3.3,3.1,2.7,7.0,0.0,1.6,63.3,0.0,12.5,40.0
h) 11 to 15,15.1,3.8,2.0,2.1,4.2,8.5,6.6,23.1,3.9,9.1,0.0,0.0
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,12.1,3.1,3.2,1.7,4.9,5.4,5.1,6.6,3.0,4.1,8.3,4.8
m) ALL,15.7,4.1,3.5,2.2,4.7,6.3,4.9,6.3,6.5,4.1,8.2,4.8
,           1991,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
b) 1,25.8,5.1,4.7,3.6,0.0,0.0,0.0,0.0,,,,0.0
c) 2,19.7,5.9,8.2,4.5,7.2,3.0,0.0,0.0,0.0,,,
d) 3,20.8,7.8,4.5,3.3,0.0,2.9,0.0,0.0,0.0,3.4,,
e) 4,23.0,4.9,5.8,6.9,1.7,18.2,0.0,0.0,,0.0,,
f) 5,18.9,9.2,4.0,2.9,0.0,8.2,0.0,,0.0,,,0.0
g) 6 to 10,17.0,4.4,2.5,4.8,5.5,5.4,0.0,8.2,5.6,17.0,0.0,0.0
h) 11 to 15,15.1,3.9,4.4,7.4,6.9,6.9,4.2,1.9,4.9,0.0,4.9,0.0
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,11.0,2.3,2.0,3.0,4.8,3.4,7.3,2.6,4.8,3.0,6.1,7.4
m) ALL,16.1,4.5,3.5,4.3,4.7,4.9,6.0,2.8,4.7,3.6,5.5,7.0
,           1992,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
b) 1,32.6,7.3,4.5,8.0,5.4,8.3,0.0,0.0,0.0,,,
c) 2,25.2,8.0,5.1,2.6,4.2,18.2,22.2,0.0,,,0.0,
d) 3,28.0,4.2,6.2,9.0,4.9,3.3,0.0,0.0,22.2,,,
e) 4,24.3,4.0,3.7,4.1,0.0,7.7,0.0,0.0,0.0,4.8,,66.7
f) 5,22.0,6.5,2.6,3.1,6.0,0.0,0.0,0.0,13.3,,,
g) 6 to 10,18.5,3.6,3.9,3.1,5.9,6.5,29.1,6.9,2.6,4.2,,0.0
h) 11 to 15,13.5,5.0,3.7,4.6,10.4,6.0,1.6,1.5,8.8,0.0,11.9,0.0
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,12.2,3.4,4.2,2.8,7.3,3.6,3.2,5.0,3.3,3.4,4.2,11.7
m) ALL,18.8,4.6,4.1,3.7,7.1,4.8,4.1,4.1,4.2,3.5,6.8,11.5
,           1993,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
b) 1,37.8,7.7,7.3,4.5,11.4,0.0,0.0,,10.5,,,0.0
c) 2,30.2,6.4,4.7,3.9,0.0,0.0,0.0,0.0,50.0,,,
d) 3,26.6,7.0,5.0,3.6,13.9,0.0,0.0,0.0,,,0.0,
e) 4,20.9,5.2,3.0,6.0,0.0,9.1,4.7,,0.0,0.0,,
f) 5,22.9,6.8,1.2,1.6,4.2,2.9,0.0,0.0,0.0,21.8,,
g) 6 to 10,16.8,3.6,2.0,2.2,4.5,0.8,3.8,0.0,5.5,9.5,0.0,0.0
h) 11 to 15,13.4,2.3,1.4,4.3,13.0,6.6,5.3,17.3,2.7,19.4,7.5,33.3
i) 16 to 20,13.1,4.0,7.4,6.2,2.7,2.5,6.2,0.0,8.6,,0.0,20.4
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,11.9,5.3,1.2,2.3,7.0,5.4,5.4,6.6,7.2,3.7,4.8,10.7
m) ALL,18.9,4.7,2.5,3.1,6.9,4.4,5.2,8.8,7.2,5.7,5.4,10.8
,           1994,Firm Size,,,,,,,,,,
