Country: USA,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,1977,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
f. 100 to 249,128,159,"22,057","22,902",6,3.8,8,5.0,"2,028",704,"1,324",3.1,8.9,"3,717","1,319","2,398",5.8,16.2,"-1,689",-7.3,17.8,3,3,426
g. 250 to 499,27,31,"10,580","10,708",1,3.1,1,3.1,792,D,D,D,7.4,"1,048",D,756,D,9.8,-256,-2.4,14.8,,,
h. 500 to 999,21,24,"16,824","17,118",0,0.0,1,3.9,"1,159",0,"1,159",0.0,6.8,"1,747",D,"1,220",D,10.2,-588,-3.4,13.6,,,
i. 1000+,10,13,"20,202","26,245",1,8.0,0,0.0,"2,003",D,D,D,7.6,"14,089",0,"14,089",0.0,53.7,"-12,086",-46.1,15.2,,,
m. ALL,"17,750","19,889","229,903","235,146","2,606",13.2,"2,417",12.3,"40,816","16,630","24,186",7.1,17.4,"51,300","15,092","36,208",6.4,21.8,"-10,484",-4.4,34.8,"1,607","1,611","8,259"
,,1984,,,,,,,,,,,,,,,,,,,,,,
Initial Estab Size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,Firmdeath_Firms,Firmdeath_Estabs,Firmdeath_Emp
a. 1 to 4,"10,293","10,976","31,780","27,702","1,991",18.4,"1,643",15.2,"13,053",D,D,D,47.1,"4,896","3,102","1,794",11.2,17.7,"8,157",29.4,35.4,"1,144","1,144","2,172"
b. 5 to 9,"4,086","4,779","32,919","31,610",506,10.8,338,7.2,"8,025","3,298","4,727",10.4,25.4,"5,407","2,179","3,228",6.9,17.1,"2,618",8.3,34.2,225,225,"1,449"
c. 10 to 19,"2,242","2,639","35,906","35,600",209,7.9,195,7.4,"6,915","2,716","4,199",7.6,19.4,"6,302","2,555","3,747",7.2,17.7,613,1.7,35.4,127,129,"1,678"
d. 20 to 49,"1,152","1,446","43,909","42,902",119,8.3,86,6.0,"8,394","3,664","4,730",8.5,19.6,"6,380","2,540","3,840",5.9,14.9,"2,014",4.7,29.8,50,50,"1,447"
e. 50 to 99,321,400,"29,064","27,943",28,7.1,18,4.6,"5,593","1,915","3,678",6.9,20.0,"3,350","1,228","2,122",4.4,12.0,"2,243",8.0,24.0,12,12,775
f. 100 to 249,122,153,"25,537","23,837",9,5.8,13,8.4,"6,969","1,621","5,348",6.8,29.2,"3,568",D,"1,848",D,15.0,"3,401",14.2,30.0,5,5,601
g. 250 to 499,33,41,"14,178","14,065",2,4.9,1,2.5,"1,399",D,D,D,9.9,"1,173",D,899,D,8.3,226,1.6,16.6,,,
h. 500 to 999,19,21,"16,294","16,016",0,0.0,0,0.0,"1,066",0,"1,066",0.0,6.7,510,0,510,0.0,3.2,556,3.5,6.4,,,
i. 1000+,9,12,"18,209","19,269",0,0.0,0,0.0,617,0,617,0.0,3.2,"2,736",0,"2,736",0.0,14.2,"-2,119",-11.0,6.4,,,
