Country: USA,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
l) Left Censored,120,90,176,145,131,0,262,0,0
m) ALL,"4,405","4,390","4,219","5,279","4,277","3,948","1,841",543,"1,124"
,           1988,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,"3,712","3,849","4,918","3,036","2,232",977,534,
b) 1,D,D,12,137,70,107,0,0,0
c) 2,47,48,72,71,69,0,0,0,
d) 3,37,60,59,0,65,233,,0,
e) 4,25,D,53,0,0,0,0,0,
f) 5,53,20,10,0,0,246,0,0,
g) 6 to 10,123,78,101,89,93,116,0,0,0
h) 11 to 15,21,D,10,32,0,0,0,,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,73,83,61,162,176,766,0,0,0
m) ALL,"3,790","4,037","4,227","5,409","3,509","3,700",977,534,0
,           1989,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,149","3,216","3,616","5,003","3,563","3,024","1,374",554,D
b) 1,0,0,37,69,158,0,0,0,
c) 2,83,26,23,72,160,0,0,0,0
d) 3,46,48,24,113,0,0,0,0,
e) 4,37,D,47,25,0,0,345,0,
f) 5,31,59,33,66,53,0,0,0,
g) 6 to 10,156,112,100,90,0,174,0,0,0
h) 11 to 15,38,D,57,48,82,122,0,0,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,82,52,135,208,113,0,0,0,0
m) ALL,"3,622","3,538","4,072","5,694","4,129","3,320","1,719",554,"2,373"
,           1990,Initial Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"3,556","3,613","3,563","4,422","3,118","3,339","2,451",,
b) 1,0,D,15,23,152,120,0,0,D
c) 2,70,D,54,63,0,107,0,0,
d) 3,55,68,92,77,0,186,0,0,0
e) 4,58,47,57,59,53,0,0,0,
f) 5,45,58,33,0,59,0,0,0,
g) 6 to 10,135,123,96,83,0,0,0,0,0
h) 11 to 15,50,50,27,65,0,0,0,0,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,73,43,25,119,233,178,0,0,0
m) ALL,"4,042","4,099","3,962","4,911","3,615","3,930","2,451",0,"1,105"
,           1991,Initial Size,,,,,,,
