Country: USA,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
i) 16 to 20,29,D,D,0,0,0,0,,0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,68,59,D,D,0,0,0,0,0
m) ALL,"6,779","3,707","3,360","2,741","1,386","2,024","1,454",0,0
,           1994,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,622","3,388","2,972","2,611","1,144",D,D,D,D
b) 1,14,D,0,D,0,0,0,0,
c) 2,116,50,D,D,0,0,0,0,
d) 3,122,D,D,0,0,0,0,0,0
e) 4,109,D,D,D,0,0,0,0,
f) 5,62,D,D,D,0,0,0,,
g) 6 to 10,218,120,D,D,0,0,0,0,0
h) 11 to 15,60,41,D,D,0,0,0,0,0
i) 16 to 20,22,0,0,0,0,0,0,0,0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,42,55,D,D,0,D,0,0,0
m) ALL,"6,387","3,766","3,289","3,135","1,144","2,562","1,632","1,156","3,559"
,           1995,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,624","3,609","2,588","3,844",D,D,,,
b) 1,D,0,0,D,0,0,0,0,D
c) 2,D,D,73,0,0,0,0,0,
d) 3,66,33,0,0,0,0,,0,
e) 4,94,D,D,0,0,0,0,0,0
f) 5,104,43,0,0,0,0,0,0,
g) 6 to 10,223,132,D,D,0,D,0,0,0
h) 11 to 15,107,D,0,D,0,0,0,0,0
i) 16 to 20,46,D,0,D,D,0,0,0,0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,66,77,64,D,D,0,0,0,0
m) ALL,"6,374","4,065","2,814","4,201","2,882","2,092",0,0,"2,490"
,           1996,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,657","3,317","3,284","5,053",D,"2,499",D,D,D
b) 1,25,D,0,D,0,0,0,,
c) 2,63,D,0,D,0,0,0,0,0
d) 3,D,D,0,0,0,0,0,0,
e) 4,D,35,D,0,0,0,0,0,
f) 5,56,D,D,0,0,0,0,0,0
g) 6 to 10,242,88,D,156,D,0,0,0,0
h) 11 to 15,76,64,D,D,0,0,0,0,0
i) 16 to 20,D,0,D,0,0,0,0,0,0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,61,D,D,D,0,0,0,0,0
m) ALL,"6,383","3,661","3,590","5,508","2,024","2,499",551,"1,054","2,009"
,           1997,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,014","3,036","2,974","3,123",D,D,,,
b) 1,18,D,D,D,0,D,0,0,0
c) 2,99,D,D,0,0,0,0,,
d) 3,104,D,D,D,0,0,0,0,0
e) 4,71,D,D,0,0,0,0,0,
f) 5,58,D,0,D,0,0,0,0,
g) 6 to 10,288,159,D,0,D,0,0,0,0
h) 11 to 15,115,128,D,D,0,D,0,0,0
i) 16 to 20,60,31,0,0,0,0,0,0,0
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,56,62,D,D,0,0,0,0,0
m) ALL,"6,883","3,533","3,298","3,416","1,433","2,238",0,0,0
,           1998,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,"3,325","3,011","4,074","1,824","2,089",D,,
b) 1,12,D,79,0,0,0,D,,
c) 2,63,0,0,0,0,0,0,0,0
d) 3,85,47,D,D,0,0,0,0,
e) 4,51,0,D,0,D,0,0,0,0
f) 5,82,48,0,0,0,0,0,0,
g) 6 to 10,250,150,78,D,D,0,0,0,0
h) 11 to 15,98,D,D,D,0,0,0,0,0
i) 16 to 20,D,D,0,0,0,0,0,0,0
j) 21 to 25,D,0,0,0,0,0,0,,0
k) 26+,,,,,,,,,
l) Left Censored,D,D,0,0,0,0,0,0,0
m) ALL,"5,902","3,698","3,253","4,421","2,144","2,089","1,054",0,0
,           1999,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"4,931","2,714","3,109","4,654",D,D,D,D,
b) 1,0,0,0,D,0,0,0,0,
c) 2,111,D,D,0,0,0,0,0,
d) 3,74,0,D,0,D,0,0,0,0
e) 4,D,0,0,D,0,0,0,0,
f) 5,33,D,0,D,0,0,0,0,0
g) 6 to 10,174,90,D,D,0,D,0,0,
h) 11 to 15,85,0,D,D,0,0,0,0,0
i) 16 to 20,99,D,D,D,0,0,0,0,0
j) 21 to 25,D,0,D,0,0,0,0,0,0
k) 26+,,,,,,,,,
l) Left Censored,53,D,D,0,0,0,0,0,0
m) ALL,"5,635","2,879","3,380","4,994","1,881","3,191","1,488","1,178",0
,           2000,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,326","3,346","2,994","3,330","2,483","2,061","1,848",,
b) 1,D,0,D,0,0,0,0,0,0
c) 2,D,47,D,0,0,0,0,0,
d) 3,75,D,D,0,0,0,0,0,
e) 4,D,0,D,0,0,0,0,0,0
f) 5,73,D,D,0,0,D,0,0,
g) 6 to 10,163,120,D,D,0,0,0,0,0
h) 11 to 15,87,90,D,D,0,D,0,0,0
i) 16 to 20,45,44,D,D,0,0,0,0,0
j) 21 to 25,16,0,0,0,0,0,0,0,0
k) 26+,,,,,,,,,
l) Left Censored,88,D,D,D,0,0,0,0,0
m) ALL,"6,030","3,687","3,376","3,572","2,483","2,595","1,848",0,0
,           2001,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,465","3,275","3,189","4,741","1,877",D,D,D,
b) 1,D,0,0,D,0,0,0,0,
c) 2,D,D,0,0,0,0,0,0,0
d) 3,62,D,0,D,0,0,0,0,
e) 4,D,0,D,0,0,0,0,0,
f) 5,D,0,0,D,0,0,0,0,0
g) 6 to 10,273,289,116,D,D,D,0,0,0
h) 11 to 15,83,D,D,0,0,0,0,0,0
i) 16 to 20,97,D,0,D,0,0,0,0,0
j) 21 to 25,40,0,0,0,0,0,0,0,0
k) 26+,,,,,,,,,
l) Left Censored,49,D,0,D,D,0,0,0,0
m) ALL,"6,240","3,704","3,414","5,513","2,364","1,089",635,"6,545",0
,           2002,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,"3,959","3,383",D,"2,696","3,240",,D,
b) 1,0,0,0,0,0,0,0,0,0
c) 2,55,38,D,D,0,0,0,0,
d) 3,92,D,0,D,0,0,0,0,0
e) 4,117,38,D,D,0,0,0,0,
f) 5,D,D,0,0,0,0,0,0,
g) 6 to 10,183,85,D,D,0,0,0,0,0
h) 11 to 15,141,D,D,0,0,0,0,0,0
i) 16 to 20,49,0,0,0,0,0,0,0,0
j) 21 to 25,46,0,0,0,0,0,0,0,0
k) 26+,,,,,,,,,
l) Left Censored,39,D,D,0,0,0,0,0,0
m) ALL,"7,229","4,212","3,593","5,709","2,696","3,240",0,"1,174",0
,           2003,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,724","3,609","3,671",D,"1,796","2,393",D,,
b) 1,0,0,0,0,0,0,0,,0
c) 2,93,D,D,0,0,0,0,0,0
d) 3,55,D,D,D,0,0,0,0,
e) 4,D,D,0,0,0,0,0,0,0
f) 5,83,D,D,0,0,0,0,,0
g) 6 to 10,143,97,73,0,0,0,0,0,0
h) 11 to 15,154,46,91,0,0,0,0,0,
i) 16 to 20,D,D,0,0,0,0,0,0,0
j) 21 to 25,50,D,D,0,0,0,0,0,0
k) 26+,7,0,0,0,0,0,0,,0
l) Left Censored,40,D,0,D,0,0,0,0,0
m) ALL,"6,458","3,897","3,932","4,127","1,796","2,393","1,341",0,0
,           2004,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,816","3,536","3,253","3,561","2,939","2,106",,,
b) 1,0,0,0,0,0,0,0,0,
c) 2,99,29,D,D,0,0,0,,0
d) 3,72,D,D,D,0,0,0,0,0
e) 4,D,D,0,0,0,0,0,0,
f) 5,D,D,0,0,0,0,0,0,0
g) 6 to 10,147,D,D,0,0,0,0,0,0
h) 11 to 15,106,53,D,D,0,0,0,0,
i) 16 to 20,61,D,D,0,0,0,0,0,0
j) 21 to 25,D,D,0,0,0,0,0,0,0
k) 26+,D,0,0,0,0,0,0,0,0
l) Left Censored,61,0,0,0,0,0,0,0,0
m) ALL,"6,484","3,821","3,532","3,770","2,939","2,106",0,0,0
,           2005,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,824","3,264","3,678","4,213",D,"3,872","2,058",D,
b) 1,0,0,0,0,0,0,0,0,
c) 2,65,D,0,D,0,0,0,0,
d) 3,96,D,D,0,D,0,0,,0
e) 4,55,D,0,D,0,0,0,0,0
f) 5,58,D,0,D,0,0,0,0,
g) 6 to 10,161,64,D,D,0,0,0,0,0
h) 11 to 15,88,D,0,D,0,0,0,0,0
i) 16 to 20,43,D,D,0,0,0,0,0,0
j) 21 to 25,31,D,D,D,0,0,0,0,0
k) 26+,28,D,0,D,0,0,0,0,0
l) Left Censored,27,D,0,D,0,0,0,0,0
m) ALL,"6,476","3,592","3,794","4,801","2,623","3,872","2,058","2,492",0
,           2006,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,"4,055","3,711","4,733","3,569",D,D,,
b) 1,0,0,0,0,0,0,0,0,0
c) 2,60,41,0,0,0,0,0,0,0
d) 3,D,0,0,D,0,0,0,0,
e) 4,73,D,0,D,0,0,0,,0
f) 5,22,D,D,0,0,0,0,0,0
g) 6 to 10,96,D,D,0,0,0,0,0,0
h) 11 to 15,81,D,D,0,0,0,0,0,0
i) 16 to 20,86,D,0,D,0,0,0,0,0
j) 21 to 25,29,0,D,0,0,D,0,0,0
k) 26+,16,0,0,0,0,0,0,0,0
l) Left Censored,38,0,0,0,0,0,0,0,0
m) ALL,"6,969","4,195","3,829","5,088","3,569","3,635","1,106",0,0
,           2007,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,D,"3,754","3,916","4,646",D,"2,095","1,911",,
b) 1,0,0,0,0,0,0,0,0,
c) 2,96,D,D,0,0,0,0,0,0
d) 3,89,D,0,D,0,0,0,,0
e) 4,56,41,0,0,0,0,0,0,
f) 5,72,0,D,D,0,0,0,0,
g) 6 to 10,126,65,D,D,0,0,0,0,0
h) 11 to 15,75,D,D,D,D,0,0,0,0
i) 16 to 20,47,35,D,D,0,D,0,0,0
j) 21 to 25,33,D,D,0,0,D,0,0,0
k) 26+,D,D,0,0,0,0,0,0,0
l) Left Censored,19,0,D,D,0,0,0,0,0
m) ALL,"6,836","3,981","4,163","5,062","3,268","3,569","1,911",0,0
,           2008,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"5,114","2,920","2,887","3,607","2,341","1,619","2,041",,
b) 1,0,0,0,0,0,0,0,0,
c) 2,D,D,0,0,0,0,0,0,
d) 3,49,38,0,0,0,0,0,0,0
e) 4,55,56,0,0,0,0,0,,0
f) 5,72,D,D,0,0,0,0,0,0
g) 6 to 10,156,46,D,D,D,0,0,0,0
h) 11 to 15,D,54,D,0,0,0,0,0,0
i) 16 to 20,48,D,D,D,0,0,0,0,
j) 21 to 25,D,0,D,0,0,0,0,0,0
k) 26+,42,D,0,0,D,0,0,0,0
l) Left Censored,D,0,D,0,0,0,0,0,0
m) ALL,"5,725","3,187","3,169","3,914","2,610","1,619","2,041",0,0
,           2009,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"4,335","3,084","2,872","3,635",D,"1,517",D,,
b) 1,0,0,0,0,0,0,0,0,
c) 2,89,D,D,0,0,0,,0,0
