Country: USA,,,,,,,,,
Variable: Emp,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,156","4,022","4,013","4,773","2,293","4,031",D,D,D
b) 1,"2,543","3,367","3,607","3,856","3,209","1,856","2,637","1,884",
c) 2,"2,145","3,025","3,284","4,766","2,950",D,,D,
d) 3,"1,505","2,564","2,511","3,285","2,007",D,"1,413",D,
e) 4,"1,583","2,321","2,613","3,190","1,789","2,073",D,D,
f) 5,"1,421","2,443","3,077","4,091","2,832","2,011",D,D,D
g) 6 to 10,"5,581","9,728","10,808","14,641","10,649","10,299","1,141","3,788","7,084"
h) 11 to 15,,,,,,,,,
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"5,987","10,787","17,107","29,994","27,894","28,204","12,031","12,206","18,705"
m) ALL,"27,921","38,257","47,020","68,596","53,623","52,078","20,897","23,120","30,231"
,           1988,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,472","4,170","4,258","4,095","1,154",D,D,,
b) 1,"2,973","4,004","4,223","5,051","3,807",D,"2,323","3,792",D
c) 2,"1,984","3,183","3,634","3,941","2,234","1,424","1,951","1,955",
d) 3,"1,787","2,778","3,242","4,565","2,933",D,,D,
e) 4,"1,314","2,349","2,449","2,795","2,095","1,789",D,D,
f) 5,"1,412","2,104","2,533","2,640","2,165","2,112",D,D,
