Country: USA,,,,,,,,,
Variable: Net_Job_Creation,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b) 1,-557,342,457,30,302,245,D,D,
c) 2,-627,-223,-383,-24,27,-396,80,87,-650
d) 3,-393,-171,19,153,-38,362,-36,37,
e) 4,-386,-274,-401,-260,-29,409,D,D,
f) 5,-322,-117,75,113,62,54,D,D,
g) 6 to 10,-881,-380,-501,-479,103,-715,935,27,160
h) 11 to 15,-260,-70,231,-319,69,387,-551,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,-888,-679,-702,-470,-44,"1,738",-269,590,650
m) ALL,"1,502","2,365","2,620","3,515","3,028","4,104",949,932,"2,895"
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"6,548","3,975","3,417","4,332","2,685","3,105",,,
b) 1,-272,224,279,895,719,413,193,D,D
c) 2,-342,-73,-34,473,8,-129,D,D,
d) 3,-548,-163,-169,193,119,102,88,321,-31
e) 4,-306,-173,-222,-133,-84,-104,224,417,
f) 5,-165,-152,-102,-356,-225,-102,D,D,
g) 6 to 10,-754,-288,-306,-507,6,199,-7,788,-482
h) 11 to 15,-378,-322,-125,-182,342,-465,-63,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,-805,-488,-360,484,789,-420,-883,201,398
m) ALL,"2,978","2,540","2,378","5,199","4,359","2,599",-544,"3,131",783
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"7,675","5,011","4,273","5,227","2,306","2,877","3,192",,
b) 1,-512,145,349,371,179,124,D,D,
c) 2,-397,-171,-391,-110,-741,-145,997,D,D
d) 3,-482,-565,-336,-314,-37,-22,D,D,
e) 4,-485,-339,-338,-394,-29,-20,-22,-239,141
