Country: USA,,,,,,,,,,,,
Variable: Job_Creation_Births,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
f) 5,71,29,D,D,0,D,0,D,D,,,
g) 6 to 10,183,79,57,106,85,140,157,D,D,0,0,0
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,187,131,165,354,418,127,423,367,996,257,488,"2,930"
m) ALL,"5,879","2,886","2,137","2,817","1,464",288,875,753,"1,391",257,488,"2,930"
,           1986,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,789","2,504","2,092","2,195",D,D,,,,,,
b) 1,66,135,343,368,0,D,,D,0,D,,0
c) 2,125,48,65,D,0,0,0,0,0,D,,
d) 3,92,31,D,35,0,D,0,0,,,,
e) 4,104,0,47,D,D,D,D,D,0,,,
f) 5,68,D,53,D,52,0,D,0,D,,,
g) 6 to 10,302,116,D,230,311,95,68,111,18,D,0,0
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,213,D,283,501,514,879,466,384,D,361,282,"5,405"
m) ALL,"5,759","3,110","2,967","3,412","1,589","1,980",637,545,219,498,282,"5,405"
,           1987,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,125","2,736","2,112","2,320",D,"1,256",D,0,,,,
b) 1,65,91,117,D,531,D,0,,,0,,0
c) 2,156,145,D,180,0,D,0,,,0,0,
d) 3,87,64,98,D,0,0,0,0,D,0,,0
e) 4,119,109,39,D,D,0,0,0,,,,
f) 5,64,57,D,D,168,0,D,0,0,,,0
g) 6 to 10,274,91,293,144,622,932,D,D,D,D,D,0
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,245,205,106,433,339,522,385,D,956,D,D,"4,025"
m) ALL,"6,135","3,498","2,965","3,500","2,870","2,902","1,454",768,"1,244",541,124,"4,025"
,           1988,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,900","2,813","2,678","1,672","1,031",D,D,,,,,
b) 1,16,D,D,91,153,0,0,D,,0,,
c) 2,91,67,D,131,D,0,D,,,,,0
d) 3,74,64,53,D,D,D,,0,D,,,0
e) 4,39,D,D,D,0,D,D,D,D,0,0,
f) 5,72,D,0,71,0,D,0,0,,,,D
g) 6 to 10,191,108,115,76,83,363,D,D,D,32,D,D
h) 11 to 15,35,D,0,D,92,328,D,0,D,D,0,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,152,97,71,232,368,888,524,855,"1,319",D,D,"3,005"
m) ALL,"5,570","3,188","3,091","2,409","1,743","2,278","1,579","1,014","1,374",600,129,"3,208"
,           1989,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,"2,416","1,936","2,493",973,D,D,,D,,,
b) 1,D,29,42,154,0,313,0,0,D,,0,
c) 2,86,D,D,65,D,0,D,0,,0,,
d) 3,74,19,D,82,D,0,D,,D,,,0
e) 4,37,D,33,0,122,0,,,D,,,
f) 5,39,9,D,D,D,D,D,D,D,0,D,
g) 6 to 10,224,129,128,92,336,219,D,D,D,D,D,0
h) 11 to 15,66,82,0,D,79,62,D,0,D,,0,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,137,87,115,413,357,"1,114",463,776,"1,014",D,331,D
m) ALL,"5,298","2,816","2,333","3,427","2,193","2,464","1,347",977,"4,177",283,506,"3,200"
,           1990,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,D,"2,483","2,139","2,445","1,015","1,801",D,,,,,
b) 1,D,24,53,231,99,D,0,D,0,,,
c) 2,128,D,106,D,D,59,D,0,0,D,,
d) 3,96,101,65,109,D,D,0,0,,0,,
e) 4,89,81,D,D,D,D,D,D,0,,,0
f) 5,86,D,23,D,D,D,0,0,D,D,,
g) 6 to 10,229,177,104,69,88,372,D,189,D,0,0,0
h) 11 to 15,139,74,D,136,55,123,D,D,D,D,D,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,143,41,182,328,755,176,"1,098",708,734,273,D,D
m) ALL,"6,096","3,015","2,750","3,441","2,369","2,824","2,084","2,349",933,458,464,"1,332"
,           1991,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,492","2,664",D,"2,218",D,"1,171","1,766",D,,,,
b) 1,7,58,60,153,0,D,D,0,,,,0
c) 2,103,D,36,74,176,D,D,D,0,,,
d) 3,102,D,105,D,D,D,D,0,0,D,,
