Country: USA,,,,,,,,,,,,
Variable: Net_Job_Creation,,,,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,,,,
    *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
a) 0,"4,789","2,504","2,092","2,195",D,D,,,,,,
b) 1,-585,107,452,529,D,221,,D,D,D,,D
c) 2,-246,-85,59,-224,-80,94,D,D,D,D,,
d) 3,-377,-105,-106,169,-6,-373,D,D,,,,
e) 4,-197,-55,-49,-10,12,224,D,D,D,,,
f) 5,-276,-237,-175,50,-83,93,D,D,D,,,
g) 6 to 10,-472,-199,-62,-1,348,268,"-1,040",D,"3,581",D,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-864,-485,-269,443,866,D,731,-189,359,677,D,"6,228"
m) ALL,"1,772","1,445","1,942","3,151","1,538","1,360","-1,237",-135,"4,002",786,5,"6,237"
,           1987,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,125","2,736","2,112","2,320","1,198","1,256",D,D,,,,
b) 1,-572,266,-41,72,814,664,D,,,D,,D
c) 2,-377,118,97,-245,-418,52,D,,,D,D,
d) 3,-370,-117,54,25,-158,37,D,D,D,D,,D
e) 4,-240,52,106,-111,-101,57,D,D,,,,
f) 5,-280,-110,-135,0,180,117,3,D,D,,,D
g) 6 to 10,-652,-320,50,-615,781,571,202,58,"-3,799",84,D,D
h) 11 to 15,,,,,,,,,,,,
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-629,-705,-363,-116,495,"1,365","1,506",-645,"2,914","-1,420",226,"2,550"
m) ALL,"2,005","1,920","1,880","1,330","2,791","4,119","2,424",-55,-832,"-1,279",246,"2,483"
,           1988,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,900","2,813","2,678","1,672","1,031",D,D,,,,,
b) 1,-731,93,366,178,-121,D,-33,-14,,D,,
c) 2,-376,-5,-119,151,-271,86,D,,,,,D
d) 3,-284,-63,-11,-94,293,180,,D,D,,,D
e) 4,-264,1,-151,-286,-111,23,D,D,D,D,D,
f) 5,-195,-197,-49,-6,45,85,D,D,,,,D
g) 6 to 10,-854,-347,-242,-253,219,454,159,"1,285",D,-13,D,D
h) 11 to 15,-17,-87,-74,92,-292,279,20,D,245,D,D,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-719,-483,-301,-457,41,-183,"2,595",-289,313,839,-494,"3,397"
m) ALL,"1,460","1,725","2,097",997,834,"1,205","2,884","2,299",899,830,-514,"3,560"
,           1989,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,633","2,416","1,936","2,493",973,D,D,,D,,,
b) 1,-529,338,254,116,130,61,D,D,D,,D,
c) 2,-513,-159,-270,-7,18,-291,147,59,,D,,
d) 3,-307,-123,67,163,-135,471,-23,,D,,,D
e) 4,-382,-226,-261,153,107,D,,,D,,,
f) 5,-294,-118,-7,95,-19,-88,85,D,D,D,D,
g) 6 to 10,-716,-255,-164,-53,223,48,252,247,263,D,D,1
h) 11 to 15,-190,-15,59,-51,-262,77,203,-175,521,,D,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-796,-686,-391,27,398,"2,121",-105,578,"1,294","1,391",459,"2,348"
m) ALL,906,"1,172","1,223","2,936","1,433","3,296","1,187",969,"4,322","1,422",676,"2,377"
,           1990,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,178","2,483","2,139","2,445","1,015",D,D,,,,,
b) 1,-242,167,264,483,557,391,D,D,D,,,
c) 2,-264,-191,26,450,314,-258,D,D,D,D,,
d) 3,-407,-124,-69,409,57,D,74,217,,D,,
e) 4,-244,-139,-186,85,-229,5,271,D,D,,,D
f) 5,-118,-51,-160,48,-122,-15,D,D,D,D,,
g) 6 to 10,-501,0,-246,-119,211,676,189,222,-93,D,117,D
h) 11 to 15,-263,-138,-126,91,296,193,233,219,-657,D,185,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-592,-410,-192,63,446,527,-320,855,670,"1,279",-107,"2,750"
m) ALL,"2,547","1,597","1,450","3,955","2,545","3,324",485,"2,916",125,"1,519",195,"2,765"
,           1991,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"5,492","2,664","1,774","2,218",941,"1,171",D,D,,,,
b) 1,-494,145,161,302,-89,330,D,D,,,,D
c) 2,-320,-40,-282,-286,-235,2,"1,264",D,D,,,
d) 3,-341,-368,-256,-183,159,128,67,D,D,D,,
e) 4,-304,-149,-310,-156,88,-208,314,D,,D,,
f) 5,-224,-288,-41,-122,91,"-1,113",D,,104,,,D
g) 6 to 10,-862,-496,-174,-633,-582,-395,359,-254,-126,411,D,D
h) 11 to 15,-442,-182,-221,-304,-83,-349,-206,250,690,D,D,88
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-548,-256,6,-139,-320,478,-840,239,"1,355",-218,-532,336
m) ALL,"1,957","1,030",657,697,-30,44,"2,879",-38,"1,306",292,-512,655
,           1992,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,693","2,371","1,598","1,878",570,D,D,D,,,,
b) 1,-845,56,155,-323,-28,D,82,"1,582",D,,,
c) 2,-608,-304,-130,207,162,-352,361,D,,,D,
d) 3,-548,-83,-236,-295,-293,413,D,D,D,,,
e) 4,-402,-123,-133,-193,-174,43,D,D,D,D,,D
f) 5,-287,-190,-37,-141,-164,-83,D,822,D,,,
g) 6 to 10,-824,-436,-348,151,-188,563,-321,75,374,D,,D
h) 11 to 15,-448,-475,-254,-449,281,185,-157,133,-167,-75,D,D
i) 16 to 20,,,,,,,,,,,,
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-673,-474,-311,-251,136,-571,329,"-1,391","1,036","1,386",219,"3,888"
m) ALL,58,342,304,584,302,699,647,"2,510",-696,"1,212",275,"4,018"
,           1993,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,728","2,158","1,446","1,479",569,D,D,,,,,
b) 1,-809,150,186,-59,52,309,D,,-140,,,D
c) 2,-684,-157,45,-51,-170,252,-78,D,D,,,
d) 3,-548,-121,-278,-347,-433,255,D,55,,,D,
e) 4,-291,-123,-57,-131,123,-318,-915,,D,D,,
f) 5,-331,-306,-140,112,32,295,D,D,D,D,,
g) 6 to 10,-700,-475,-292,-571,-310,-545,-213,-450,-49,D,D,D
h) 11 to 15,-430,-131,-547,-421,-696,D,-211,"-1,742",-269,-78,40,D
i) 16 to 20,-58,-92,-26,-68,-70,-31,-118,D,-15,,D,-148
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-510,-609,-420,-943,"-1,231",-927,141,"-1,540",-250,"-1,633",-443,"-4,346"
m) ALL,367,294,-83,"-1,000","-2,134",191,-730,"-3,758","-2,078","-1,279",-396,"-4,277"
,           1994,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,466","2,178","1,784","1,734",363,D,D,D,D,,,
b) 1,-750,-194,-100,-177,-14,D,513,D,,,,
c) 2,-492,-442,-334,-12,-65,-253,D,D,D,D,,D
d) 3,-400,-441,-132,-173,322,-349,-101,D,D,,,
e) 4,-303,-233,-85,-465,-380,5,-714,D,,D,D,
f) 5,-234,-209,-236,-114,-242,-306,D,,D,,,
g) 6 to 10,-863,-715,-809,-387,-735,-472,537,504,-88,D,,D
h) 11 to 15,-555,-311,-376,-419,-301,-649,-151,-85,972,-12,D,D
i) 16 to 20,-181,-89,-19,-566,13,19,-86,D,290,D,-8,-106
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-547,-581,"-1,050","-1,149","-1,543",-451,-339,-14,"-1,382",365,-478,"-3,573"
m) ALL,141,"-1,037","-1,357","-1,728","-2,582","-2,383",556,"1,950","3,009",490,-406,"-3,690"
,           1995,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,442","2,251","1,759","1,681",755,,,,,,,
b) 1,-729,-143,-75,46,167,111,D,D,D,D,,D
c) 2,-654,-253,-205,72,208,-300,D,D,D,,,
d) 3,-386,-217,-29,-195,73,113,23,246,D,D,,D
e) 4,-348,-197,-236,-234,-244,65,66,D,D,D,,D
f) 5,-278,-209,-31,90,78,140,51,D,,,,
g) 6 to 10,-969,-959,-612,-330,65,180,-42,69,258,-57,D,D
h) 11 to 15,-473,-420,-316,-64,2,473,-759,-158,-166,64,D,D
i) 16 to 20,-186,-122,-130,-455,-80,-268,-202,D,"2,167",11,-88,D
j) 21 to 25,,,,,,,,,,,,
k) 26+,,,,,,,,,,,,
l) Left Censored,-504,-443,-645,-877,-433,"-1,410",-611,80,452,-534,225,-204
m) ALL,-85,-712,-520,-266,591,-896,-925,464,"2,723",452,109,27
,           1996,Firm Size,,,,,,,,,,
Firm Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000 to 2499,j) 2500 to 4999,k) 5000 to 9999,l) 10000+
a) 0,"4,483","2,075","1,969","2,538",633,"1,036",,,,,,
b) 1,-636,-51,-202,88,194,D,,D,,,,
c) 2,-584,-123,-120,51,118,D,D,D,D,D,D,
d) 3,-374,-184,-9,-200,-269,53,D,D,,,,
e) 4,-273,-248,-75,-54,-45,0,234,D,D,D,,D
f) 5,-228,-143,-248,-115,91,-48,186,D,D,D,D,
g) 6 to 10,-982,-650,-763,-651,48,-60,99,-76,-441,-3,505,-91
