Country: USA,,,,,,,,,
Variable: Estabs,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,           1994,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,009",275,113,44,8,8,2,1,1
b) 1,"1,104",467,216,126,24,11,5,1,
c) 2,930,498,254,130,36,20,2,4,
d) 3,937,558,259,161,54,14,8,4,1
e) 4,779,370,259,112,48,14,4,2,
f) 5,640,371,225,142,58,14,4,,
g) 6 to 10,"2,317","1,475",924,579,146,50,17,10,4
h) 11 to 15,"1,589","1,035",678,380,138,53,14,5,2
i) 16 to 20,475,351,230,142,42,24,6,2,2
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,715","1,093",934,777,322,175,30,16,12
m) ALL,"12,495","6,493","4,092","2,593",876,383,92,45,22
,           1995,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,004",300,102,67,20,6,,,
b) 1,"1,113",449,222,106,29,12,5,2,3
c) 2,888,402,216,106,30,12,4,2,
d) 3,815,463,220,113,38,19,,5,
e) 4,820,506,243,142,48,18,5,4,1
f) 5,675,350,232,109,41,10,3,2,
g) 6 to 10,"2,404","1,527",926,592,160,55,22,7,4
h) 11 to 15,"1,587",956,671,362,131,51,13,5,2
i) 16 to 20,724,518,333,179,54,33,8,2,2
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,644","1,089",866,732,302,171,29,16,12
m) ALL,"12,674","6,560","4,031","2,508",853,387,89,45,24
,           1996,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,009",276,129,83,14,9,1,1,1
b) 1,"1,083",455,251,117,40,18,4,,
c) 2,858,406,212,99,34,13,7,2,3
d) 3,759,350,185,109,23,13,2,3,
e) 4,714,394,190,103,29,16,1,4,
f) 5,738,438,235,110,50,14,5,3,1
g) 6 to 10,"2,387","1,516",913,535,169,62,19,10,2
h) 11 to 15,"1,593",970,658,405,135,48,18,4,3
i) 16 to 20,970,656,409,227,65,39,9,2,2
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,598",985,853,694,282,155,28,16,12
m) ALL,"12,709","6,446","4,035","2,482",841,387,94,45,24
,           1997,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,"2,080",244,116,54,9,6,,,
b) 1,"1,139",451,230,146,43,17,6,1,1
c) 2,864,427,238,105,49,18,4,,
d) 3,747,364,191,101,38,11,7,2,3
e) 4,636,322,182,114,22,13,2,3,
f) 5,609,349,176,102,28,13,3,2,
g) 6 to 10,"2,532","1,482",882,514,182,73,19,14,3
h) 11 to 15,"1,551",975,599,378,117,45,16,5,1
i) 16 to 20,"1,241",723,513,301,88,53,11,4,2
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,"1,521",968,791,633,273,155,28,14,12
