Country: USA,,,,,,,,,
Variable: Job_Destruction_Deaths,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
f) 5,299,253,99,D,0,D,D,D,
g) 6 to 10,"1,349",882,967,726,392,0,0,0,0
h) 11 to 15,153,115,D,D,0,0,D,,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,964,657,D,"1,150",678,726,D,0,0
m) ALL,"5,585","3,188","3,246","3,234","1,787","2,397","1,234",0,0
,           1989,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,D,,D
b) 1,854,392,439,D,D,0,D,D,
c) 2,832,386,566,570,D,D,0,0,0
d) 3,517,379,229,239,0,0,0,0,
e) 4,478,344,D,530,D,0,D,D,
f) 5,425,203,D,D,0,0,D,D,
g) 6 to 10,"1,116",634,777,D,0,D,0,0,0
h) 11 to 15,285,154,D,444,D,0,D,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,860,603,841,"1,090",D,D,0,0,0
m) ALL,"5,367","3,095","3,502","4,225",999,"1,547",661,0,0
,           1990,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,,,
b) 1,682,315,212,144,0,0,0,D,D
c) 2,642,325,258,191,D,D,D,D,
d) 3,655,263,246,D,D,0,0,0,0
e) 4,401,258,324,374,D,D,0,0,
f) 5,305,206,209,D,D,0,D,D,
g) 6 to 10,962,649,705,784,D,D,0,0,0
h) 11 to 15,461,335,266,423,D,D,0,D,D
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,821,357,544,500,D,660,D,0,0
m) ALL,"4,929","2,708","2,764","3,262","1,617","1,910","1,278",0,0
,           1991,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,890,279,298,D,D,D,D,D,
c) 2,508,323,448,300,511,0,0,D,D
d) 3,618,406,291,336,0,0,D,D,
e) 4,527,309,326,436,0,0,0,0,0
f) 5,311,367,171,D,D,D,D,D,D
g) 6 to 10,"1,206",607,582,388,736,0,0,0,0
h) 11 to 15,594,365,306,325,D,D,0,0,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,609,421,298,994,D,0,D,0,0
m) ALL,"5,263","3,077","2,720","3,169","1,991","1,219","1,931",0,0
,           1992,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,0,,
b) 1,"1,279",520,328,683,D,D,0,0,
c) 2,823,459,313,217,D,D,0,0,
d) 3,741,243,415,553,439,0,0,D,D
e) 4,665,323,289,322,D,D,D,D,
f) 5,463,269,117,D,D,0,D,0,D
g) 6 to 10,"1,220",811,682,D,"1,008",D,0,0,0
h) 11 to 15,635,519,308,318,0,0,0,0,0
i) 16 to 20,,,,,,,,,
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,703,356,743,620,726,0,0,0,0
m) ALL,"6,529","3,500","3,195","3,151","3,142",991,0,0,0
,           1993,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,D,D,,
b) 1,"1,214",503,564,461,0,D,D,0,
c) 2,984,438,257,197,0,0,0,D,D
d) 3,734,283,484,D,D,0,0,D,D
e) 4,415,213,225,420,0,"1,021",0,D,D
f) 5,460,315,188,D,0,D,D,D,
g) 6 to 10,"1,150",788,620,588,D,D,0,0,0
h) 11 to 15,612,236,281,342,0,0,0,0,0
i) 16 to 20,147,111,100,173,0,0,D,,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,620,498,372,687,598,"1,291",0,0,0
m) ALL,"6,336","3,385","3,091","3,262","1,385","3,168",0,"1,467",0
,           1994,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,D,D,D
b) 1,"1,064",446,393,370,D,D,D,D,
c) 2,704,439,D,217,D,0,D,D,
d) 3,683,522,312,318,D,D,0,D,D
e) 4,518,353,142,461,D,0,D,D,
f) 5,325,272,285,D,D,D,D,,
g) 6 to 10,"1,129",875,749,557,D,D,0,0,0
h) 11 to 15,601,442,266,285,D,D,0,D,D
i) 16 to 20,198,151,D,D,D,0,0,D,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,590,407,620,586,563,0,0,0,0
m) ALL,"5,812","3,907","3,163","3,038","2,431","2,011",659,"1,152",0
,           1995,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,0,0,0,0,0,0,,,
b) 1,"1,013",369,278,D,0,D,0,D,D
c) 2,698,324,269,219,0,0,D,D,
d) 3,541,371,D,D,0,0,,0,
e) 4,518,317,365,D,0,D,D,0,D
f) 5,433,286,D,298,D,0,D,D,
g) 6 to 10,"1,345",844,706,874,D,D,0,0,0
h) 11 to 15,578,461,298,444,0,0,0,D,D
i) 16 to 20,228,147,124,358,D,0,0,D,D
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,499,382,292,564,D,D,0,0,0
m) ALL,"5,853","3,501","2,535","3,131",882,"1,044",0,"1,830",0
,           1996,Estab Size,,,,,,,
