Country: USA,,,,,,,,,
Variable: Firmdeath_Estabs,,,,,,,,,
Unit of Analysis: Active Establishments*,,,,,,,,,
Source: Longitudinal Business Database 1977-2012,,,,,,,,,
 *Establishment activity is defined by the existence of March 12 employment,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,,
b) 1,363,27,11,4,.,.,.,.,
c) 2,245,19,4,3,.,.,.,.,.
d) 3,191,15,9,1,2,.,.,.,.
e) 4,116,15,3,3,.,2,.,.,.
f) 5,111,15,2,1,.,.,.,.,
g) 6 to 10,265,27,12,4,1,1,.,.,.
h) 11 to 15,149,10,5,1,.,.,.,.,.
i) 16 to 20,18,3,1,.,.,.,.,,.
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,158,21,3,5,1,1,.,.,.
m) ALL,"1,616",152,50,22,4,4,.,.,.
,           1994,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,.,.
b) 1,333,29,9,3,1,1,.,.,
c) 2,175,24,8,2,1,.,.,.,
d) 3,163,25,5,3,1,1,.,.,.
e) 4,131,14,4,9,1,.,1,.,
f) 5,91,11,6,1,1,.,.,,
g) 6 to 10,281,40,12,4,2,1,.,.,.
h) 11 to 15,131,14,7,4,.,.,.,.,.
i) 16 to 20,41,6,.,.,.,.,.,.,.
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,153,15,10,3,2,.,.,.,.
m) ALL,"1,499",178,61,29,9,3,1,.,.
,           1995,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,,,
b) 1,331,18,8,2,.,.,.,.,.
c) 2,183,23,8,2,.,.,.,.,
d) 3,135,16,3,.,.,.,,.,
e) 4,128,15,8,1,.,.,.,.,.
f) 5,118,15,1,.,.,.,.,.,
g) 6 to 10,326,52,12,3,.,.,.,.,.
h) 11 to 15,140,20,8,4,.,.,.,.,.
i) 16 to 20,58,8,1,.,.,.,.,.,.
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,126,13,7,2,1,.,.,.,.
m) ALL,"1,545",180,56,14,1,.,.,.,.
,           1996,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,.,.,.
b) 1,321,22,12,4,.,.,.,,
c) 2,215,17,4,1,.,.,.,.,.
d) 3,147,16,3,1,.,.,.,.,
e) 4,111,17,3,3,.,.,.,.,
f) 5,93,7,7,3,.,.,.,.,.
g) 6 to 10,331,37,16,4,1,.,.,.,.
h) 11 to 15,139,23,6,3,.,.,.,.,.
i) 16 to 20,64,6,2,3,.,.,.,.,.
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,120,13,6,1,1,1,.,.,.
m) ALL,"1,541",158,59,23,2,1,.,.,.
,           1997,Estab Size,,,,,,,
Estab Age,a) 1 to 4,b) 5 to 9,c) 10 to 19,d) 20 to 49,e) 50 to 99,f) 100 to 249,g) 250 to 499,h) 500 to 999,i) 1000+
a) 0,.,.,.,.,.,.,,,
b) 1,299,23,13,6,.,1,.,.,.
c) 2,173,26,4,1,.,.,.,,
d) 3,134,14,3,2,.,.,.,.,.
e) 4,115,13,4,.,.,.,.,.,
f) 5,98,12,4,1,.,.,.,.,
g) 6 to 10,309,33,13,4,1,1,.,.,.
h) 11 to 15,150,28,9,1,1,.,.,.,.
i) 16 to 20,99,13,4,3,.,.,.,.,.
j) 21 to 25,,,,,,,,,
k) 26+,,,,,,,,,
l) Left Censored,132,13,4,1,.,.,.,.,.
m) ALL,"1,509",175,58,19,2,2,.,.,.
,           1998,Estab Size,,,,,,,
