Table 8-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individuals in science and engineering occupations as a percentage of all occupations, by state: 2003–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Individuals in S&E occupations,,,,,,,,,,,All occupations,,,,,,,,,,,S&E occupations/all occupations (%),,,,,,,,,
State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
New Hampshire ,"23,430","24,350","26,840","27,680","28,450","29,150","30,550","29,200","29,260","28,950",,"607,570","618,310","621,560","627,570","632,590","634,570","619,390","603,420","606,690","612,710",,3.86,3.94,4.32,4.41,4.50,4.59,4.93,4.84,4.82,4.72
New Jersey,"161,420","165,150","174,270","176,460","186,120","198,060","195,690","185,360","182,210","181,480",,"3,878,020","3,901,020","3,917,310","3,957,500","3,980,080","3,986,310","3,850,770","3,770,550","3,771,250","3,793,720",,4.16,4.23,4.45,4.46,4.68,4.97,5.08,4.92,4.83,4.78
New Mexico ,"33,600","33,500","32,530","30,800","33,440","34,560","36,950","36,130","35,520","35,310",,"747,050","754,990","763,430","789,360","798,640","819,480","800,390","777,560","777,640","773,860",,4.50,4.44,4.26,3.90,4.19,4.22,4.62,4.65,4.57,4.56
New York,"272,440","272,930","289,010","306,810","322,520","326,510","315,480",NA,"310,510","321,480",,"8,236,200","8,299,910","8,333,460","8,387,750","8,515,960","8,633,580","8,487,020","8,344,020","8,427,560","8,542,280",,3.31,3.29,3.47,3.66,3.79,3.78,3.72,NA,3.68,3.76
North Carolina,"132,440","135,380","134,290","138,790","142,970","153,680","158,920","155,030","161,880","167,900",,"3,702,170","3,770,700","3,809,690","3,892,670","4,013,460","4,063,420","3,896,750","3,772,780","3,814,860","3,878,800",,3.58,3.59,3.52,3.57,3.56,3.78,4.08,4.11,4.24,4.33
North Dakota ,"8,430","8,420","9,070","9,360","9,660","9,450","9,930","11,050","12,070","13,120",,"314,620","324,430","328,520","335,740","341,970","350,360","353,630","355,710","371,630","403,290",,2.68,2.60,2.76,2.79,2.82,2.70,2.81,3.11,3.25,3.25
Ohio,"177,100","180,360","180,900","185,190","196,390","206,320","207,930","195,840","208,140",NA,,"5,308,270","5,324,700","5,340,280","5,354,170","5,341,360","5,323,130","5,091,490","4,921,690","4,977,910","5,054,250",,3.34,3.39,3.39,3.46,3.68,3.88,4.08,3.98,4.18,NA
Oklahoma ,"44,360",NA,"46,370","50,770","51,430","48,900","45,730","44,190","47,090","50,420",,"1,416,640","1,436,380","1,455,940","1,503,430","1,528,890","1,557,750","1,525,330","1,483,760","1,498,260","1,529,900",,3.13,NA,3.18,3.38,3.36,3.14,3.00,2.98,3.14,3.30
Oregon,"61,230","62,570","62,030","64,520","67,890","70,070","69,630",NA,NA,"75,780",,"1,537,000","1,576,890","1,598,780","1,648,680","1,682,150","1,706,740","1,624,490","1,569,700","1,586,620","1,609,900",,3.98,3.97,3.88,3.91,4.04,4.11,4.29,NA,NA,4.71
Pennsylvania,"185,560","195,730","204,270","214,910","218,890","227,170",NA,NA,NA,NA,,"5,494,430","5,535,000","5,569,310","5,631,520","5,663,070","5,705,170","5,572,660","5,483,220","5,549,240","5,596,480",,3.38,3.54,3.67,3.82,3.87,3.98,NA,NA,NA,NA
Rhode Island ,"18,740","19,660","18,080","18,060","18,400","18,090","18,120","18,210","19,450","20,180",,"477,320","480,290","479,810","482,550","485,870","478,420","458,760","448,150","450,980","453,020",,3.93,4.09,3.77,3.74,3.79,3.78,3.95,4.06,4.31,4.45
South Carolina ,"48,740","51,030","50,460","53,230","54,120","57,770","57,370","56,230","61,020","63,170",,"1,764,170","1,792,190","1,802,740","1,840,190","1,877,950","1,892,690","1,802,900","1,746,820","1,772,880","1,796,550",,2.76,2.85,2.80,2.89,2.88,3.05,3.18,3.22,3.44,3.52
South Dakota ,"9,150","9,420","9,460","10,120","11,550","11,870","11,570","11,150","11,790","12,000",,"364,970","371,010","373,500","381,230","389,400","395,960","392,890","387,590","392,670","398,680",,2.51,2.54,2.53,2.65,2.97,3.00,2.94,2.88,3.00,3.01
Tennessee,"63,680","65,120","66,390","67,040","70,820","72,760","68,970","71,850","77,630","79,830",,"2,614,830","2,665,060","2,686,580","2,718,410","2,739,230","2,755,800","2,625,140","2,569,420","2,602,320","2,657,280",,2.44,2.44,2.47,2.47,2.59,2.64,2.63,2.80,2.98,3.00
Texas,"365,270","383,180","389,550","408,710","441,410","463,850","470,010","451,390","469,080","493,980",,"9,248,660","9,306,600","9,424,510","9,760,960","10,061,750","10,391,420","10,289,240","10,089,870","10,304,370","10,579,400",,3.95,4.12,4.13,4.19,4.39,4.46,4.57,4.47,4.55,4.67
