5-Year Survival Rate for Startup Establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
PA,49.3%,48.7%,50.4%,52.1%,55.3%,52.5%,53.3%,58.4%,57.6%,54.0%,51.7%,53.2%,55.2%,55.1%,54.9%,53.7%,53.2%,53.5%,53.6%,52.5%,52.2%,52.9%,53.5%,54.6%,52.9%,54.7%,51.4%,50.2%,51.7%,52.7%,52.2%
RI,47.7%,47.2%,50.6%,50.1%,52.5%,51.4%,51.6%,54.4%,51.9%,47.6%,43.6%,45.6%,48.7%,48.4%,49.7%,50.7%,51.1%,48.9%,50.7%,48.3%,49.9%,50.2%,52.5%,54.2%,53.6%,51.5%,49.4%,45.2%,45.7%,45.6%,47.7%
SC,43.4%,41.1%,45.5%,47.0%,49.9%,49.0%,53.1%,54.8%,51.6%,49.3%,46.1%,48.9%,52.7%,52.0%,53.2%,49.8%,48.2%,49.6%,48.2%,47.4%,47.2%,46.9%,48.0%,51.9%,50.6%,51.0%,50.1%,48.2%,48.3%,46.6%,46.6%
SD,43.5%,43.7%,43.6%,45.7%,50.0%,48.6%,47.6%,54.6%,53.7%,49.1%,49.1%,55.6%,56.7%,54.6%,55.2%,52.2%,50.7%,49.6%,50.7%,52.3%,54.6%,52.3%,53.4%,57.1%,52.8%,52.2%,51.4%,49.7%,47.6%,49.9%,52.6%
TN,42.4%,41.0%,42.4%,43.9%,46.9%,45.7%,46.6%,53.6%,48.8%,47.7%,45.4%,49.1%,51.4%,50.9%,53.0%,49.3%,48.5%,47.3%,46.0%,45.8%,45.3%,45.4%,46.4%,49.0%,48.5%,49.2%,49.2%,47.2%,47.3%,48.3%,47.8%
TX,41.9%,47.5%,44.6%,47.4%,48.3%,41.3%,42.7%,44.0%,41.3%,41.5%,42.5%,47.7%,50.0%,49.9%,49.3%,46.7%,46.2%,46.0%,45.8%,46.1%,46.1%,45.8%,47.1%,48.8%,47.5%,48.9%,47.7%,47.6%,48.6%,50.2%,49.6%
UT,38.5%,43.8%,43.5%,41.9%,47.6%,43.0%,43.3%,41.4%,44.3%,44.2%,43.9%,48.9%,53.5%,52.2%,54.9%,49.1%,47.8%,46.2%,46.2%,45.4%,45.4%,44.7%,43.0%,46.3%,46.9%,48.4%,47.4%,45.4%,43.9%,44.0%,40.5%
VT,47.7%,45.4%,47.8%,47.8%,52.0%,50.4%,52.1%,55.7%,51.5%,51.4%,46.2%,47.9%,49.9%,52.1%,55.0%,52.9%,52.2%,53.9%,53.2%,53.2%,52.2%,53.4%,54.9%,56.5%,57.2%,55.1%,51.3%,48.4%,49.3%,48.8%,51.8%
VA,45.1%,44.3%,44.8%,48.6%,52.2%,50.2%,49.1%,59.9%,53.3%,50.3%,46.4%,49.0%,51.2%,51.4%,53.4%,50.8%,50.0%,49.8%,49.6%,50.1%,48.7%,48.6%,50.8%,51.1%,51.1%,51.7%,50.8%,47.3%,48.0%,48.2%,48.5%
WA,42.2%,40.3%,42.5%,45.8%,48.4%,46.6%,45.8%,39.7%,50.0%,47.7%,46.4%,50.7%,54.1%,50.4%,50.4%,46.2%,46.6%,45.0%,45.7%,45.1%,46.9%,45.4%,46.7%,49.2%,49.2%,50.6%,46.7%,46.6%,46.3%,45.0%,44.5%
WV,42.6%,40.7%,41.3%,44.2%,47.4%,45.1%,46.2%,60.2%,51.3%,49.3%,46.7%,50.3%,53.7%,53.2%,54.7%,53.0%,52.7%,50.2%,47.9%,48.2%,48.2%,47.2%,48.2%,51.2%,52.1%,49.9%,51.0%,50.2%,51.2%,50.9%,50.2%
WI,48.7%,48.3%,51.0%,50.8%,49.8%,50.1%,50.1%,54.7%,54.9%,60.7%,53.4%,55.5%,57.4%,56.1%,58.4%,54.6%,54.3%,53.9%,54.0%,55.1%,54.3%,54.1%,54.9%,55.8%,54.6%,52.9%,51.0%,49.3%,49.1%,51.7%,51.0%
WY,41.5%,46.6%,42.5%,41.0%,43.1%,39.9%,39.9%,42.3%,45.2%,48.9%,46.0%,52.1%,56.1%,54.3%,55.1%,48.9%,46.1%,48.6%,49.0%,48.0%,48.3%,49.3%,50.3%,54.6%,51.2%,50.7%,49.2%,46.6%,48.9%,47.9%,48.5%
US,44.5%,44.7%,46.0%,47.2%,49.7%,47.2%,47.8%,50.6%,50.1%,47.9%,46.1%,49.1%,51.2%,51.1%,51.3%,49.0%,48.5%,48.5%,48.4%,48.5%,48.1%,48.3%,48.8%,50.0%,49.6%,50.4%,48.0%,46.5%,46.3%,47.1%,47.2%
