State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
South Dakota,"9,150","9,530","9,460","10,120","11,550","11,870","11,570","11,150","11,790","12,000","12,770","13,220"
Tennessee,"63,680","65,730","66,390","67,040","70,820","72,760","68,970","71,850","77,630","79,830",NA,"86,680"
Texas,"365,270","384,600","389,550","408,710","441,410","463,850","470,010","451,390","469,080","493,980","514,400","541,060"
Utah,"45,570","45,250","45,110","49,690","51,340","52,570","51,270","50,830","51,350","54,720","57,980","62,810"
Vermont,"11,420","12,510","12,770","12,780","12,760","12,360","12,780","12,670","13,100","12,870","12,920","13,280"
Virginia,"209,280","233,590","236,650","251,720","254,710","259,280","264,090","255,800","267,620","274,280","276,230","272,410"
Washington,"150,230","156,780","160,960","171,780","183,900",NA,"196,850","186,210","196,760",NA,"209,710","208,630"
West Virginia,"16,220","15,990","16,040","17,150","16,560","17,000","16,350","17,070","18,300","19,900","19,490","20,110"
Wisconsin,"93,320","93,760","93,590","96,860","99,380","101,680","100,850","99,240","102,320","103,030","106,210","112,540"
Wyoming,"6,130","6,960","7,350","7,640","8,110","8,850","8,920","8,260","8,440","8,710",NA,"9,050"
