Series ID,State,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
SMU15000000000000001,Hawaii,,,,,,,,,,,,,,,,,,,,164.8,177.1,188.8,193.8,195.3,199.6,207.8,219.4,232.1,241.7,255.4,275.8,293.7,301.5,312.7,327.5,335.9,342.8,349.2,359.4,377.3,394,404.1,404.8,399.4,406.2,412.7,425.8,438.6,460,478.1,505.5,528.4,539.1,542.8,538.8,536.1,532.9,530.7,531.6,531.3,535,551.4,555,556.8,567.6,583.4,601.6,617.1,624.9,619.2,591.5,586.9,593.4,606.3,617.6
SMU16000000000000001,Idaho,84.4,88.9,96.2,107,102.2,102.1,102.9,114.4,122.6,125,126.2,131.6,138.7,137.8,135.8,133.4,138.5,145.4,148,150.8,154.9,155.2,159.1,164.6,164.7,168.6,177.6,184.8,187.7,192.9,201.4,207.9,217.2,236.5,251.7,266.8,273,291.1,307.4,331.3,338,330,327.8,312.2,317.9,330.5,336,328.2,333.4,348.6,365.8,385.4,397.5,414.5,433.4,458.7,475.3,489,505.5,521.3,538.9,559.6,567.7,568.2,572,587.9,611.3,638.4,654.9,648.8,609.9,603.6,610.8,622.3,638.3
SMU17000000000000001,Illinois,,,,,,,,,"3,181.1","3,223.4","3,103.1","3,175.2","3,312.6","3,367.2","3,461.6","3,333.2","3,426.8","3,555.4","3,575.3",3427,"3,516.1","3,537.9","3,502.5","3,572.6","3,614.4","3,712.2","3,880.4","4,095.4","4,209.7","4,284.9","4,376.1","4,345.6","4,296.4","4,314.8",4467,"4,545.7","4,418.9",4565,"4,655.5","4,788.8",4880,"4,850.3","4,732.3","4,593.3","4,530.6","4,672.3","4,755.3","4,790.7","4,928.3","5,097.5","5,213.9","5,287.6","5,233.2","5,234.8","5,330.4",5463,"5,593.2","5,684.6","5,771.4","5,898.6","5,958.5","6,044.8","5,995.2","5,883.9","5,810.8","5,815.9","5,861.9","5,932.7","5,980.3","5,949.4","5,657.4","5,612.7","5,676.6","5,749.8",5797
SMU18000000000000001,Indiana,817.4,875.4,1026,"1,120.6","1,197.5","1,169.9","1,100.5","1,108.1","1,194.2","1,226.9","1,187.7","1,272.4","1,353.1","1,360.4","1,422.4","1,319.9","1,377.4","1,405.8","1,408.1",1333,1397,"1,431.4","1,408.4","1,461.4","1,498.7","1,545.7","1,631.1","1,737.2",1777,"1,817.4","1,880.3",1849,"1,841.1","1,921.9","2,028.1","2,031.4","1,941.7","2,023.8",2114,"2,205.5","2,236.3","2,129.5","2,114.5","2,028.1","2,029.5","2,122.3","2,168.6","2,221.8","2,304.9","2,395.6","2,479.3","2,522.1","2,507.8","2,555.1","2,628.1","2,714.2","2,788.3","2,816.5",2861,2920,"2,973.1","3,003.5","2,937.2","2,907.3","2,902.2","2,933.7","2,960.3","2,979.2","2,991.5","2,962.8",2793,"2,802.7",2848,2901,"2,933.3"
SMU19000000000000001,Iowa,429.7,441.5,476.7,497.8,515.6,513.1,508.2,535.5,574.7,594,591.6,608.6,630.7,629.3,631.3,619.2,632.7,649.1,653.3,646.4,673.7,680.2,678.6,685.2,699.9,718.4,752.3,803.9,832.9,852.1,873.4,876.9,882.8,912.3,961.3,999,998.7,"1,036.9","1,079.2","1,119.2","1,131.7","1,109.9","1,088.6","1,041.9","1,040.4","1,074.7","1,074.2","1,073.8","1,109.1","1,156.2","1,200.1","1,226.4","1,238.2","1,252.6","1,278.5","1,319.9","1,358.1","1,383.4",1407,"1,442.8","1,468.6","1,478.5","1,465.6","1,447.3","1,440.4","1,457.3","1,480.5","1,504.2","1,519.1","1,524.4",1479,"1,469.3","1,486.2","1,508.8","1,529.6"
SMU20000000000000001,Kansas,296,307,345.6,421.4,471.4,457,421.9,403,427,443.2,448.3,464.4,511.8,539,545.2,542.4,545.1,551.8,556,547.7,560.3,560.3,562.5,573.5,574.2,587.3,600.4,634.3,652.8,672.1,686.5,678.8,677.9,717.5,763.3,790,801.2,834.8,871,912.5,946.8,944.7,949.8,921.4,921.5,960.8,967.9,984.8,"1,005.1","1,035.4","1,064.2","1,091.9","1,096.7","1,116.4","1,134.8","1,167.3","1,199.6","1,228.3",1270,"1,314.2","1,328.4","1,346.1","1,348.8","1,336.1","1,313.2",1325,"1,333.1","1,353.9","1,380.1","1,390.8","1,343.3","1,328.6","1,339.3","1,357.1","1,372.9"
SMU21000000000000001,Kentucky,382.5,401.7,442,477.8,481,475.2,466.4,487.4,529.6,548.1,528.2,547.8,598.9,619.6,631.2,598.7,620.2,649,656.7,623.5,631.7,653.6,648,673.7,702.9,721.7,758.9,804,836.5,868.6,895.5,910,931.6,988.3,"1,038.6","1,065.9","1,057.6","1,103.1","1,148.2","1,209.9","1,245.3",1210,"1,196.4","1,160.7","1,152.3","1,213.8","1,250.4","1,274.1","1,328.2","1,381.9",1433,"1,470.6","1,474.8","1,508.6","1,547.8","1,597.2","1,642.8","1,671.7","1,711.2","1,752.8","1,795.5","1,827.1","1,805.4","1,788.8","1,783.3","1,798.6","1,824.5","1,846.8","1,866.7","1,851.7","1,769.3","1,769.6","1,793.4","1,821.3",1835
SMU22000000000000001,Louisiana,410.1,434.4,489.2,531.8,579.3,571.7,540.5,543.5,592.4,617.9,623.2,636.2,669.5,684.4,711.4,708.9,725.5,771.5,802.6,782.6,789,783,774,790.1,810.3,849.3,898.4,957.9,997.2,"1,020.5","1,032.8","1,033.6","1,055.9","1,128.6","1,176.1","1,220.8","1,249.5","1,314.4","1,364.6","1,463.5","1,517.4","1,578.9","1,630.5",1607,"1,565.2","1,601.5","1,591.2","1,518.5","1,483.6","1,511.6","1,538.5","1,587.7","1,610.8","1,624.8","1,656.5","1,719.9","1,770.2","1,807.5","1,847.8","1,887.3",1894,"1,917.7","1,915.4","1,895.6","1,905.5","1,917.5","1,891.8","1,853.2","1,915.5","1,937.5","1,901.2","1,884.7","1,901.7","1,925.6",1951
SMU23000000000000001,Maine,212.3,216.5,251.8,287.2,297.1,282.2,258.4,259.8,262.8,265.5,252.1,253.9,271.8,276.4,275.5,270.3,275.1,279.4,273.6,265.1,273.3,277.5,277.1,279.5,279.6,285.1,295.4,309.3,316.9,323.2,330.1,332.2,332.3,343.7,354.8,361.5,356.9,375.3,387.8,405.5,415.9,418.3,419.3,415.5,425.1,445.7,458.4,477.4,501.1,527.1,541.9,535,513.5,511.9,519.4,531.6,538.1,542.4,553.7,569.1,586.3,603.5,608.1,606.5,606.8,611.7,611.7,614.7,617.7,617.2,596.3,593,594.7,598.1,601.7
SMU24000000000000001,Maryland,490.1,529,620.9,713.5,760.3,707.2,650.5,648.9,672.3,696.2,684.7,715.2,768.2,791.9,813.7,801.5,834.2,869.1,880.6,853.8,874.5,894.7,908.6,946.7,978.7,"1,009.6","1,057.5","1,132.1","1,178.5","1,223.8","1,272.4","1,349.2","1,371.5",1415,"1,471.5","1,493.6","1,479.3","1,498.3","1,545.5","1,625.5","1,691.4",1712,"1,715.8","1,675.6","1,723.8",1814,"1,887.8",1952,2028,"2,102.3","2,155.2","2,173.2","2,102.5","2,083.6","2,104.5","2,147.7","2,184.4","2,213.3","2,269.1","2,325.7","2,391.8","2,455.1","2,471.5",2480,"2,486.5","2,517.1","2,554.9","2,588.5","2,607.3","2,598.7","2,522.3","2,516.7","2,542.7","2,574.4","2,596.1"
SMU25000000000000001,Massachusetts,"1,367.6","1,424.4","1,586.6","1,675.3","1,755.1","1,701.2","1,643.2","1,697.2","1,727.2","1,756.5","1,707.7","1,757.1",1819,"1,806.1","1,841.1",1788,"1,814.5",1860,"1,864.6",1817,"1,880.7","1,901.1","1,911.1","1,942.7","1,943.2","1,958.1","2,015.8","2,097.4","2,147.9","2,187.9","2,249.4","2,243.5","2,211.4","2,251.7","2,333.4","2,353.8","2,273.1","2,323.5","2,416.1","2,526.3","2,603.5","2,654.3","2,671.8",2642,"2,696.5","2,855.8","2,931.2","2,992.1","3,071.2","3,138.2","3,118.2","2,987.7","2,824.2","2,798.2","2,843.2","2,906.7",2980,"3,039.4","3,113.9",3184,3247,"3,334.6","3,345.9","3,267.7","3,209.2","3,207.5","3,225.7","3,261.3","3,299.1","3,311.2","3,204.8","3,217.9","3,256.7","3,309.5",3356
SMU26000000000000001,Michigan,,,,,,,,,,,,,,,,,,"2,477.8","2,443.7","2,203.1","2,296.7","2,349.8","2,244.9","2,334.9","2,410.4","2,512.9","2,685.3",2861,"2,900.5","2,959.7","3,081.1","2,999.1",2995,"3,118.9","3,284.4","3,277.7","3,136.6",3283,"3,442.3","3,609.4","3,637.1","3,442.8","3,364.4","3,193.3","3,223.1",3381,"3,561.5","3,657.3","3,735.8","3,819.3","3,922.4","3,946.4","3,884.2","3,918.6","3,998.7","4,141.3","4,268.5","4,352.4","4,438.7","4,513.6","4,584.7","4,676.4","4,563.7","4,486.9","4,415.9",4399,"4,389.7","4,326.5","4,267.8","4,162.1","3,870.5","3,863.3","3,951.8","4,033.3","4,104.5"
SMU27000000000000001,Minnesota,,,,,,,,,,,,802.3,835,842.9,873.6,862,881.1,908.4,919.9,907.7,931.6,958.7,956.6,984.5,"1,001.7",1028,"1,080.6","1,148.3","1,199.8","1,243.4","1,299.8","1,315.3","1,310.2","1,357.1","1,436.1",1481,"1,474.4","1,520.9","1,597.3","1,689.3",1767,"1,770.2","1,761.3","1,707.3","1,718.4","1,819.8","1,865.5","1,892.5","1,962.5","2,028.1","2,086.8","2,135.9",2146,"2,194.2","2,251.9","2,319.6","2,387.8","2,442.5",2500,"2,564.3","2,622.3","2,684.9","2,689.5","2,664.5","2,660.3",2681,"2,723.3","2,758.2","2,771.3",2763,"2,655.1","2,641.3","2,688.6","2,730.8","2,777.2"
SMU28000000000000001,Mississippi,203,213.2,245.8,276.7,286.5,279.4,268.1,280.3,291.2,302.6,296.7,311.6,333.7,339.6,344.1,339.5,354,364.4,366.9,381.3,397.2,404,408.7,425.7,443.8,460.2,486.6,521.6,535.1,551.9,573,583.9,602.2,649.3,693.2,710.8,692.3,727.5,765.9,813.7,838.1,829.3,819.1,790.9,792.8,820.8,838.9,848.2,864.4,896.2,919.3,937.8,938.8,961.5,"1,003.5","1,056.9","1,075.8","1,090.3","1,108.4","1,135.2","1,154.7",1155,"1,131.4","1,125.1","1,116.4","1,126.1","1,131.7","1,142.6","1,154.2",1149,"1,097.6","1,092.5","1,092.9","1,102.3","1,111.9"
SMU29000000000000001,Missouri,838.7,866.6,975,"1,053.1","1,104.1","1,071.7","1,058.8","1,085.9","1,141.3","1,167.4","1,147.6","1,190.2","1,262.5","1,294.1",1314,"1,272.7","1,292.1","1,319.7","1,327.9","1,303.6","1,338.6","1,350.1","1,332.5","1,357.3","1,383.6","1,418.4","1,478.3","1,554.2","1,595.6","1,631.3","1,672.2","1,668.1","1,660.9","1,700.1","1,770.8","1,789.3","1,740.6","1,797.8","1,861.9","1,953.2","2,011.2","1,969.8","1,956.5","1,922.5",1937,"2,032.7","2,094.7","2,142.6","2,197.8","2,258.9",2315,2345,"2,309.1","2,333.7","2,394.3","2,470.6",2521,"2,567.6","2,639.5","2,684.3",2727,2749,2731,"2,699.8","2,681.7",2696,"2,737.3","2,776.7","2,797.8","2,793.2","2,689.7","2,658.4","2,666.7",2690,"2,729.8"
SMU30000000000000001,Montana,108.1,113.6,118.5,119.2,116.5,115.5,115.4,125.6,136.8,143.7,145.4,147.2,149.2,153.4,154.7,155.5,160.3,166.5,162.8,160.5,163.2,165,165.2,169.8,172.7,174.3,179.3,184.7,188,192.6,195.6,199.1,204.8,215.4,224.2,234,238.2,251.1,264.9,280.4,283.9,280.4,281.9,273.7,276,281.1,279.1,275.4,274.1,282.9,291,297.3,303.7,316.6,325.7,340.4,351.6,361.8,367,375.7,383.5,391.2,391.4,395.7,400.3,410.8,420.3,434.1,444.1,444.8,428.9,428.1,431.1,440.3,448.8
SMU31000000000000001,Nebraska,223.6,223.5,237.7,271.1,289.7,289.8,287.4,283,304.4,316.6,314.9,322.3,336.9,347.7,352.3,351.7,358.2,360,359.3,360.1,372.4,384.4,390.5,396.4,401.9,408.9,418.7,434.2,449.3,458.9,474.4,484.3,490.9,517,541.3,562.1,557.8,572.1,593.7,610.1,631.2,627.6,623.2,609.8,610.8,635.4,650.5,652.5,667.2,688.1,708,731,740.8,752.3,769.6,799.1,820.3,839,858,879.9,896.1,913.1,919.5,911,913.7,921.3,934,945.5,961.7,969.5,949.3,945.1,952.6,968.8,978.3
SMU32000000000000001,Nevada,34.8,37.5,41.8,58.5,55.8,48.9,48.1,53.1,53.6,53.1,51.4,53.8,58.6,66.1,72,76.1,84.3,85.7,88.2,88.2,95.9,103.3,109.7,126.9,142.7,149.4,157.3,162,166.1,177.3,193.5,203.2,210.5,223.5,244.6,256,263.1,279.8,308.2,350.2,383.7,399.9,411.1,401.1,402.8,426,446.4,468.1,500.2,537.6,581,621,628.6,638.7,671.5,738.1,786.1,842.9,890.7,925.9,983,"1,026.9","1,051.4",1052,"1,088.3","1,152.7",1223,"1,279.6","1,292.5","1,263.6","1,148.3","1,117.8","1,125.7","1,144.8","1,175.7"
SMU33000000000000001,New Hampshire,147.7,148.8,163.6,161.7,150.3,148,148.9,163.4,170.3,174.6,165.7,170.3,177,177.9,177.9,177.1,183.6,187,188.9,187.7,196.1,200.7,201.9,207.9,208.8,212.8,220.8,235.2,244,251.8,259.2,258.5,259.9,278.5,297.8,300.3,292.8,313.4,337.1,359.7,378.5,385.4,394.6,394.4,409.5,441.6,466.1,490.1,512.8,529,529.1,508,482,486.9,502.4,523,539.6,553.5,570.1,588.9,605.7,621.9,627.1,618.2,617.7,627.2,636.5,643,648.1,649.6,628.4,624.8,628.4,634.8,640.1
SMU34000000000000001,New Jersey,"1,247.1","1,314.3","1,501.1","1,641.9","1,736.6","1,693.8","1,572.8","1,561.8","1,622.4","1,657.1","1,595.6","1,656.8","1,767.9","1,804.1","1,850.3","1,820.8","1,865.3","1,933.2","1,968.3","1,911.8","1,970.9","2,017.1","2,033.6","2,095.8","2,129.4","2,168.7","2,256.5","2,359.1","2,421.5","2,485.2","2,569.6","2,606.2","2,607.6","2,672.5","2,759.7",2783,"2,699.9","2,753.7","2,836.9","2,961.9","3,027.2","3,060.4","3,098.9","3,092.7","3,165.1","3,329.2","3,414.1","3,488.1","3,576.3",3651,"3,689.8","3,635.1","3,498.7","3,457.9",3493,"3,552.8","3,600.6","3,638.9","3,724.5","3,801.3","3,901.1","3,994.5","3,996.8","3,983.5","3,977.1","3,997.8","4,038.2","4,069.5","4,076.9","4,048.2","3,893.9","3,848.4","3,847.5","3,890.8","3,934.8"
SMU35000000000000001,New Mexico,79.5,83.9,91,98.5,99.8,101.2,105.9,115.1,122.7,134.3,140.9,151.7,161.1,171.4,179.4,175.3,182.9,197.8,210.3,220.7,233.5,236.3,236.2,242.6,248.6,255.7,262.5,271.7,272.6,276.6,287.5,292.6,305.7,327.5,346,360.2,370.2,390,415.4,444.3,461,465.4,475.5,473.6,479.5,502.7,520.2,525.9,529.3,547.5,562.2,580.4,585.4,601.5,626.2,657.3,682.4,694.6,708.5,720,729.7,744.8,757.2,766.1,775.6,790.4,808.7,832.2,843.7,846.8,812.4,803.1,803.2,806.7,811.3
SMU36000000000000001,New York,"4,130.9","4,324.7","4,735.4","4,997.7","5,226.1","5,182.8","5,061.3","5,324.8","5,518.2","5,596.1","5,472.5",5576,"5,755.4","5,827.7","5,935.7","5,828.3","5,917.2","6,092.6",6179,"6,027.2","6,128.1","6,181.9","6,157.7","6,261.4","6,273.7","6,370.7","6,518.7","6,709.5","6,858.3","7,001.7",7182,"7,156.5","7,011.4","7,038.5","7,132.2","7,077.1","6,829.9","6,789.5","6,857.6","7,044.5","7,179.4","7,207.1","7,287.3","7,254.6","7,313.3","7,570.4","7,751.3","7,907.9","8,059.4","8,186.9","8,246.8","8,203.2","7,877.8","7,721.5","7,751.1","7,822.8","7,883.7","7,930.5","8,059.1","8,228.9","8,448.2","8,627.7","8,584.3","8,451.5","8,399.4","8,454.5","8,526.7","8,608.2","8,723.9","8,782.6","8,545.6","8,556.8","8,678.1","8,797.9","8,908.5"
SMU37000000000000001,North Carolina,622.7,653.6,736.3,783.5,812.6,779.4,759.3,827.8,879.6,894.9,868.3,927.8,987.3,"1,006.4","1,023.7","1,011.9","1,059.4","1,099.2","1,101.4","1,108.8","1,163.7","1,195.5","1,209.1","1,258.5","1,298.6","1,353.7","1,431.2","1,534.3","1,600.9","1,678.6",1747,"1,782.8","1,813.5",1912,"2,018.1","2,048.2","1,979.8","2,082.8","2,170.6","2,277.5",2373,"2,380.1","2,391.6",2347,"2,419.3","2,565.2","2,651.2","2,744.1","2,862.6","2,986.6","3,073.9","3,127.1","3,081.3","3,144.9","3,246.7","3,354.5","3,453.8","3,538.2","3,654.4","3,759.4","3,849.3","3,915.1",3893,"3,835.1","3,786.9","3,833.8",3912,"4,037.3","4,141.3","4,130.7",3904,"3,869.6","3,916.6","3,986.3","4,056.9"
SMU38000000000000001,North Dakota,72.2,74.2,78.3,78.2,77.3,79.8,81.1,90.2,97.9,103.8,106.8,109.3,109.9,113.6,115.4,117.4,116.3,120.2,121.6,123.2,128.3,126.8,127.1,131.3,136.7,142.6,146.1,148.4,151.5,155.7,157.9,163.7,167.1,176.1,183.9,193.8,203.6,215,221.1,234,244.2,245.2,249.4,249.7,250.7,252.5,252,249.9,252.4,256.8,260.4,265.8,270.6,277.2,284.9,294.8,301.8,308.7,314.1,319.5,323.9,327.7,329.7,329.8,332.6,337.9,344.7,352.2,358.4,367.3,366.7,376,396.6,429,444.3
SMU39000000000000001,Ohio,"1,783.8","1,906.6","2,201.3","2,411.3",2607,2558,"2,417.9","2,532.1","2,708.3","2,785.5","2,654.9",2760,"2,953.4","3,005.7","3,150.3","3,028.4","3,128.9","3,219.7","3,230.6","3,007.2","3,112.5","3,147.3","3,044.3","3,099.2","3,145.2","3,216.3","3,364.3","3,537.3","3,619.8","3,750.8","3,887.3","3,880.7","3,839.6","3,938.3","4,112.9","4,169.4","4,016.2","4,094.6","4,230.1","4,394.9","4,484.8","4,367.4","4,317.7","4,124.3","4,092.5","4,260.2","4,372.9","4,471.5","4,582.6","4,700.6","4,817.5","4,882.3","4,818.6","4,847.7","4,918.3",5076,"5,221.1","5,296.4","5,392.5","5,482.1","5,563.6","5,624.7","5,542.6",5445,"5,397.7","5,408.4","5,426.7","5,435.4","5,426.3","5,359.5","5,068.6","5,030.5","5,097.4","5,189.6","5,252.4"
SMU40000000000000001,Oklahoma,326.3,332.4,358,411.5,447,435.7,424,412.2,437.3,462.8,465.9,476.9,504.3,526.5,535.3,531.4,550.9,563.4,564.4,555,569.2,577.1,582.1,596.7,606.7,619.3,642.5,676,699.6,720.4,748.2,762.5,774.4,812,851.9,886.9,899.7,931.1,971.6,"1,035.7",1088,"1,138.1","1,201.2","1,216.9","1,170.7","1,180.3","1,165.3","1,124.4","1,108.5","1,131.5","1,163.8","1,209.6","1,224.8","1,235.6","1,260.9","1,293.5","1,329.7","1,367.6","1,406.6","1,454.2","1,474.9","1,502.4","1,519.6","1,499.3",1471,"1,487.1","1,525.2","1,565.7","1,594.9","1,618.4","1,567.6",1556,"1,577.7","1,614.1","1,633.1"
