State,Year,Percent of population in the Civilian Labor Force,Percent of population employed in Civilian Labor Force
South Dakota,1981,67.1,63.9
Tennessee,1981,61.7,56
Texas,1981,67.1,63.5
Utah,1981,65.4,61.2
Vermont,1981,67.4,63.5
Virginia,1981,66.6,62.7
Washington,1981,63.9,57.9
West Virginia,1981,52.9,47.3
Wisconsin,1981,67.9,62.5
Wyoming,1981,71,68.1
Alabama,1982,58.9,51.2
Alaska,1982,73.6,66.4
Arizona,1982,63.5,57.1
Arkansas,1982,60.2,54.5
California,1982,65.9,59.3
Colorado,1982,71.4,65.9
Connecticut,1982,67.4,62.8
Delaware,1982,65,59.8
Florida,1982,57.9,53.1
Georgia,1982,64.3,59.4
Hawaii,1982,66.6,62.7
Idaho,1982,64.5,58.7
Illinois,1982,65.4,58
Indiana,1982,64.2,56.5
Iowa,1982,65.5,60.2
Kansas,1982,66.6,62.3
Kentucky,1982,62.5,55.8
Louisiana,1982,60.2,54.1
Maine,1982,61.7,56.6
Maryland,1982,67.6,62
Massachusetts,1982,66.7,61.4
Michigan,1982,63,53.2
Minnesota,1982,70.6,64.9
Mississippi,1982,59.2,52.4
Missouri,1982,63,57.2
Montana,1982,65.5,60.1
Nebraska,1982,67.2,63.4
Nevada,1982,72.9,65.7
New Hampshire,1982,69.1,64.3
New Jersey,1982,63.5,58
New Mexico,1982,61.2,55.7
New York,1982,59.3,54.2
North Carolina,1982,66.3,60
North Dakota,1982,66,62.2
Ohio,1982,64.1,56
Oklahoma,1982,63.6,59.7
Oregon,1982,66.2,58.5
Pennsylvania,1982,60.1,53.3
Rhode Island,1982,65.1,59
South Carolina,1982,65.2,58.2
South Dakota,1982,66.8,63.2
Tennessee,1982,61.6,54.4
Texas,1982,67.4,62.7
Utah,1982,66.2,60.7
Vermont,1982,68,63.1
Virginia,1982,66.3,61.4
Washington,1982,64.1,56.5
West Virginia,1982,52.7,45.2
Wisconsin,1982,68.2,61.2
Wyoming,1982,70.8,66.5
Alabama,1983,59.3,51.7
Alaska,1983,72.4,65.2
Arizona,1983,63.6,57.7
Arkansas,1983,60,54.1
California,1983,65.6,59.2
Colorado,1983,72,66.7
Connecticut,1983,67.4,63.4
Delaware,1983,65.4,60.4
Florida,1983,58.5,53.5
Georgia,1983,64.5,59.7
Hawaii,1983,66.7,62.8
Idaho,1983,65.3,59.6
Illinois,1983,65.2,57.6
Indiana,1983,63.7,56.6
Iowa,1983,65.8,60.3
Kansas,1983,66.5,62.5
Kentucky,1983,62.7,55.7
Louisiana,1983,60.4,53.3
Maine,1983,62.4,57.5
Maryland,1983,67.7,62.8
Massachusetts,1983,66.5,61.8
Michigan,1983,63.4,54.1
Minnesota,1983,70.8,65.1
Mississippi,1983,59.4,51.9
Missouri,1983,63.4,57.2
Montana,1983,65.9,60.2
Nebraska,1983,67,63.2
Nevada,1983,72.5,65.5
New Hampshire,1983,69.2,65.3
New Jersey,1983,63.8,58.7
New Mexico,1983,61.3,55.4
New York,1983,59.2,54.1
North Carolina,1983,65.4,59.6
North Dakota,1983,65.8,61.9
Ohio,1983,63.8,56
Oklahoma,1983,64.1,58.6
Oregon,1983,66.3,59
Pennsylvania,1983,60,53
Rhode Island,1983,64.9,59.4
South Carolina,1983,64.3,58.2
South Dakota,1983,66.5,63
Tennessee,1983,62.4,55.1
Texas,1983,67.7,62.3
Utah,1983,66.3,60.4
Vermont,1983,67.8,63.2
Virginia,1983,67,62.8
Washington,1983,64.7,57.6
West Virginia,1983,52.7,43.5
Wisconsin,1983,67.8,61.2
Wyoming,1983,71.1,65.2
Alabama,1984,59.7,53.7
Alaska,1984,72.9,65.8
Arizona,1984,63.4,60.2
Arkansas,1984,60.1,55.1
California,1984,65.9,60.8
Colorado,1984,72.4,68.6
Connecticut,1984,68.1,65
Delaware,1984,66.5,62.4
Florida,1984,59.5,55.6
Georgia,1984,65.6,61.6
Hawaii,1984,66.3,62.7
Idaho,1984,66.2,61.3
Illinois,1984,65.2,59.3
Indiana,1984,64.5,59.1
Iowa,1984,65.6,60.8
Kansas,1984,66.8,63.4
Kentucky,1984,62.2,56.6
Louisiana,1984,60.9,54.9
Maine,1984,63.5,59.7
Maryland,1984,68,64.5
Massachusetts,1984,67.2,64
Michigan,1984,64,56.7
Minnesota,1984,71.6,67.1
Mississippi,1984,59.3,52.9
Missouri,1984,63.7,59.2
Montana,1984,66.8,61.6
Nebraska,1984,67.1,64.1
Nevada,1984,72.5,66.9
New Hampshire,1984,71.1,68.1
New Jersey,1984,65,61
New Mexico,1984,62.1,57.2
New York,1984,59.6,55.4
North Carolina,1984,66.4,61.9
North Dakota,1984,66.2,62.6
Ohio,1984,63.6,57.6
Oklahoma,1984,64.2,59.7
Oregon,1984,65.9,59.8
Pennsylvania,1984,59.9,54.4
Rhode Island,1984,66.3,62.6
South Carolina,1984,63.3,59.1
South Dakota,1984,67.2,64.2
Tennessee,1984,63.1,57.2
Texas,1984,67.9,63.7
Utah,1984,67.2,62.8
Vermont,1984,68.5,65.2
Virginia,1984,67.7,64.2
Washington,1984,64.1,58.2
West Virginia,1984,51.7,44.1
Wisconsin,1984,67.2,62.3
Wyoming,1984,70.5,66
Alabama,1985,60,54.8
Alaska,1985,73,66
Arizona,1985,63.6,59.6
Arkansas,1985,60.5,55.4
California,1985,66,61.2
Colorado,1985,71.8,67.5
Connecticut,1985,68.9,65.8
Delaware,1985,66.7,63.3
Florida,1985,59.7,56
Georgia,1985,66.1,61.9
Hawaii,1985,66.2,62.9
Idaho,1985,66.5,61.2
Illinois,1985,65.6,59.6
Indiana,1985,65.5,60.4
Iowa,1985,66.5,61.2
Kansas,1985,68.2,64.7
Kentucky,1985,62.1,56.4
Louisiana,1985,62.2,55.1
Maine,1985,63.4,59.9
Maryland,1985,68,64.8
Massachusetts,1985,67.3,64.5
Michigan,1985,64.2,57.8
Minnesota,1985,71.8,67.5
Mississippi,1985,60.3,53.8
Missouri,1985,64.7,60.5
Montana,1985,66.5,61.3
Nebraska,1985,68.6,65.1
Nevada,1985,71.6,66.2
New Hampshire,1985,71.9,69.2
New Jersey,1985,65.4,61.8
New Mexico,1985,63.2,57.7
New York,1985,60.5,56.5
North Carolina,1985,66.5,62.6
North Dakota,1985,67.3,63.5
Ohio,1985,63.9,58.2
Oklahoma,1985,65.4,60.5
Oregon,1985,65.9,60.1
Pennsylvania,1985,60.3,55.5
Rhode Island,1985,66.6,63.6
South Carolina,1985,65.3,61
South Dakota,1985,68,64.8
