State,Year,Percent of population in the Civilian Labor Force,Percent of population employed in Civilian Labor Force
Oklahoma,2010,62.7,58.4
Oregon,2010,64.9,57.9
Pennsylvania,2010,63.6,58.2
Rhode Island,2010,68,60
South Carolina,2010,60.8,54
South Dakota,2010,71.5,67.9
Tennessee,2010,62.6,56.4
Texas,2010,66.2,60.8
Utah,2010,69.1,63.5
Vermont,2010,70.8,66.2
Virginia,2010,67.4,62.6
Washington,2010,67,60.4
West Virginia,2010,54.7,50.1
Wisconsin,2010,69.5,63.6
Wyoming,2010,70.1,65.2
Alabama,2011,58.8,53.8
Alaska,2011,69,63.8
Arizona,2011,61.9,56.1
Arkansas,2011,60.1,55.3
California,2011,63.6,56.1
Colorado,2011,69.5,63.5
Connecticut,2011,67.4,61.4
Delaware,2011,61.5,57
Florida,2011,60.8,54.6
Georgia,2011,64.3,58
Hawaii,2011,62.4,58.3
Idaho,2011,64.9,59.5
Illinois,2011,66.1,59.7
Indiana,2011,63.4,57.8
Iowa,2011,70.1,66
Kansas,2011,69.2,64.7
Kentucky,2011,61.7,55.8
Louisiana,2011,59.4,55.1
Maine,2011,65.3,60.3
Maryland,2011,68,63.1
Massachusetts,2011,65.5,60.7
Michigan,2011,60.4,54.1
Minnesota,2011,71.5,66.9
Mississippi,2011,59.2,53
Missouri,2011,64.9,59.4
Montana,2011,63.6,59.4
Nebraska,2011,71.7,68.5
Nevada,2011,66.4,57.6
New Hampshire,2011,69.7,65.9
New Jersey,2011,65.5,59.4
New Mexico,2011,58.4,54
New York,2011,61.6,56.6
North Carolina,2011,62.9,56.5
North Dakota,2011,72.2,69.7
Ohio,2011,64.3,58.7
Oklahoma,2011,62,58.3
Oregon,2011,64.2,58
Pennsylvania,2011,63.2,58.2
Rhode Island,2011,66.8,59.3
South Carolina,2011,60.3,54.1
South Dakota,2011,71.2,67.8
Tennessee,2011,62.7,56.9
Texas,2011,65.9,60.7
Utah,2011,67.9,63.3
Vermont,2011,70.2,66.3
Virginia,2011,67.4,63.1
Washington,2011,65.4,59.4
West Virginia,2011,54.3,50
Wisconsin,2011,68.8,63.6
Wyoming,2011,69.3,65.1
Alabama,2012,57.7,53.6
Alaska,2012,68.4,63.6
Arizona,2012,60.5,55.5
Arkansas,2012,59.4,54.9
California,2012,63.1,56.5
Colorado,2012,68.8,63.4
Connecticut,2012,66.4,60.9
Delaware,2012,61.3,56.9
Florida,2012,60.6,55.3
Georgia,2012,63.8,58
Hawaii,2012,61.1,57.7
Idaho,2012,64.7,60
Illinois,2012,65.8,59.9
Indiana,2012,63,57.9
Iowa,2012,69.6,66
Kansas,2012,68.4,64.4
Kentucky,2012,61.3,56.2
Louisiana,2012,59.4,55.5
Maine,2012,65.3,60.6
Maryland,2012,68,63.3
Massachusetts,2012,65,60.6
Michigan,2012,60,54.5
Minnesota,2012,70.7,66.8
Mississippi,2012,58.2,52.9
Missouri,2012,64.2,59.7
Montana,2012,64,60.2
Nebraska,2012,72.2,69.3
Nevada,2012,64.9,57.5
New Hampshire,2012,69.6,65.8
New Jersey,2012,65.5,59.4
New Mexico,2012,58.2,54.1
New York,2012,61.8,56.6
North Carolina,2012,62.8,57
North Dakota,2012,72.5,70.4
Ohio,2012,63.6,58.9
Oklahoma,2012,62,58.7
Oregon,2012,62.9,57.3
Pennsylvania,2012,63.7,58.6
Rhode Island,2012,66.2,59.4
South Carolina,2012,59.7,54.4
South Dakota,2012,70.4,67.5
Tennessee,2012,61.7,56.7
Texas,2012,65.4,60.9
Utah,2012,67.9,64.2
Vermont,2012,69.5,66.2
Virginia,2012,66.8,62.9
Washington,2012,64.8,59.6
West Virginia,2012,54.2,50.3
Wisconsin,2012,68.3,63.5
Wyoming,2012,68.8,65.1
Alabama,2013,56.8,53.1
Alaska,2013,67.8,63.4
Arizona,2013,59.3,54.6
Arkansas,2013,58.3,53.9
California,2013,62.7,57
Colorado,2013,67.8,63.2
Connecticut,2013,65.1,60.1
Delaware,2013,60.8,56.7
Florida,2013,60.2,55.8
Georgia,2013,63,57.9
Hawaii,2013,60.6,57.7
Idaho,2013,64.1,60.1
Illinois,2013,65.4,59.4
Indiana,2013,62.8,58
Iowa,2013,69.5,66.3
Kansas,2013,67.9,64.3
Kentucky,2013,60.7,55.7
Louisiana,2013,59.6,55.9
Maine,2013,65.3,60.9
Maryland,2013,67.4,63
Massachusetts,2013,64.7,60.1
Michigan,2013,60.2,55
Minnesota,2013,70.4,66.8
Mississippi,2013,56.9,52
Missouri,2013,64.3,60.1
Montana,2013,64.1,60.5
Nebraska,2013,72,69.2
Nevada,2013,63.5,57.2
New Hampshire,2013,69.2,65.6
New Jersey,2013,64.7,59.4
New Mexico,2013,58.1,54.1
New York,2013,61.5,56.8
North Carolina,2013,61.9,56.9
North Dakota,2013,71.5,69.4
Ohio,2013,63.6,59
Oklahoma,2013,62.2,58.8
Oregon,2013,61.4,56.7
Pennsylvania,2013,63.5,58.8
Rhode Island,2013,65.6,59.3
South Carolina,2013,58.8,54.4
South Dakota,2013,69.9,67.2
Tennessee,2013,60.6,55.6
Texas,2013,65.2,61.1
Utah,2013,68.6,65.6
Vermont,2013,68.5,65.5
Virginia,2013,66.4,62.7
Washington,2013,63.6,59.1
West Virginia,2013,53.5,50.1
Wisconsin,2013,68.2,63.6
Wyoming,2013,68.1,64.9
