State,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
New Jersey,267.7869531,NA,269.4232281,NA,270.1415503,NA,272.8026339,NA,275.1831643,NA,276.3779878
New Mexico,251.599156,NA,251.0333307,NA,250.7531745,NA,254.1291737,NA,255.8616346,NA,255.870077
New York,265.3297945,NA,265.1385618,NA,263.5457165,NA,264.2880575,NA,265.6970283,NA,266.3460632
North Carolina,261.7116448,NA,258.1601855,NA,259.1367031,NA,259.5284866,NA,262.9289563,NA,264.5409997
North Dakota,269.7303543,NA,270.2437558,NA,268.0176705,NA,269.2399849,NA,268.6942179,NA,267.7791997
Ohio,266.5661059,NA,266.7672812,NA,267.9789794,NA,268.6782355,NA,268.2839492,NA,269.0869734
Oklahoma,261.719961,NA,259.63136,NA,259.5472252,NA,259.495771,NA,260.1212646,NA,261.9314952
Oregon,264.0255699,NA,263.1568908,NA,265.7102102,NA,265.0892467,NA,264.2256116,NA,268.2826627
Pennsylvania,264.2673651,NA,266.8219111,NA,267.6656302,NA,270.7005367,NA,267.7505967,NA,272.0853653
Rhode Island,260.8795721,NA,260.9683268,NA,258.3211177,NA,259.8855897,NA,265.1195563,NA,266.6770524
South Carolina,258.0889914,NA,257.1691046,NA,257.4212028,NA,257.2741846,NA,260.3070199,NA,261.4490507
South Dakota,269.9710586,NA,268.5404356,NA,269.5967634,NA,270.0609902,NA,268.9415376,NA,268.1007728
Tennessee,258.1083646,NA,259.0723418,NA,259.1619549,NA,260.9466762,NA,259.2083707,NA,265.3595046
Texas,258.777258,NA,258.191598,NA,260.8129192,NA,260.368795,NA,261.4283909,NA,263.6841377
Utah,264.3034426,NA,261.8708721,NA,262.2280247,NA,265.5915771,NA,267.0874061,NA,270.0419258
Vermont,270.519439,NA,268.7724206,NA,273.0457572,NA,272.3051342,NA,273.840765,NA,274.3685477
Virginia,268.0048171,NA,267.8089667,NA,266.8787375,NA,265.6419817,NA,267.2728912,NA,267.5898643
Washington,264.4940665,NA,264.6565519,NA,264.9477781,NA,266.9176171,NA,267.5774737,NA,272.0361244
West Virginia,259.5642379,NA,255.0733796,NA,254.9985524,NA,254.7997475,NA,256.1068616,NA,257.3835093
Wisconsin,266.4686176,NA,266.2285608,NA,264.1845096,NA,265.8126157,NA,267.1670297,NA,267.5429942
Wyoming,267.0010285,NA,268.1242349,NA,266.2255436,NA,268.1594281,NA,269.5687297,NA,270.9661722
