Table 8-46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business-performed domestic R&D as a percentage of private-industry output, by state: 1998Ð2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business-performed domestic R&D ($millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private-industry output ($millions),,,,,,,,,,,,,,,,Business-performed domestic R&D/ private-industry output (%),,,,,,,,,,,,,
Maryland,"1,905",,"2,020",   ,"2,213", ,"3,682",,"3,800",,"3,118",r,"3,826",   ,"3,706",,"3,421",   ,"3,665",,"2,327",,"2,488",,"4,384",,"5,101",,,"133,318","142,577","151,665","162,500","170,942","179,234","191,875","204,972","215,095","224,840","231,460","232,872","241,853","248,615",0,,1.43,1.42,1.46,2.27,2.22,1.74,1.99,1.81,1.59,1.63,1.01,1.07,1.81,2.05
Massachusetts,"10,367",,"9,781",   ,"10,857", ,"11,756",,"10,609",,"11,092",r,"11,819",   ,"13,342",,"15,562",   ,"19,488",,"12,625",,"12,215",,"14,020",,"15,722",,,"214,438","228,268","249,400","257,702","262,342","271,210","282,934","294,299","307,528","321,225","328,809","326,364","341,540","352,398",0,,4.83,4.28,4.35,4.56,4.04,4.09,4.18,4.53,5.06,6.07,3.84,3.74,4.1,4.46
Michigan,"12,554",,"16,877",   ,"17,489",i,"14,283",,"13,565",,"15,217",r,"15,170",   ,"16,752",,"16,477",   ,"15,736",,"12,105",,"10,607",,"12,144",,"13,660",,,"273,346","290,658","302,874","301,664","314,483","324,023","325,701","333,465","333,606","343,213","323,931","303,239","321,084","339,886",0,,4.59,5.81,5.77,4.73,4.31,4.7,4.66,5.02,4.94,4.58,3.74,3.5,3.78,4.02
Minnesota,"3,367",,"3,695",   ,"3,971", ,"4,355",,"4,460",,"5,003",   ,"5,199",   ,"6,340",,"6,296",   ,"6,636",,"5,327",,"6,133",,"6,246",,"6,174",,,"147,742","156,300","169,659","173,971","180,347","190,376","204,125","213,674","219,748","227,539","234,787","229,418","240,577","251,930",0,,2.28,2.36,2.34,2.5,2.47,2.63,2.55,2.97,2.87,2.92,2.27,2.67,2.6,2.45
Mississippi ,183,e,224,e,242,e,219,e,224,,199,r,160,,194,,231,   ,279,,179,,180,,243,,235,,,"50,999","53,265","54,560","56,068","57,354","60,851","63,887","66,961","71,207","76,125","78,398","74,949","77,930","79,490",0,,0.36,0.42,0.44,0.39,0.39,0.33,0.25,0.29,0.32,0.37,0.23,0.24,0.31,0.3
Missouri,"1,505",,"1,664", ,"1,978",,"1,792", ,"1,592",,"1,742",   ,"2,151",   ,"2,602",,"2,675",   ,"2,736",   ,"2,857",,"3,136",,"8,106",i,NA,,,"146,619","153,383","160,255","163,803","169,681","176,459","183,850","190,694","196,615","204,489","211,245","206,285","211,961","217,573",0,,1.03,1.08,1.23,1.09,0.94,0.99,1.17,1.36,1.36,1.34,1.35,1.52,3.82,NA
Montana ,63,   ,92,e,78,e,70,e,66,,65,   ,70,   ,77,,103,i,134,   ,125,,123,,145,,136,,,"16,761","17,268","17,884","19,184","19,660","21,217","23,169","25,180","27,064","29,644","30,122","29,102","30,390","32,709",0,,0.38,0.53,0.44,0.36,0.34,0.31,0.3,0.31,0.38,0.45,0.41,0.42,0.48,0.42
Nebraska ,195,e,217,e,335,e,306, ,342,,363,   ,383,   ,407,,447,   ,489,   ,464,,493,,527,,636,,,"44,705","46,631","49,726","51,532","52,606","57,256","60,204","62,883","66,099","71,611","73,993","74,875","78,398","83,460",0,,0.44,0.47,0.67,0.59,0.65,0.63,0.64,0.65,0.68,0.68,0.63,0.66,0.67,0.76
Nevada ,476,   ,490,   ,433,,290, ,339,,383,   ,417,   ,382,,535,   ,567,   ,612,,510,,709,,638,,,"57,375","63,530","68,356","71,072","74,317","79,858","90,483","103,786","112,123","120,558","118,527","109,471","110,983","115,577",0,,0.83,0.77,0.63,0.41,0.46,0.48,0.46,0.37,0.48,0.47,0.52,0.47,0.64,0.55
New Hampshire ,"1,138",   ,"1,157",   ,722, ,"1,339",,"1,153",,"1,349",   ,"1,330",   ,"1,435",,"1,774",i,"1,814",i,876,,772,,"1,818",,"2,069",,,"35,397","37,065","40,390","40,680","42,467","44,203","46,577","48,664","50,826","52,204","52,390","52,744","54,595","56,693",0,,3.21,3.12,1.79,3.29,2.72,3.05,2.86,2.95,3.49,3.47,1.67,1.46,3.33,3.65
New Jersey,"11,107",   ,"10,145",   ,"10,580", ,"10,164",,"11,566",,"11,405",r,"10,993",   ,"13,214",,"14,606",   ,"17,892",   ,"17,331",,"16,069",,"15,925",,"13,930",,,"280,799","294,899","316,295","329,143","339,161","352,625","368,405","385,797","408,330","421,394","430,063","419,163","428,801","439,353",0,,3.96,3.44,3.34,3.09,3.41,3.23,2.98,3.43,3.58,4.25,4.03,3.83,3.71,3.17
New Mexico ,"1,450",i,"1,352",i,"1,203",i,231, ,331,,338,r,450,   ,405,,676,   ,568,   ,326,,257,,546,,472,,,"37,692","39,592","40,593","41,609","42,298","45,919","51,340","54,389","57,760","60,450","62,519","60,054","62,462","64,097",0,,3.85,3.41,2.96,0.56,0.78,0.74,0.88,0.74,1.17,0.94,0.52,0.43,0.87,0.74
New York,"10,283",   ,"12,260",   ,"11,622", ,"10,884",,"9,234",,"8,528",r,"8,793",   ,"9,474",,"9,518",   ,"10,916",   ,"9,061",,"8,036",,"10,954",,"12,072",,,"615,511","654,572","690,001","726,643","736,834","751,801","794,061","856,451","923,574","963,221","962,660","960,526","1,012,114","1,045,302",0,,1.67,1.87,1.68,1.5,1.25,1.13,1.11,1.11,1.03,1.13,0.94,0.84,1.08,1.15
North Carolina,"3,483",   ,"3,754",   ,"4,535",,"4,437", ,"3,704",,"4,423",r,"4,565",   ,"5,158",,"5,486",   ,"6,829",   ,"4,903",,"4,672",,"5,749",,"6,193",,,"212,171","233,427","247,098","256,039","264,554","270,891","284,484","308,495","328,722","343,205","349,454","352,472","364,161","371,955",0,,1.64,1.61,1.84,1.73,1.4,1.63,1.6,1.67,1.67,1.99,1.4,1.33,1.58,1.66
North Dakota ,46,e,95,e,83,e,347,,154,,216,   ,379,i,104,,120, ,126,   ,218,,216,,236,,261,,,"14,356","14,478","15,295","16,005","17,048","18,692","19,493","20,761","21,956","24,376","27,731","27,660","30,493","34,991",0,,0.32,0.66,0.54,2.17,0.9,1.16,1.94,0.5,0.55,0.52,0.79,0.78,0.77,0.75
Ohio,"5,742",   ,"6,531",   ,"6,245",   ,"6,694",   ,"6,230",,"6,258",r,"5,516",   ,"5,900",,"6,852",   ,"7,265",   ,"5,367",,"5,215",,"6,857",,"6,993",,,"314,315","326,161","341,368","341,402","354,368","364,083","381,293","395,594","403,379","416,135","412,784","397,638","410,126","434,407",0,,1.83,2,1.83,1.96,1.76,1.72,1.45,1.49,1.7,1.75,1.3,1.31,1.67,1.61
Oklahoma ,369,   ,562,e,463, ,543,e,412,,576,r,410,   ,422,,474,   ,527,   ,521,,429,,478,,604,,,"66,912","70,361","75,724","80,579","81,214","86,473","93,142","99,799","109,859","116,581","127,929","115,040","121,498","129,709",0,,0.55,0.8,0.61,0.67,0.51,0.67,0.44,0.42,0.43,0.45,0.41,0.37,0.39,0.47
Oregon,"1,345",   ,"1,408",   ,"1,533",   ,"2,677",   ,"2,320",i,"2,956",r,"3,057",   ,"3,252",,"3,419",   ,"3,629",i,"3,913",,"3,890",,"4,396",,"4,631",,,"88,578","90,745","99,119","97,526","102,315","106,109","119,403","125,806","141,073","147,629","154,349","150,500","159,857","166,817",0,,1.52,1.55,1.55,2.74,2.27,2.79,2.56,2.58,2.42,2.46,2.54,2.58,2.75,2.78
Pennsylvania,"7,393",   ,"7,474",   ,"8,473", ,"8,967",,"7,064",,"7,091",   ,"8,005",   ,"8,846",,"9,819",   ,"10,387",   ,"8,783",,"8,951",,"9,246",,"9,718",,,"327,616","343,214","357,735","367,480","382,518","397,398","415,663","434,159","457,197","479,421","490,638","484,166","502,027","524,349",0,,2.26,2.18,2.37,2.44,1.85,1.78,1.93,2.04,2.15,2.17,1.79,1.85,1.84,1.85
