state,year,sname,ent015ua,n1,,,,,,,
,1999,Michigan,0.002154947,19219,,,,,,,
,1999,Minnesota,0.002442422,7859,,,,,,,
,1999,Mississippi,0.003760256,6321,,,,,,,
,1999,Missouri,0.001958481,6403,,,,,,,
,1999,Montana,0.004122701,7393,,,,,,,
,1999,Nebraska,0.002093704,6830,,,,,,,
,1999,Nevada,0.002035862,7591,,,,,,,
,1999,New Hampshire,0.002462101,5775,,,,,,,
,1999,New Jersey,0.002017932,16233,,,,,,,
,1999,New Mexico,0.004175996,7281,,,,,,,
,1999,New York,0.002876214,32471,,,,,,,
,1999,North Carolina,0.003212528,14051,,,,,,,
,1999,North Dakota,0.00395685,6545,,,,,,,
,1999,Ohio,0.002808184,20985,,,,,,,
,1999,Oklahoma,0.002867698,7868,,,,,,,
,1999,Oregon,0.004491315,6712,,,,,,,
,1999,Pennsylvania,0.001420402,22638,,,,,,,
,1999,Rhode Island,0.001355311,5800,,,,,,,
,1999,South Carolina,0.002212975,6081,,,,,,,
,1999,South Dakota,0.003365885,6719,,,,,,,
,1999,Tennessee,0.001996021,7521,,,,,,,
,1999,Texas,0.002839979,27103,,,,,,,
,1999,Utah,0.002755436,7622,,,,,,,
,1999,Vermont,0.003594727,5154,,,,,,,
,1999,Virginia,0.001677281,8654,,,,,,,
,1999,Washington,0.002936841,7276,,,,,,,
,1999,West Virginia,0.001957681,7628,,,,,,,
,1999,Wisconsin,0.001462691,7640,,,,,,,
,1999,Wyoming,0.005131672,6642,,,,,,,
,2000,Alabama,0.002276244,7975,,,,,,,
,2000,Alaska,0.006578865,6293,,,,,,,
,2000,Arizona,0.003985403,8465,,,,,,,
,2000,Arkansas,0.003396615,7149,,,,,,,
,2000,California,0.002842759,44651,,,,,,,
,2000,Colorado,0.003445108,7737,,,,,,,
,2000,Connecticut,0.001835139,5567,,,,,,,
,2000,Delaware,0.002475307,5396,,,,,,,
,2000,District of Co,0.004091029,5117,,,,,,,
,2000,Florida,0.003127132,24669,,,,,,,
,2000,Georgia,0.002693759,8931,,,,,,,
,2000,Hawaii,0.002430724,5308,,,,,,,
,2000,Idaho,0.004412287,7549,,,,,,,
,2000,Illinois,0.002372617,22898,,,,,,,
,2000,Indiana,0.00296011,7445,,,,,,,
,2000,Iowa,0.003941032,6873,,,,,,,
,2000,Kansas,0.002465979,7053,,,,,,,
,2000,Kentucky,0.001894342,7224,,,,,,,
,2000,Louisiana,0.00293873,6938,,,,,,,
,2000,Maine,0.003436778,5857,,,,,,,
,2000,Maryland,0.002853172,5998,,,,,,,
,2000,Massachusetts,0.001597554,12484,,,,,,,
,2000,Michigan,0.002477928,19052,,,,,,,
,2000,Minnesota,0.001914958,7934,,,,,,,
,2000,Mississippi,0.003834653,6211,,,,,,,
,2000,Missouri,0.002410815,6715,,,,,,,
,2000,Montana,0.00500214,7000,,,,,,,
,2000,Nebraska,0.003366006,7105,,,,,,,
,2000,Nevada,0.001977167,8124,,,,,,,
,2000,New Hampshire,0.002214058,5551,,,,,,,
,2000,New Jersey,0.00218883,16011,,,,,,,
,2000,New Mexico,0.004489484,7001,,,,,,,
,2000,New York,0.003059084,32992,,,,,,,
,2000,North Carolina,0.002956259,13762,,,,,,,
,2000,North Dakota,0.004344653,6561,,,,,,,
,2000,Ohio,0.00200118,20625,,,,,,,
,2000,Oklahoma,0.002211431,7714,,,,,,,
,2000,Oregon,0.004000682,6397,,,,,,,
,2000,Pennsylvania,0.001722664,22114,,,,,,,
,2000,Rhode Island,0.001392299,5686,,,,,,,
,2000,South Carolina,0.001935941,5951,,,,,,,
,2000,South Dakota,0.003620537,6891,,,,,,,
,2000,Tennessee,0.002495421,7533,,,,,,,
,2000,Texas,0.003301291,26987,,,,,,,
,2000,Utah,0.003485751,7297,,,,,,,
,2000,Vermont,0.003884239,5057,,,,,,,
,2000,Virginia,0.001757208,8530,,,,,,,
,2000,Washington,0.002301683,6886,,,,,,,
,2000,West Virginia,0.001793611,7635,,,,,,,
,2000,Wisconsin,0.004478705,7823,,,,,,,
,2000,Wyoming,0.004210322,6701,,,,,,,
,2001,Alabama,0.002333677,8866,,,,,,,
,2001,Alaska,0.004302217,7371,,,,,,,
,2001,Arizona,0.004578115,7906,,,,,,,
,2001,Arkansas,0.003689422,6945,,,,,,,
,2001,California,0.00276852,43193,,,,,,,
,2001,Colorado,0.004479411,9765,,,,,,,
,2001,Connecticut,0.003625305,7735,,,,,,,
,2001,Delaware,0.001310132,6755,,,,,,,
,2001,District of Co,0.002378204,5720,,,,,,,
,2001,Florida,0.002692578,24327,,,,,,,
,2001,Georgia,0.002313849,8520,,,,,,,
,2001,Hawaii,0.002540813,6570,,,,,,,
,2001,Idaho,0.004329441,7659,,,,,,,
,2001,Illinois,0.002696115,22351,,,,,,,
,2001,Indiana,0.002272129,9458,,,,,,,
,2001,Iowa,0.003234855,8800,,,,,,,
,2001,Kansas,0.003305785,8369,,,,,,,
,2001,Kentucky,0.00330149,8033,,,,,,,
,2001,Louisiana,0.001998557,6648,,,,,,,
,2001,Maine,0.002622843,8496,,,,,,,
,2001,Maryland,0.002231588,7903,,,,,,,
,2001,Massachusetts,0.001533711,12248,,,,,,,
,2001,Michigan,0.002163849,18292,,,,,,,
,2001,Minnesota,0.00197014,9841,,,,,,,
,2001,Mississippi,0.003361316,6089,,,,,,,
,2001,Missouri,0.00220122,8252,,,,,,,
,2001,Montana,0.003135642,6670,,,,,,,
,2001,Nebraska,0.003280818,8203,,,,,,,
,2001,Nevada,0.002031334,9738,,,,,,,
,2001,New Hampshire,0.002639919,8234,,,,,,,
,2001,New Jersey,0.002290134,15868,,,,,,,
,2001,New Mexico,0.003054962,6892,,,,,,,
,2001,New York,0.00260238,32085,,,,,,,
,2001,North Carolina,0.002673287,13274,,,,,,,
,2001,North Dakota,0.001837627,7579,,,,,,,
,2001,Ohio,0.002008034,20277,,,,,,,
,2001,Oklahoma,0.002857783,7625,,,,,,,
,2001,Oregon,0.00330185,8154,,,,,,,
,2001,Pennsylvania,0.001740497,22366,,,,,,,
,2001,Rhode Island,0.00138396,8244,,,,,,,
,2001,South Carolina,0.001560501,6603,,,,,,,
,2001,South Dakota,0.003629731,7919,,,,,,,
,2001,Tennessee,0.001270861,7562,,,,,,,
,2001,Texas,0.00389976,25932,,,,,,,
,2001,Utah,0.002484176,7893,,,,,,,
,2001,Vermont,0.003127271,7123,,,,,,,
,2001,Virginia,0.002049126,9928,,,,,,,
,2001,Washington,0.003506789,8752,,,,,,,
,2001,West Virginia,0.001200206,8750,,,,,,,
,2001,Wisconsin,0.002411798,10197,,,,,,,
,2001,Wyoming,0.003442845,7478,,,,,,,
,2002,Alabama,0.001922477,9645,,,,,,,
,2002,Alaska,0.004801543,8490,,,,,,,
,2002,Arizona,0.003006891,8144,,,,,,,
,2002,Arkansas,0.001812716,6957,,,,,,,
,2002,California,0.004006352,43491,,,,,,,
,2002,Colorado,0.003919742,12761,,,,,,,
,2002,Connecticut,0.001777756,10781,,,,,,,
,2002,Delaware,0.00133081,8057,,,,,,,
,2002,District of Co,0.003371376,5925,,,,,,,
,2002,Florida,0.002975038,24489,,,,,,,
,2002,Georgia,0.002174303,9014,,,,,,,
,2002,Hawaii,0.003165782,7523,,,,,,,
,2002,Idaho,0.003137153,7850,,,,,,,
,2002,Illinois,0.002436259,22228,,,,,,,
,2002,Indiana,0.002383279,11682,,,,,,,
,2002,Iowa,0.001968723,10870,,,,,,,
,2002,Kansas,0.003341129,10390,,,,,,,
,2002,Kentucky,0.002892224,8794,,,,,,,
,2002,Louisiana,0.002630827,6961,,,,,,,
,2002,Maine,0.002486737,10629,,,,,,,
,2002,Maryland,0.003538859,9599,,,,,,,
,2002,Massachusetts,0.001862166,12577,,,,,,,
,2002,Michigan,0.00252247,18003,,,,,,,
,2002,Minnesota,0.00354092,12102,,,,,,,
,2002,Mississippi,0.002069882,6244,,,,,,,
,2002,Missouri,0.002654837,9848,,,,,,,
,2002,Montana,0.004487695,6565,,,,,,,
,2002,Nebraska,0.003378816,9992,,,,,,,
,2002,Nevada,0.002666735,12610,,,,,,,
,2002,New Hampshire,0.002509149,10903,,,,,,,
,2002,New Jersey,0.002436974,15613,,,,,,,
,2002,New Mexico,0.003618493,7001,,,,,,,
,2002,New York,0.003107619,31235,,,,,,,
,2002,North Carolina,0.00374749,13265,,,,,,,
,2002,North Dakota,0.002501079,8447,,,,,,,
,2002,Ohio,0.001825562,20423,,,,,,,
,2002,Oklahoma,0.003707395,7856,,,,,,,
,2002,Oregon,0.002773813,9806,,,,,,,
,2002,Pennsylvania,0.001421025,22944,,,,,,,
,2002,Rhode Island,0.001277027,11115,,,,,,,
,2002,South Carolina,0.002643105,7819,,,,,,,
,2002,South Dakota,0.003401722,9563,,,,,,,
,2002,Tennessee,0.002853996,8153,,,,,,,
,2002,Texas,0.003595557,25627,,,,,,,
,2002,Utah,0.00297938,9018,,,,,,,
,2002,Vermont,0.002802774,9236,,,,,,,
,2002,Virginia,0.002520589,10952,,,,,,,
,2002,Washington,0.002254234,11094,,,,,,,
,2002,West Virginia,0.001508494,9864,,,,,,,
,2002,Wisconsin,0.002764573,12675,,,,,,,
,2002,Wyoming,0.003440448,8327,,,,,,,
,2003,Alabama,0.000886842,9143,,,,,,,
,2003,Alaska,0.004802406,8366,,,,,,,
,2003,Arizona,0.003250115,8354,,,,,,,
