Table 8-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patents awarded per 1,000 individuals in science and engineering occupations, by state: 2003–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patents awarded,,,,,,,,,,,Individuals in S&E occupations,,,,,,,,,,,Patents/1000 individuals in S&E occupations,,,,,,,,,
Wisconsin,"1,787","1,658","1,489","1,688","1,412","1,349","1,467","1,814","1,784","1,785",,"93,320","95,230","93,590","96,860","99,380","101,680","100,850","99,240","102,320","103,030",,19.1,17.4,15.9,17.4,14.2,13.3,14.5,18.3,17.4,17.3
Wyoming ,71,52,53,48,54,35,59,82,65,120,,"6,130","6,760","7,350","7,640","8,110","8,850","8,920","8,260","8,440","8,710",,11.6,7.7,7.2,6.3,6.7,4.0,6.6,9.9,7.7,13.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,27,19,26,25,28,14,14,24,27,34,,"19,940","20,410","20,950","23,850","23,630","22,970","22,760","20,850","20,990","21,750",,1.4,0.9,1.2,1.0,1.2,0.6,0.6,1.2,1.3,1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
