Table 8-48,,,,,,,,,,,,,,,,,,,,,,,,,,
"Science and engineering doctorates conferred per 1,000 employed S&E doctorate holders, by state: 1993-2010",,,,,,,,,,,,,,,,,,,,,,,,,,
,S&E doctorates conferred,,,,,,,,,Employed S&E doctorate holders,,,,,,,,,"S&E doctorates conferred/1,000 employed S&E doctorate holders",,,,,,,
Pennsylvania,"1,230","1,319","1,279","1,143","1,248","1,551","1,594","1,571",,"22,000","23,000","23,900","26,100","27,800","29,100","30,000","31,300",,55.9,57.3,53.5,43.8,44.9,53.3,53.1,50.2
Rhode Island,194,210,166,168,147,223,190,209,,"2,100","2,300","2,400","2,600","3,200","3,000","2,800","3,000",,92.4,91.3,69.2,64.6,45.9,74.3,67.9,69.7
South Carolina,205,185,206,205,191,231,288,264,,"4,300","4,200","4,800","5,100","5,200","5,900","6,300","6,400",,47.7,44.0,42.9,40.2,36.7,39.2,45.7,41.3
South Dakota,18,14,36,31,32,38,38,51,,900,"1,000","1,100","1,000","1,000","1,000","1,300","1,300",,20.0,14.0,32.7,31.0,32.0,38.0,29.2,39.2
Tennessee,315,316,372,351,320,395,449,448,,"7,700","8,000","8,500","9,000","8,800","10,000","10,100","11,500",,40.9,39.5,43.8,39.0,36.4,39.5,44.5,39.0
Texas,"1,379","1,475","1,575","1,500","1,426","1,845","2,166","2,192",,"25,900","27,500","28,600","32,500","33,300","36,000","39,900","42,400",,53.2,53.6,55.1,46.2,42.8,51.3,54.3,51.7
Utah,233,220,253,197,211,225,288,280,,"3,700","4,400","4,800","4,800","4,200","5,500","5,600","5,900",,63.0,50.0,52.7,41.0,50.2,40.9,51.4,47.5
Vermont,47,44,35,52,27,49,50,58,,"1,500","1,600","1,800","1,800","1,800","1,700","1,800","1,800",,31.3,27.5,19.4,28.9,15.0,28.8,27.8,32.2
Virginia,622,686,697,667,636,787,868,832,,"13,700","14,500","15,300","17,500","18,900","19,800","21,300","22,000",,45.4,47.3,45.6,38.1,33.7,39.7,40.8,37.8
Washington,389,422,426,422,409,525,553,540,,"10,600","11,300","13,400","14,800","15,400","16,900","17,700","18,900",,36.7,37.3,31.8,28.5,26.6,31.1,31.2,28.6
West Virginia,34,65,55,56,95,102,121,115,,"1,800","2,000","2,000","1,900","2,000","2,000","2,000","2,200",,18.9,32.5,27.5,29.5,47.5,51.0,60.5,52.3
Wisconsin,517,553,631,494,498,559,671,593,,"7,400","7,200","8,500","8,700","8,400","9,500","9,900","10,600",,69.9,76.8,74.2,56.8,59.3,58.8,67.8,55.9
Wyoming,38,50,61,33,42,37,53,50,,700,700,900,800,600,700,700,800,,54.3,71.4,67.8,41.3,70.0,52.9,75.7,62.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,46,47,65,101,96,161,214,140,,900,"1,000",700,"1,400","1,700","1,700","2,000","2,300",,51.1,47.0,92.9,72.1,56.5,94.7,107.0,60.9
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
