STATE OF HAWAII,,,,,,,,,,,,,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,,,,,,,,,,,,,
Annual Averages followed by Monthly Series,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Civilian Labor Force ,,,,,,,,,,,,,,,
,Feb-1981,"446,750","426,150","20,550",4.6,,,,,,,,,,,,
,Mar-1981,"450,750","430,100","20,700",4.6,,,,,,,,,,,,
,Apr-1981,"450,850","429,500","21,350",4.7,,,,,,,,,,,,
,May-1981,"451,550","428,600","22,950",5.1,,,,,,,,,,,,
,June-1981,"454,850","427,500","27,350",6.0,,,,,,,,,,,,
,July-1981,"458,950","435,300","23,650",5.2,,,,,,,,,,,,
,Aug-1981,"454,300","431,350","22,950",5.1,,,,,,,,,,,,
,Sep-1981,"446,450","422,450","24,000",5.4,,,,,,,,,,,,
,Oct-1981,"451,450","426,250","25,200",5.6,,,,,,,,,,,,
,Nov-1981,"455,200","430,300","24,900",5.5,,,,,,,,,,,,
,Dec-1981,"451,850","429,450","22,400",5.0,,,,,,,,,,,,
,Jan-1982,"454,150","428,450","25,700",5.7,,,,,,,,,,,,
,Feb-1982,"452,600","427,150","25,400",5.6,,,,,,,,,,,,
,Mar-1982,"454,450","428,600","25,850",5.7,,,,,,,,,,,,
,Apr-1982,"454,800","428,850","26,000",5.7,,,,,,,,,,,,
,May-1982,"457,350","430,750","26,600",5.8,,,,,,,,,,,,
,June-1982,"462,850","430,700","32,150",7.0,,,,,,,,,,,,
,July-1982,"467,450","438,100","29,350",6.3,,,,,,,,,,,,
,Aug-1982,"463,150","435,550","27,650",6.0,,,,,,,,,,,,
,Sep-1982,"457,300","429,200","28,100",6.1,,,,,,,,,,,,
,Oct-1982,"460,850","433,550","27,300",5.9,,,,,,,,,,,,
,Nov-1982,"466,100","439,250","26,900",5.8,,,,,,,,,,,,
,Dec-1982,"465,800","439,550","26,300",5.6,,,,,,,,,,,,
,Jan-1983,"467,900","439,600","28,250",6.0,,,,,,,,,,,,
,Feb-1983,"465,400","437,350","28,050",6.0,,,,,,,,,,,,
,Mar-1983,"467,650","439,550","28,100",6.0,,,,,,,,,,,,
,Apr-1983,"467,850","440,150","27,650",5.9,,,,,,,,,,,,
,May-1983,"467,450","440,050","27,350",5.9,,,,,,,,,,,,
,June-1983,"476,400","443,650","32,750",6.9,,,,,,,,,,,,
,July-1983,"481,350","453,000","28,350",5.9,,,,,,,,,,,,
,Aug-1983,"478,300","450,250","28,050",5.9,,,,,,,,,,,,
,Sep-1983,"469,800","441,350","28,450",6.1,,,,,,,,,,,,
,Oct-1983,"470,350","443,100","27,250",5.8,,,,,,,,,,,,
,Nov-1983,"475,800","449,400","26,400",5.5,,,,,,,,,,,,
,Dec-1983,"474,650","450,700","23,900",5.0,,,,,,,,,,,,
,Jan-1984,"473,100","448,000","25,050",5.3,,,,,,,,,,,,
,Feb-1984,"473,400","449,050","24,350",5.1,,,,,,,,,,,,
,Mar-1984,"475,100","449,950","25,150",5.3,,,,,,,,,,,,
,Apr-1984,"477,050","451,400","25,650",5.4,,,,,,,,,,,,
,May-1984,"477,900","453,100","24,850",5.2,,,,,,,,,,,,
,June-1984,"483,900","455,000","28,900",6.0,,,,,,,,,,,,
,July-1984,"484,300","458,300","26,000",5.4,,,,,,,,,,,,
,Aug-1984,"477,650","451,950","25,700",5.4,,,,,,,,,,,,
,Sep-1984,"471,650","444,350","27,250",5.8,,,,,,,,,,,,
,Oct-1984,"475,150","448,600","26,550",5.6,,,,,,,,,,,,
,Nov-1984,"478,100","452,750","25,300",5.3,,,,,,,,,,,,
,Dec-1984,"478,050","454,100","23,950",5.0,,,,,,,,,,,,
,Jan-1985,"479,500","453,600","25,900",5.4,,,,,,,,,,,,
,Feb-1985,"477,050","454,450","22,550",4.7,,,,,,,,,,,,
,Mar-1985,"479,650","457,150","22,550",4.7,,,,,,,,,,,,
,Apr-1985,"480,350","457,200","23,150",4.8,,,,,,,,,,,,
,May-1985,"481,750","458,400","23,350",4.8,,,,,,,,,,,,
,June-1985,"487,350","458,150","29,200",6.0,,,,,,,,,,,,
,July-1985,"490,200","464,050","26,150",5.3,,,,,,,,,,,,
,Aug-1985,"485,150","460,500","24,650",5.1,,,,,,,,,,,,
,Sep-1985,"481,300","455,300","26,000",5.4,,,,,,,,,,,,
,Oct-1985,"485,100","460,350","24,700",5.1,,,,,,,,,,,,
,Nov-1985,"490,200","466,300","23,900",4.9,,,,,,,,,,,,
,Dec-1985,"488,350","467,500","20,850",4.3,,,,,,,,,,,,
,Jan-1986,"490,700","467,550","23,100",4.7,,,,,,,,,,,,
,Feb-1986,"490,250","467,100","23,150",4.7,,,,,,,,,,,,
,Mar-1986,"493,400","469,900","23,500",4.8,,,,,,,,,,,,
,Apr-1986,"493,900","470,250","23,650",4.8,,,,,,,,,,,,
,May-1986,"492,750","470,100","22,650",4.6,,,,,,,,,,,,
,June-1986,"501,150","473,500","27,650",5.5,,,,,,,,,,,,
,July-1986,"504,150","480,350","23,850",4.7,,,,,,,,,,,,
,Aug-1986,"499,000","477,150","21,900",4.4,,,,,,,,,,,,
,Sep-1986,"491,950","469,350","22,600",4.6,,,,,,,,,,,,
,Oct-1986,"493,850","473,450","20,400",4.1,,,,,,,,,,,,
,Nov-1986,"499,350","480,000","19,350",3.9,,,,,,,,,,,,
,Dec-1986,"499,550","483,250","16,250",3.3,,,,,,,,,,,,
,Jan-1987,"500,800","482,400","18,400",3.7,,,,,,,,,,,,
,Feb-1987,"501,450","483,550","17,900",3.6,,,,,,,,,,,,
,Mar-1987,"505,150","486,550","18,600",3.7,,,,,,,,,,,,
,Apr-1987,"507,400","489,350","18,050",3.6,,,,,,,,,,,,
,May-1987,"510,550","491,000","19,550",3.8,,,,,,,,,,,,
,June-1987,"514,550","491,900","22,650",4.4,,,,,,,,,,,,
,July-1987,"520,300","500,200","20,100",3.9,,,,,,,,,,,,
,Aug-1987,"516,200","497,350","18,900",3.7,,,,,,,,,,,,
,Sep-1987,"509,000","489,100","19,900",3.9,,,,,,,,,,,,
,Oct-1987,"513,950","496,000","17,950",3.5,,,,,,,,,,,,
,Nov-1987,"519,750","502,450","17,350",3.3,,,,,,,,,,,,
,Dec-1987,"516,100","502,850","13,250",2.6,,,,,,,,,,,,
,Jan-1988,"518,000","502,000","16,000",3.1,,,,,,,,,,,,
,Feb-1988,"516,050","500,700","15,350",3.0,,,,,,,,,,,,
,Mar-1988,"516,300","500,500","15,800",3.1,,,,,,,,,,,,
,Apr-1988,"517,900","503,450","14,450",2.8,,,,,,,,,,,,
,May-1988,"516,800","500,950","15,900",3.1,,,,,,,,,,,,
,June-1988,"523,200","504,450","18,750",3.6,,,,,,,,,,,,
,July-1988,"527,650","510,350","17,350",3.3,,,,,,,,,,,,
,Aug-1988,"523,250","507,100","16,150",3.1,,,,,,,,,,,,
,Sep-1988,"514,950","498,200","16,750",3.3,,,,,,,,,,,,
,Oct-1988,"516,600","501,700","14,900",2.9,,,,,,,,,,,,
,Nov-1988,"522,000","507,000","15,000",2.9,,,,,,,,,,,,
,Dec-1988,"520,750","508,850","11,900",2.3,,,,,,,,,,,,
,Jan-1989,"524,800","510,350","14,450",2.8,,,,,,,,,,,,
,Feb-1989,"522,550","510,550","12,000",2.3,,,,,,,,,,,,
,Mar-1989,"524,150","512,700","11,450",2.2,,,,,,,,,,,,
,Apr-1989,"526,000","514,650","11,350",2.2,,,,,,,,,,,,
,May-1989,"526,050","514,500","11,600",2.2,,,,,,,,,,,,
,June-1989,"534,150","517,850","16,350",3.1,,,,,,,,,,,,
,July-1989,"537,000","523,250","13,750",2.6,,,,,,,,,,,,
,Aug-1989,"532,950","520,850","12,100",2.3,,,,,,,,,,,,
,Sep-1989,"522,500","508,550","13,900",2.7,,,,,,,,,,,,
,Oct-1989,"523,950","512,450","11,500",2.2,,,,,,,,,,,,
,Nov-1989,"530,400","518,500","11,900",2.2,,,,,,,,,,,,
,Dec-1989,"528,750","518,600","10,150",1.9,,,,,,,,,,,,
,Jan-1990,"545,800","532,600","13,200",2.4,,,,,,,,,,,,
,Feb-1990,"544,950","532,850","12,100",2.2,,,,,,,,,,,,
,Mar-1990,"548,450","535,750","12,700",2.3,,,,,,,,,,,,
,Apr-1990,"550,950","537,650","13,300",2.4,,,,,,,,,,,,
,May-1990,"552,100","538,400","13,700",2.5,,,,,,,,,,,,
,June-1990,"557,700","540,600","17,100",3.1,,,,,,,,,,,,
,July-1990,"560,900","546,150","14,750",2.6,,,,,,,,,,,,
,Aug-1990,"556,750","543,400","13,350",2.4,,,,,,,,,,,,
,Sep-1990,"542,750","527,550","15,250",2.8,,,,,,,,,,,,
,Oct-1990,"546,650","534,200","12,450",2.3,,,,,,,,,,,,
,Nov-1990,"552,400","539,450","12,950",2.3,,,,,,,,,,,,
,Dec-1990,"552,950","542,900","10,100",1.8,,,,,,,,,,,,
,Jan-1991,"555,200","542,250","12,950",2.3,,,,,,,,,,,,
,Feb-1991,"556,400","543,300","13,050",2.3,,,,,,,,,,,,
,Mar-1991,"560,550","545,450","15,100",2.7,,,,,,,,,,,,
,Apr-1991,"563,150","549,100","14,050",2.5,,,,,,,,,,,,
,May-1991,"560,200","546,050","14,150",2.5,,,,,,,,,,,,
,June-1991,"570,150","550,750","19,400",3.4,,,,,,,,,,,,
,July-1991,"572,250","555,150","17,100",3.0,,,,,,,,,,,,
,Aug-1991,"564,950","549,000","15,900",2.8,,,,,,,,,,,,
,Sep-1991,"561,700","543,350","18,350",3.3,,,,,,,,,,,,
,Oct-1991,"560,700","545,150","15,600",2.8,,,,,,,,,,,,
,Nov-1991,"565,600","549,000","16,550",2.9,,,,,,,,,,,,
,Dec-1991,"565,750","549,650","16,100",2.8,,,,,,,,,,,,
,Jan-1992,"568,200","549,300","18,900",3.3,,,,,,,,,,,,
,Feb-1992,"568,250","547,850","20,400",3.6,,,,,,,,,,,,
,Mar-1992,"571,550","549,950","21,600",3.8,,,,,,,,,,,,
,Apr-1992,"572,500","551,550","21,000",3.7,,,,,,,,,,,,
,May-1992,"573,950","550,300","23,650",4.1,,,,,,,,,,,,
,June-1992,"581,800","552,350","29,450",5.1,,,,,,,,,,,,
,July-1992,"586,150","558,700","27,450",4.7,,,,,,,,,,,,
,Aug-1992,"580,600","554,100","26,500",4.6,,,,,,,,,,,,
,Sep-1992,"571,550","545,850","25,700",4.5,,,,,,,,,,,,
,Oct-1992,"574,700","548,050","26,650",4.6,,,,,,,,,,,,
,Nov-1992,"581,300","553,750","27,550",4.7,,,,,,,,,,,,
,Dec-1992,"581,550","557,000","24,550",4.2,,,,,,,,,,,,
,Jan-1993,"579,950","553,550","26,400",4.6,,,,,,,,,,,,
,Feb-1993,"578,950","553,250","25,700",4.4,,,,,,,,,,,,
,Mar-1993,"581,000","554,900","26,150",4.5,,,,,,,,,,,,
,Apr-1993,"580,000","555,650","24,300",4.2,,,,,,,,,,,,
,May-1993,"581,950","557,550","24,400",4.2,,,,,,,,,,,,
,June-1993,"587,650","558,600","29,050",4.9,,,,,,,,,,,,
,July-1993,"589,800","562,950","26,900",4.6,,,,,,,,,,,,
,Aug-1993,"584,050","558,950","25,100",4.3,,,,,,,,,,,,
,Sep-1993,"574,500","549,400","25,100",4.4,,,,,,,,,,,,
,Oct-1993,"577,300","553,500","23,800",4.1,,,,,,,,,,,,
,Nov-1993,"582,950","558,200","24,750",4.2,,,,,,,,,,,,
,Dec-1993,"582,800","559,550","23,300",4.0,,,,,,,,,,,,
,Jan-1994,"585,900","557,100","28,750",4.9,,,,,,,,,,,,
,Feb-1994,"583,800","555,500","28,300",4.8,,,,,,,,,,,,
,Mar-1994,"583,600","554,000","29,600",5.1,,,,,,,,,,,,
,Apr-1994,"585,850","556,550","29,300",5.0,,,,,,,,,,,,
,May-1994,"585,200","556,350","28,850",4.9,,,,,,,,,,,,
,June-1994,"587,900","554,400","33,500",5.7,,,,,,,,,,,,
,July-1994,"592,200","558,450","33,750",5.7,,,,,,,,,,,,
,Aug-1994,"587,600","555,250","32,350",5.5,,,,,,,,,,,,
,Sep-1994,"580,700","548,300","32,400",5.6,,,,,,,,,,,,
,Oct-1994,"582,600","552,850","29,750",5.1,,,,,,,,,,,,
,Nov-1994,"587,800","559,150","28,650",4.9,,,,,,,,,,,,
,Dec-1994,"586,700","561,050","25,650",4.4,,,,,,,,,,,,
,Jan-1995,"587,150","557,950","29,200",5.0,,,,,,,,,,,,
,Feb-1995,"585,250","557,750","27,500",4.7,,,,,,,,,,,,
,Mar-1995,"588,450","559,350","29,100",4.9,,,,,,,,,,,,
,Apr-1995,"592,150","560,450","31,700",5.4,,,,,,,,,,,,
,May-1995,"589,800","557,450","32,350",5.5,,,,,,,,,,,,
,June-1995,"593,250","556,100","37,150",6.3,,,,,,,,,,,,
,July-1995,"598,750","561,900","36,850",6.2,,,,,,,,,,,,
,Aug-1995,"591,750","555,950","35,800",6.1,,,,,,,,,,,,
,Sep-1995,"583,850","548,200","35,650",6.1,,,,,,,,,,,,
,Oct-1995,"586,050","553,200","32,850",5.6,,,,,,,,,,,,
,Nov-1995,"588,850","557,400","31,500",5.3,,,,,,,,,,,,
,Dec-1995,"588,500","558,850","29,650",5.0,,,,,,,,,,,,
,Jan-1996,"589,800","555,100","34,750",5.9,,,,,,,,,,,,
,Feb-1996,"590,950","557,950","33,000",5.6,,,,,,,,,,,,
,Mar-1996,"594,650","560,350","34,300",5.8,,,,,,,,,,,,
,Apr-1996,"596,900","562,150","34,750",5.8,,,,,,,,,,,,
,May-1996,"595,750","561,350","34,450",5.8,,,,,,,,,,,,
,June-1996,"600,150","561,850","38,300",6.4,,,,,,,,,,,,
,July-1996,"605,900","567,600","38,350",6.3,,,,,,,,,,,,
,Aug-1996,"598,100","562,700","35,450",5.9,,,,,,,,,,,,
,Sep-1996,"592,600","556,800","35,800",6.0,,,,,,,,,,,,
,Oct-1996,"594,450","561,250","33,200",5.6,,,,,,,,,,,,
,Nov-1996,"600,750","564,750","36,000",6.0,,,,,,,,,,,,
,Dec-1996,"600,950","568,450","32,500",5.4,,,,,,,,,,,,
,Jan-1997,"599,700","565,600","34,100",5.7,,,,,,,,,,,,
,Feb-1997,"597,750","564,650","33,100",5.5,,,,,,,,,,,,
,Mar-1997,"602,100","567,400","34,650",5.8,,,,,,,,,,,,
,Apr-1997,"601,250","567,650","33,600",5.6,,,,,,,,,,,,
,May-1997,"600,350","566,500","33,850",5.6,,,,,,,,,,,,
,June-1997,"605,650","565,600","40,050",6.6,,,,,,,,,,,,
,July-1997,"609,900","571,500","38,400",6.3,,,,,,,,,,,,
,Aug-1997,"604,200","567,400","36,800",6.1,,,,,,,,,,,,
,Sep-1997,"598,300","560,550","37,750",6.3,,,,,,,,,,,,
,Oct-1997,"596,950","563,950","33,050",5.5,,,,,,,,,,,,
,Nov-1997,"601,350","569,350","32,000",5.3,,,,,,,,,,,,
,Dec-1997,"602,450","571,050","31,400",5.2,,,,,,,,,,,,
,Jan-1998,"600,600","568,800","31,750",5.3,,,,,,,,,,,,
,Feb-1998,"599,050","568,350","30,700",5.1,,,,,,,,,,,,
,Mar-1998,"603,700","569,600","34,100",5.6,,,,,,,,,,,,
,Apr-1998,"602,600","572,300","30,250",5.0,,,,,,,,,,,,
,May-1998,"603,700","570,500","33,200",5.5,,,,,,,,,,,,
,June-1998,"608,100","568,350","39,700",6.5,,,,,,,,,,,,
,July-1998,"610,950","573,350","37,650",6.2,,,,,,,,,,,,
,Aug-1998,"605,600","569,450","36,100",6.0,,,,,,,,,,,,
,Sep-1998,"602,600","564,150","38,450",6.4,,,,,,,,,,,,
,Oct-1998,"601,750","567,350","34,400",5.7,,,,,,,,,,,,
,Nov-1998,"604,600","572,050","32,550",5.4,,,,,,,,,,,,
,Dec-1998,"608,450","577,550","30,900",5.1,,,,,,,,,,,,
,Jan-1999,"607,100","575,700","31,400",5.2,,,,,,,,,,,,
,Feb-1999,"603,750","573,700","30,000",5.0,,,,,,,,,,,,
,Mar-1999,"606,000","575,250","30,750",5.1,,,,,,,,,,,,
,Apr-1999,"606,550","576,550","30,000",4.9,,,,,,,,,,,,
,May-1999,"605,600","576,400","29,150",4.8,,,,,,,,,,,,
,June-1999,"610,350","574,750","35,650",5.8,,,,,,,,,,,,
,July-1999,"611,900","578,600","33,300",5.4,,,,,,,,,,,,
,Aug-1999,"606,750","575,500","31,250",5.1,,,,,,,,,,,,
,Sep-1999,"601,950","570,200","31,750",5.3,,,,,,,,,,,,
,Oct-1999,"602,900","574,300","28,550",4.7,,,,,,,,,,,,
,Nov-1999,"607,250","580,000","27,250",4.5,,,,,,,,,,,,
,Dec-1999,"609,850","584,750","25,100",4.1,,,,,,,,,,,,
,Jan-2000,"611,300","585,950","25,350",4.1,,,,,,,,,,,,
,Feb-2000,"610,550","586,450","24,050",3.9,,,,,,,,,,,,
,Mar-2000,"611,550","587,350","24,200",4.0,,,,,,,,,,,,
,Apr-2000,"612,750","589,600","23,200",3.8,,,,,,,,,,,,
,May-2000,"606,950","583,300","23,700",3.9,,,,,,,,,,,,
,June-2000,"611,700","584,050","27,650",4.5,,,,,,,,,,,,
,July-2000,"611,550","585,850","25,700",4.2,,,,,,,,,,,,
,Aug-2000,"606,100","580,800","25,300",4.2,,,,,,,,,,,,
,Sep-2000,"601,550","576,650","24,900",4.1,,,,,,,,,,,,
,Oct-2000,"604,200","581,600","22,600",3.7,,,,,,,,,,,,
,Nov-2000,"608,850","586,650","22,200",3.6,,,,,,,,,,,,
,Dec-2000,"611,150","590,050","21,050",3.4,,,,,,,,,,,,
,Jan-2001,"613,400","590,500","22,900",3.7,,,,,,,,,,,,
,Feb-2001,"614,000","591,950","22,050",3.6,,,,,,,,,,,,
,Mar-2001,"615,650","592,400","23,250",3.8,,,,,,,,,,,,
,Apr-2001,"617,300","592,250","25,000",4.1,,,,,,,,,,,,
,May-2001,"612,250","589,800","22,500",3.7,,,,,,,,,,,,
,June-2001,"617,450","589,050","28,350",4.6,,,,,,,,,,,,
,July-2001,"619,850","593,750","26,150",4.2,,,,,,,,,,,,
,Aug-2001,"611,700","586,600","25,100",4.1,,,,,,,,,,,,
,Sep-2001,"610,400","584,400","26,000",4.3,,,,,,,,,,,,
,Oct-2001,"613,100","584,200","28,900",4.7,,,,,,,,,,,,
,Nov-2001,"619,350","586,950","32,400",5.2,,,,,,,,,,,,
,Dec-2001,"618,600","588,800","29,850",4.8,,,,,,,,,,,,
,Jan-2002,"614,100","585,150","29,000",4.7,,,,,,,,,,,,
,Feb-2002,"611,900","585,850","26,050",4.3,,,,,,,,,,,,
,Mar-2002,"610,800","584,900","25,950",4.2,,,,,,,,,,,,
,Apr-2002,"609,650","584,100","25,500",4.2,,,,,,,,,,,,
,May-2002,"606,600","582,550","24,050",4.0,,,,,,,,,,,,
,June-2002,"610,750","582,550","28,250",4.6,,,,,,,,,,,,
,July-2002,"612,100","586,550","25,550",4.2,,,,,,,,,,,,
,Aug-2002,"606,800","583,300","23,500",3.9,,,,,,,,,,,,
,Sep-2002,"605,950","582,150","23,800",3.9,,,,,,,,,,,,
,Oct-2002,"604,050","582,750","21,350",3.5,,,,,,,,,,,,
,Nov-2002,"606,950","584,450","22,500",3.7,,,,,,,,,,,,
,Dec-2002,"607,600","588,000","19,550",3.2,,,,,,,,,,,,
,Jan-2003,"615,600","593,550","22,050",3.6,,,,,,,,,,,,
,Feb-2003,"614,250","593,600","20,700",3.4,,,,,,,,,,,,
,Mar-2003,"614,700","592,200","22,450",3.7,,,,,,,,,,,,
,Apr-2003,"617,950","594,650","23,300",3.8,,,,,,,,,,,,
,May-2003,"614,700","591,400","23,300",3.8,,,,,,,,,,,,
,June-2003,"620,400","590,150","30,250",4.9,,,,,,,,,,,,
,July-2003,"620,650","594,150","26,550",4.3,,,,,,,,,,,,
,Aug-2003,"613,700","588,950","24,750",4.0,,,,,,,,,,,,
,Sep-2003,"613,000","587,150","25,800",4.2,,,,,,,,,,,,
,Oct-2003,"612,200","589,200","23,000",3.8,,,,,,,,,,,,
,Nov-2003,"619,400","595,700","23,750",3.8,,,,,,,,,,,,
,Dec-2003,"619,300","598,950","20,400",3.3,,,,,,,,,,,,
,Jan-2004,"616,750","595,300","21,450",3.5,,,,,,,,,,,,
