Table 8-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federal R&D obligations per employed worker, by state: 1990–2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Federal R&D obligations ($thousands),,,,,,,,,,,,,,,,,,,,,,,Employed workers,,,,,,,,,,,,,,,,,,,,,,,Federal R&D obligations/ employed worker ($),,,,,,,,,,,,,,,,,,,,,
Louisiana ,"121,184","163,562","169,580","152,635","210,534","170,087","228,730","211,036","223,555","219,218","249,045","275,788","432,707","453,420","446,722","443,708","321,096","419,401","406,131","397,336","330,803","612,183",,"1,767,306","1,789,796","1,787,541","1,738,570","1,785,654","1,820,359","1,855,474","1,890,102","1,918,907","1,926,732","1,930,662","1,922,110","1,892,636","1,898,829","1,928,464","1,935,850","1,900,240","1,934,340","1,965,326","1,916,952","1,920,732","1,919,021",,69,91,95,88,118,93,123,112,117,114,129,143,229,239,232,229,169,217,207,207,172,319
Maine ,"39,730","57,093","60,568","65,239","82,113","53,075","56,711","68,683","105,733","150,569","249,812","450,735","255,596","166,733","210,258","292,125","226,468","378,810","168,009","183,440","163,103","181,441",,"597,902","590,604","594,082","589,800","589,073","601,565","617,479","624,410","627,920","641,351","650,385","650,699","650,943","650,458","653,847","658,507","665,856","666,350","665,065","642,434","643,499","649,312",,66,97,102,111,139,88,92,110,168,235,384,693,393,256,322,444,340,568,253,286,253,279
Maryland,"5,332,073","5,570,728","5,779,695","7,238,474","6,659,458","7,343,723","6,730,700","7,328,787","7,966,775","8,094,369","8,778,541","9,473,728","7,419,965","8,027,300","12,608,595","12,500,835","12,499,496","11,905,814","13,312,685","15,767,763","15,879,006","16,155,528",,"2,465,249","2,466,378","2,484,910","2,501,515","2,545,413","2,572,708","2,615,584","2,646,200","2,661,192","2,687,843","2,711,382","2,712,268","2,733,103","2,741,325","2,761,583","2,825,040","2,892,733","2,885,456","2,892,812","2,814,180","2,831,069","2,868,191",,"2,163","2,259","2,326","2,894","2,616","2,854","2,573","2,770","2,994","3,011","3,238","3,493","2,715","2,928","4,566","4,425","4,321","4,126","4,602","5,603","5,609","5,633"
Massachusetts,"2,982,785","3,146,435","3,227,932","3,551,660","3,201,828","3,337,816","3,192,130","3,437,516","3,113,843","3,129,401","4,552,289","4,499,835","4,920,704","5,491,660","5,963,595","6,591,926","6,104,611","7,528,907","6,883,096","8,259,477","8,747,479","7,789,148",,"3,022,393","2,916,293","2,899,718","2,940,565","2,989,123","3,029,360","3,083,332","3,158,851","3,208,988","3,245,761","3,273,281","3,275,343","3,243,409","3,209,062","3,203,810","3,219,717","3,255,504","3,276,532","3,277,934","3,187,538","3,187,622","3,216,160",,987,"1,079","1,113","1,208","1,071","1,102","1,035","1,088",970,964,"1,391","1,374","1,517","1,711","1,861","2,047","1,875","2,298","2,100","2,591","2,744","2,422"
Michigan,"810,799","772,631","876,267","877,983","771,000","683,187","707,914","735,059","755,864","839,757","1,005,043","1,196,424","1,254,129","1,693,104","1,117,762","1,177,007","1,680,908","1,726,084","1,866,491","2,399,334","2,509,681","2,156,949",,"4,262,409","4,162,074","4,234,783","4,364,545","4,508,900","4,576,521","4,647,116","4,748,691","4,809,503","4,897,144","4,953,421","4,876,338","4,724,998","4,675,567","4,686,953","4,717,188","4,722,716","4,678,094","4,551,085","4,201,763","4,147,952","4,189,792",,190,186,207,201,171,149,152,155,157,171,203,245,265,362,238,250,356,369,410,571,605,515
Minnesota,"529,763","455,713","456,392","445,536","475,059","570,248","679,503","609,395","806,083","885,141","797,334","900,936","1,152,784","866,231","831,259","768,269","1,237,266","1,386,789","1,393,037","1,542,912","1,062,556","973,293",,"2,275,853","2,300,781","2,341,011","2,391,055","2,471,516","2,529,464","2,565,808","2,605,673","2,656,674","2,686,942","2,720,492","2,755,808","2,749,525","2,750,938","2,752,403","2,756,709","2,774,524","2,768,068","2,771,749","2,713,601","2,744,470","2,777,285",,233,198,195,186,192,225,265,234,303,329,293,327,419,315,302,279,446,501,503,569,387,350
Mississippi ,"471,653","230,551","255,695","259,827","255,878","209,714","250,633","289,791","280,366","351,571","413,820","415,671","627,696","1,181,001","1,598,715","438,243","544,029","433,902","435,207","368,299","421,613","610,041",,"1,085,419","1,084,695","1,097,672","1,126,904","1,159,959","1,175,278","1,187,018","1,200,845","1,211,535","1,223,725","1,239,859","1,229,884","1,214,631","1,226,293","1,232,139","1,219,135","1,199,871","1,220,039","1,213,516","1,168,581","1,177,276","1,197,641",,435,213,233,231,221,178,211,241,231,287,334,338,517,963,"1,298",359,453,356,359,315,358,509
Missouri,"1,064,308","587,882","733,542","726,344","2,272,589","1,606,215","1,267,840","1,130,148","933,679","928,681","905,875","927,045","1,241,082","1,349,450","3,058,821","4,201,656","1,225,269","1,220,627","1,111,285","1,211,813","1,151,046","1,197,459",,"2,456,998","2,474,167","2,502,779","2,539,792","2,622,286","2,690,210","2,734,860","2,780,185","2,794,869","2,819,853","2,875,336","2,867,853","2,829,985","2,813,571","2,815,878","2,849,708","2,889,461","2,894,771","2,869,908","2,778,671","2,755,946","2,767,043",,433,238,293,286,867,597,464,407,334,329,315,323,439,480,"1,086","1,474",424,422,387,436,418,433
Montana ,"30,933","45,792","71,548","69,050","57,041","63,810","63,042","79,347","81,146","95,446","105,359","136,825","113,684","131,213","188,774","182,053","149,876","653,627","159,461","169,420","139,222","182,103",,"383,706","383,776","390,362","397,257","410,957","417,770","422,458","427,504","435,156","440,646","446,552","447,827","445,281","450,190","456,385","463,251","476,412","485,500","486,803","465,005","462,278","466,372",,81,119,183,174,139,153,149,186,186,217,236,306,255,291,414,393,315,"1,346",328,364,301,390
Nebraska ,"76,445","76,143","71,143","78,477","86,496","84,680","88,454","82,981","85,042","94,089","104,079","145,189","153,805","167,955","210,458","193,069","159,986","230,075","204,579","218,921","239,814","262,929",,"797,799","810,181","817,915","837,361","862,659","882,603","896,132","904,492","914,644","916,270","923,198","925,783","921,201","931,622","938,105","935,447","943,176","952,622","961,769","939,290","944,562","961,786",,96,94,87,94,100,96,99,92,93,103,113,157,167,180,224,206,170,242,213,233,254,273
