HAWAII COUNTY,,,,,,,,,
Not Seasonally Adjusted Civilian Labor Force,,,,,,,,,
Annual Averages followed by Monthly Series,,,,,,,,,
,,,,,,,,,
,,Civilian Labor Force ,,,,,,,
,Oct-1998,"69,200","63,500","5,650",8.2,,,,
,Nov-1998,"68,950","63,650","5,300",7.7,,,,
,Dec-1998,"69,050","63,950","5,100",7.4,,,,
,Jan-1999,"70,600","65,400","5,200",7.4,,,,
,Feb-1999,"69,900","64,850","5,050",7.2,,,,
,Mar-1999,"70,500","65,100","5,400",7.6,,,,
,Apr-1999,"70,050","64,450","5,600",8.0,,,,
,May-1999,"69,450","64,250","5,200",7.5,,,,
,June-1999,"71,700","64,250","7,450",10.4,,,,
,July-1999,"73,500","66,550","6,950",9.5,,,,
,Aug-1999,"72,350","65,950","6,350",8.8,,,,
,Sep-1999,"70,050","64,200","5,850",8.3,,,,
,Oct-1999,"70,150","65,300","4,850",6.9,,,,
,Nov-1999,"70,700","66,150","4,550",6.4,,,,
,Dec-1999,"70,400","66,400","4,000",5.7,,,,
,Jan-2000,"75,600","72,150","3,450",4.5,,,,
,Feb-2000,"74,500","71,200","3,300",4.5,,,,
,Mar-2000,"74,950","71,450","3,500",4.7,,,,
,Apr-2000,"74,400","70,950","3,450",4.7,,,,
,May-2000,"73,700","70,200","3,500",4.8,,,,
,June-2000,"74,600","70,550","4,100",5.5,,,,
,July-2000,"75,700","71,600","4,100",5.4,,,,
,Aug-2000,"74,000","70,200","3,750",5.1,,,,
,Sep-2000,"72,450","69,000","3,450",4.8,,,,
,Oct-2000,"73,150","70,000","3,150",4.3,,,,
,Nov-2000,"73,500","70,350","3,100",4.2,,,,
,Dec-2000,"74,100","71,150","2,900",3.9,,,,
,Jan-2001,"76,400","72,900","3,500",4.6,,,,
,Feb-2001,"75,550","72,350","3,200",4.2,,,,
,Mar-2001,"75,900","72,500","3,350",4.4,,,,
,Apr-2001,"76,300","72,300","4,050",5.3,,,,
,May-2001,"75,450","71,950","3,500",4.7,,,,
,June-2001,"75,600","71,350","4,300",5.7,,,,
,July-2001,"77,650","73,500","4,150",5.3,,,,
,Aug-2001,"75,900","72,300","3,600",4.8,,,,
,Sep-2001,"76,000","72,400","3,600",4.7,,,,
,Oct-2001,"76,450","72,550","3,950",5.1,,,,
,Nov-2001,"77,100","72,800","4,250",5.5,,,,
,Dec-2001,"77,150","73,200","3,900",5.1,,,,
,Jan-2002,"77,450","73,550","3,900",5.1,,,,
,Feb-2002,"76,200","72,850","3,350",4.4,,,,
,Mar-2002,"76,350","72,850","3,500",4.6,,,,
,Apr-2002,"77,150","73,500","3,700",4.8,,,,
,May-2002,"75,800","72,100","3,650",4.8,,,,
,June-2002,"76,150","71,850","4,300",5.7,,,,
,July-2002,"78,000","73,950","4,050",5.2,,,,
,Aug-2002,"76,550","73,150","3,400",4.4,,,,
,Sep-2002,"76,050","72,750","3,300",4.4,,,,
,Oct-2002,"75,600","72,650","2,950",3.9,,,,
,Nov-2002,"76,100","73,000","3,100",4.1,,,,
,Dec-2002,"75,850","73,100","2,800",3.7,,,,
,Jan-2003,"78,000","74,750","3,250",4.2,,,,
,Feb-2003,"77,150","74,100","3,050",4.0,,,,
,Mar-2003,"77,650","74,100","3,550",4.6,,,,
,Apr-2003,"78,250","74,500","3,750",4.8,,,,
,May-2003,"77,550","73,800","3,800",4.9,,,,
,June-2003,"78,950","74,000","5,000",6.3,,,,
,July-2003,"79,700","75,450","4,200",5.3,,,,
,Aug-2003,"78,650","75,000","3,650",4.6,,,,
,Sep-2003,"78,350","74,700","3,700",4.7,,,,
,Oct-2003,"78,600","75,250","3,350",4.3,,,,
,Nov-2003,"79,200","75,800","3,400",4.3,,,,
,Dec-2003,"78,750","75,750","2,950",3.8,,,,
,Jan-2004,"78,950","75,700","3,200",4.1,,,,
,Feb-2004,"78,250","75,300","2,950",3.8,,,,
,Mar-2004,"78,600","75,500","3,150",4.0,,,,
,Apr-2004,"78,600","75,450","3,150",4.0,,,,
,May-2004,"78,550","75,450","3,100",3.9,,,,
,June-2004,"79,700","75,850","3,850",4.9,,,,
,July-2004,"81,050","77,550","3,500",4.3,,,,
,Aug-2004,"79,950","76,850","3,100",3.8,,,,
,Sep-2004,"79,300","76,350","2,950",3.7,,,,
,Oct-2004,"79,250","76,600","2,650",3.3,,,,
,Nov-2004,"79,250","76,400","2,850",3.6,,,,
,Dec-2004,"79,600","77,200","2,400",3.0,,,,
,Jan-2005,"80,050","77,450","2,600",3.2,,,,
,Feb-2005,"79,500","76,900","2,600",3.3,,,,
,Mar-2005,"79,800","77,150","2,650",3.3,,,,
,Apr-2005,"80,500","77,850","2,650",3.3,,,,
,May-2005,"79,900","77,400","2,500",3.1,,,,
,June-2005,"80,900","77,600","3,300",4.1,,,,
,July-2005,"82,550","79,400","3,150",3.8,,,,
,Aug-2005,"81,350","78,500","2,800",3.5,,,,
,Sep-2005,"81,150","78,300","2,850",3.5,,,,
,Oct-2005,"81,000","78,600","2,400",3.0,,,,
,Nov-2005,"81,350","78,700","2,600",3.2,,,,
,Dec-2005,"81,250","79,150","2,100",2.6,,,,
,Jan-2006,"82,000","79,750","2,250",2.7,,,,
,Feb-2006,"81,150","78,850","2,300",2.8,,,,
,Mar-2006,"81,900","79,350","2,550",3.1,,,,
,Apr-2006,"82,650","80,000","2,650",3.2,,,,
,May-2006,"82,400","79,850","2,550",3.1,,,,
,June-2006,"83,600","80,250","3,350",4.0,,,,
,July-2006,"84,400","81,450","2,950",3.5,,,,
,Aug-2006,"83,700","81,250","2,400",2.9,,,,
,Sep-2006,"83,200","80,750","2,400",2.9,,,,
,Oct-2006,"83,600","81,600","2,050",2.4,,,,
,Nov-2006,"85,000","82,700","2,300",2.7,,,,
,Dec-2006,"84,650","82,800","1,800",2.1,,,,
,Jan-2007,"85,750","83,150","2,550",3.0,,,,
,Feb-2007,"84,750","82,350","2,400",2.8,,,,
,Mar-2007,"85,150","82,600","2,600",3.0,,,,
,Apr-2007,"85,200","82,700","2,500",2.9,,,,
,May-2007,"84,100","81,500","2,600",3.1,,,,
,June-2007,"85,250","81,650","3,600",4.2,,,,
,July-2007,"85,700","82,450","3,250",3.8,,,,
,Aug-2007,"84,050","81,000","3,050",3.6,,,,
,Sep-2007,"83,550","80,350","3,150",3.8,,,,
,Oct-2007,"83,450","80,650","2,850",3.4,,,,
,Nov-2007,"84,350","81,150","3,150",3.8,,,,
,Dec-2007,"84,000","81,000","3,000",3.6,,,,
,Jan-2008,"85,400","82,000","3,350",3.9,,,,
,Feb-2008,"84,800","81,550","3,250",3.8,,,,
,Mar-2008,"85,650","82,100","3,550",4.2,,,,
,Apr-2008,"86,500","82,800","3,700",4.3,,,,
,May-2008,"85,600","81,350","4,250",5.0,,,,
,Jun-2008,"86,050","80,850","5,250",6.1,,,,
,Jul-2008,"87,100","81,900","5,150",5.9,,,,
,Aug-2008,"85,700","80,200","5,500",6.4,,,,
,Sep-2008,"84,550","78,800","5,750",6.8,,,,
,Oct-2008,"84,000","78,200","5,800",6.9,,,,
,Nov-2008,"84,500","78,250","6,250",7.4,,,,
,Dec-2008,"84,200","77,950","6,250",7.4,,,,
,Jan-2009(c),"84,800","77,700","7,100",8.4,,,,
,Feb-2009(c),"84,450","76,850","7,600",9.0,,,,
,Mar-2009(c),"84,300","76,200","8,100",9.6,,,,
,Apr-2009(c),"84,650","76,900","7,750",9.2,,,,
,May-2009(c),"84,450","76,150","8,300",9.8,,,,
,June-2009(c),"85,050","75,850","9,250",10.8,,,,
,July-2009(c),"86,000","77,150","8,850",10.3,,,,
,Aug-2009(c),"85,100","76,550","8,550",10.0,,,,
,Sep-2009(c),"84,050","75,250","8,850",10.5,,,,
,Oct-2009(c),"83,250","74,800","8,450",10.2,,,,
,Nov-2009(c),"83,700","75,700","8,000",9.6,,,,
,Dec-2009(c),"83,600","75,550","8,050",9.6,,,,
,Jan-2010(b),"82,500","74,250","8,250",10.0,,,,
,Feb-2010(b),"82,800","74,650","8,150",9.9,,,,
,Mar-2010(b),"83,750","75,300","8,450",10.1,,,,
,Apr-2010(b),"83,650","75,700","7,950",9.5,,,,
,May-2010(b),"83,100","74,950","8,150",9.8,,,,
,Jun-2010(b),"84,250","75,100","9,200",10.9,,,,
,Jul-2010(b),"85,500","76,750","8,750",10.2,,,,
,Aug-2010(b),"85,900","77,350","8,550",9.9,,,,
,Sep-2010(b),"84,050","75,600","8,450",10.1,,,,
,Oct-2010(b),"81,900","74,050","7,850",9.6,,,,
,Nov-2010(b),"83,750","75,250","8,550",10.2,,,,
,Dec-2010(b),"82,400","74,850","7,550",9.2,,,,
,Jan-2011(b),"87,050","78,850","8,250",9.5,,,,
,Feb-2011(b),"86,200","78,050","8,100",9.4,,,,
,Mar-2011(b),"86,700","78,350","8,350",9.6,,,,
,Apr-2011(b),"86,200","78,100","8,100",9.4,,,,
,May-2011(b),"86,400","78,000","8,400",9.7,,,,
,June-2011(b),"87,200","77,650","9,550",11.0,,,,
,July-2011(b),"87,450","78,850","8,600",9.8,,,,
,Aug-2011(b),"86,850","78,350","8,450",9.8,,,,
,Sep-2011(b),"85,350","77,100","8,250",9.7,,,,
,Oct-2011(b),"85,250","77,350","7,900",9.3,,,,
,Nov-2011(b),"85,450","77,500","7,950",9.3,,,,
,Dec-2011(b),"85,300","77,950","7,350",8.6,,,,
,Jan-2012(b),"82,700","75,200","7,500",9.0,,,,
,Feb-2012(b),"82,250","74,950","7,300",8.9,,,,
,Mar-2012(b),"82,550","75,350","7,200",8.7,,,,
,Apr-2012(b),"83,250","76,450","6,800",8.1,,,,
,May-2012(b),"83,350","76,550","6,800",8.2,,,,
,Jun-2012(b),"85,300","77,300","8,000",9.4,,,,
,Jul-2012(b),"84,400","76,950","7,400",8.8,,,,
,Aug-2012(b),"83,050","76,400","6,650",8.0,,,,
,Sep-2012(b),"82,150","75,800","6,300",7.7,,,,
,Oct-2012(b),"82,050","76,100","6,000",7.3,,,,
,Nov-2012(b),"82,900","76,950","5,950",7.2,,,,
,Dec-2012(b),"81,150","75,700","5,450",6.7,,,,
,Jan-2013(b),"82,500","76,600","5,900",7.2,,,,
,Feb-2013(b),"80,750","75,100","5,650",7.0,,,,
,Mar-2013(b),"81,600","76,050","5,550",6.8,,,,
,Apr-2013(b),"82,150","76,700","5,450",6.6,,,,
,May-2013(b),"82,050","76,500","5,550",6.7,,,,
,June-2013(b),"84,250","77,700","6,550",7.8,,,,
,July-2013(b),"84,000","78,000","6,000",7.1,,,,
,Aug-2013(b),"82,650","77,300","5,350",6.4,,,,
,Sep-2013(b),"82,350","76,850","5,500",6.7,,,,
,Oct-2013(b),"80,900","75,500","5,400",6.7,,,,
,Nov-2013(b),"81,700","76,550","5,100",6.3,,,,
,Dec-2013(b),"80,750","76,000","4,750",5.9,,,,
,Jan-2014,"81,450","76,500","4,950",6.1,,,,
,Feb-2014,"81,650","76,700","4,950",6.1,,,,
,Mar-2014,"81,900","77,150","4,750",5.8,,,,
,Apr-2014,"83,050","78,400","4,700",5.6,,,,
,May-2014,"84,100","79,200","4,900",5.8,,,,
,Jun-2014,"85,700","80,100","5,550",6.5,,,,
,Jul-2014 ,"87,000","81,700","5,300",6.1,,,,
,Aug-2014,"85,950","81,450","4,500",5.2,,,,
,Sep-2014,"85,200","80,650","4,550",5.3,,,,
,Oct-2014,"83,400","79,050","4,350",5.2,,,,
,Nov-2014,"83,600","79,350","4,250",5.1,,,,
,Dec-2014(p),"83,850","79,950","3,900",4.7,,,,
--------------------------------------------------------------------------------------------------------,,,,,,,,,
"NOTES:  Except for percent unemployed, rounded to nearest 50.",,,,,,,,,
              Totals may not add due to rounding.,,,,,,,,,
              Data begins from 1990.  Data not available prior to 1990 with the new redesign model.,,,,,,,,,
               (c) 2009 data have been benchmarked and reflect adustment to new state control totals,,,,,,,,,
               (b) 2010 - 2013 data have been benchmarked,,,,,,,,,
"               and reflect revised inputs, reestimation, and adjustment to new state control totals",,,,,,,,,
               (p) preliminary,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
