Table 8-57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venture capital disbursed per $1,000 of gross domestic product, by state: 1998–2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Venture capital disbursed ($millions),,,,,,,,,,,,,,,,State GDP ($millions),,,,,,,,,,,,,,,,"Venture capital ($)/$1,000 GDP",,,,,,,,,,,,,,,
Nebraska,29,57,143,59,13,205,0,13,7,0,16,0,12,0,11,,"51,931","53,986","57,333","59,653","61,384","66,345","69,572","72,505","76,549","82,135","85,181","86,323","90,910","96,230","99,557",,0.56,1.06,2.50,0.99,0.21,3.08,0.00,0.18,0.08,0.00,0.19,0.00,0.13,0.00,0.11,
Nevada,24,23,31,28,32,40,10,159,18,29,13,15,29,10,7,,"64,009","70,581","75,895","79,051","82,764","89,186","100,663","114,478","123,754","133,185","131,976","123,115","124,838","129,421","133,584",,0.38,0.33,0.41,0.36,0.38,0.45,0.09,1.38,0.15,0.22,0.10,0.13,0.23,0.08,0.05,
New Hampshire,185,236,751,225,208,154,146,92,76,135,181,38,57,56,61,,"38,691","40,548","44,161","44,682","46,730","48,768","51,335","53,693","56,103","57,868","58,473","58,951","61,147","63,333","64,697",,4.78,5.81,17.00,5.04,4.45,3.16,2.84,1.72,1.35,2.34,3.10,0.64,0.93,0.88,0.94,
New Jersey,476,921,"3,290","1,511",905,886,720,887,780,632,708,546,451,483,444,,"311,981","327,129","350,110","364,940","376,922","392,509","410,790","430,246","454,701","471,372","482,099","471,957","483,007","493,175","508,003",,1.53,2.82,9.40,4.14,2.40,2.26,1.75,2.06,1.72,1.34,1.47,1.16,0.93,0.98,0.87,
New Mexico,8,12,21,14,54,4,28,76,30,129,69,5,23,65,36,,"46,479","48,778","50,294","52,076","53,662","57,906","64,196","67,763","71,426","74,356","77,117","75,308","77,686","79,555","80,600",,0.17,0.25,0.42,0.27,1.00,0.06,0.44,1.13,0.42,1.73,0.90,0.07,0.30,0.82,0.45,
New York,"1,299","3,454","6,835","2,104",799,660,721,"1,127","1,286","1,130","1,299",931,"1,339","2,343","1,864",,"687,860","731,120","769,291","809,035","822,408","842,678","891,462","959,867","1,030,373","1,076,255","1,079,719","1,080,441","1,136,417","1,169,436","1,205,930",,1.89,4.72,8.88,2.60,0.97,0.78,0.81,1.17,1.25,1.05,1.20,0.86,1.18,2.00,1.55,
North Carolina,327,798,"1,825",590,563,387,335,395,510,547,459,270,456,305,197,,"242,799","266,005","281,542","291,950","302,201","311,088","327,343","354,664","378,241","396,740","407,360","412,912","426,875","436,144","455,973",,1.35,3.00,6.48,2.02,1.86,1.24,1.02,1.11,1.35,1.38,1.13,0.65,1.07,0.70,0.43,
North Dakota,1,3,6,1,0,15,2,0,0,0,0,9,0,4,2,,"17,072","17,248","18,266","19,125","20,439","22,328","23,333","24,670","26,063","28,549","31,769","32,204","35,357","39,992","46,016",,0.03,0.17,0.33,0.05,0.00,0.65,0.09,0.00,0.00,0.00,0.01,0.28,0.00,0.10,0.04,
Ohio,309,493,976,234,268,179,71,140,44,193,248,116,157,172,286,,"350,293","363,665","380,895","382,725","397,966","409,680","428,172","444,083","452,884","467,138","465,527","451,574","465,679","490,265","509,393",,0.88,1.36,2.56,0.61,0.67,0.44,0.17,0.32,0.10,0.41,0.53,0.26,0.34,0.35,0.56,
Oklahoma,101,68,53,30,33,31,64,0,14,8,17,5,13,27,34,,"80,711","85,004","91,273","97,106","98,778","104,732","112,298","120,529","132,176","140,378","153,223","142,078","147,649","156,058","160,953",,1.26,0.80,0.58,0.31,0.33,0.30,0.57,0.00,0.11,0.06,0.11,0.04,0.09,0.17,0.21,
Oregon,54,547,793,233,151,108,156,134,143,312,176,90,174,237,124,,"101,164","104,575","113,180","112,493","119,571","124,566","137,290","143,429","159,899","167,088","174,990","171,535","181,523","188,981","198,702",,0.53,5.23,7.01,2.07,1.26,0.86,1.14,0.94,0.89,1.87,1.01,0.52,0.96,1.25,0.62,
Pennsylvania,562,"1,624","2,873",960,456,499,526,482,764,819,693,409,508,508,521,,"364,050","379,996","395,602","406,855","424,103","441,510","461,721","482,200","506,362","531,098","544,712","540,231","558,818","581,256","600,897",,1.54,4.27,7.26,2.36,1.07,1.13,1.14,1.00,1.51,1.54,1.27,0.76,0.91,0.87,0.87,
Rhode Island,26,31,75,119,96,66,80,76,114,7,39,39,65,42,85,,"29,446","31,044","33,584","35,701","38,135","40,664","42,925","44,189","46,450","47,293","47,231","47,443","48,572","49,423","50,956",,0.88,1.01,2.22,3.33,2.51,1.61,1.87,1.73,2.44,0.15,0.83,0.82,1.34,0.85,1.67,
South Carolina,137,135,448,97,80,14,16,3,10,87,26,5,21,60,39,,"103,274","110,050","115,443","120,018","124,391","130,500","134,793","141,877","149,104","157,712","159,203","157,825","162,292","168,716","176,217",,1.33,1.23,3.88,0.81,0.64,0.11,0.12,0.02,0.07,0.55,0.16,0.03,0.13,0.36,0.22,
South Dakota,0,1,0,1,18,4,2,0,0,4,1,1,0,4,0,,"21,000","22,235","24,038","25,212","27,610","28,922","30,569","31,549","32,304","34,885","37,266","37,040","38,297","41,667","42,464",,0.00,0.03,0.01,0.02,0.66,0.12,0.06,0.00,0.00,0.11,0.01,0.02,0.00,0.10,0.00,
Tennessee,108,495,453,213,116,84,81,89,47,125,65,48,52,107,87,,"162,521","172,234","177,540","183,676","193,069","200,455","213,537","224,288","236,313","242,220","247,961","246,617","253,602","263,626","277,036",,0.66,2.88,2.55,1.16,0.60,0.42,0.38,0.40,0.20,0.51,0.26,0.19,0.21,0.41,0.31,
Texas,"1,171","3,199","6,094","2,945","1,296","1,250","1,096","1,175","1,388","1,468","1,283",685,891,"1,595",934,,"634,286","670,604","731,064","762,885","782,780","824,489","903,679","968,553","1,054,414","1,147,404","1,209,267","1,140,218","1,226,714","1,321,005","1,397,369",,1.85,4.77,8.34,3.86,1.66,1.52,1.21,1.21,1.32,1.28,1.06,0.60,0.73,1.21,0.67,
Utah,117,408,674,210,136,107,189,192,169,188,194,155,143,244,318,,"61,217","64,608","69,489","72,377","74,603","77,760","82,463","90,616","100,221","108,474","113,789","112,995","118,225","124,454","130,486",,1.91,6.32,9.69,2.90,1.82,1.37,2.29,2.12,1.69,1.74,1.70,1.37,1.21,1.96,2.44,
Vermont,1,0,46,12,4,5,5,35,10,9,43,14,33,25,4,,"16,002","16,903","18,039","18,814","19,599","20,537","21,876","22,743","23,613","24,043","24,445","24,394","25,809","26,545","27,296",,0.09,0.00,2.57,0.62,0.19,0.25,0.21,1.55,0.42,0.36,1.75,0.58,1.28,0.94,0.15,
Virginia,766,"1,182","3,310",979,429,413,272,526,392,557,484,250,375,617,372,,"225,493","243,755","261,759","280,098","290,904","307,377","329,557","356,370","374,566","389,570","397,894","404,005","422,763","433,611","445,876",,3.40,4.85,12.64,3.50,1.47,1.34,0.83,1.48,1.05,1.43,1.22,0.62,0.89,1.42,0.83,
Washington,736,"1,931","2,790","1,145",580,464,868,837,"1,031","1,383",955,607,613,551,908,,"199,706","220,939","227,704","230,322","237,117","247,056","257,979","279,333","300,145","325,118","333,720","332,600","342,702","357,056","375,730",,3.69,8.74,12.25,4.97,2.45,1.88,3.36,3.00,3.44,4.25,2.86,1.83,1.79,1.54,2.42,
West Virginia,2,0,5,1,16,13,9,11,4,10,24,3,4,2,15,,"39,080","41,015","41,386","42,988","44,533","45,894","48,691","51,857","55,205","56,864","58,227","59,575","62,732","66,109","69,380",,0.05,0.00,0.11,0.03,0.36,0.27,0.18,0.20,0.07,0.18,0.41,0.05,0.06,0.03,0.22,
Wisconsin,90,86,192,93,51,38,57,69,60,90,75,9,122,73,95,,"160,324","169,753","177,355","183,541","190,241","198,097","208,904","218,689","228,691","236,522","236,094","237,237","245,415","253,349","261,548",,0.56,0.51,1.08,0.51,0.27,0.19,0.27,0.31,0.26,0.38,0.32,0.04,0.50,0.29,0.36,
Wyoming,0,0,0,0,0,0,2,4,7,0,2,0,10,0,0,,"14,689","15,728","17,050","18,744","19,262","21,107","23,301","26,250","30,767","33,708","38,853","34,432","36,459","38,190","38,422",,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.15,0.21,0.01,0.04,0.00,0.27,0.00,0.00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,NA,NA,NA,32,NA,NA,1,NA,14,NA,NA,NA,4,0,0,,"57,841","61,702","69,208","71,624","74,827","79,209","82,809","86,158","88,902","93,263","95,708",NA,NA,NA,NA,,NA,NA,NA,0.45,NA,NA,0.02,NA,0.16,NA,NA,NA,NA,NA,NA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
